Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,20.47262208184725,5,Vanilla,E
2,1851,22.28235883755252,5,Vanilla,E
3,1852,21.013559048145027,5,Vanilla,E
4,1853,21.21039302794401,5,Vanilla,E
5,1854,23.001889651285385,5,Vanilla,E
6,1855,22.78748059611507,5,Vanilla,E
7,1856,23.06591725857112,5,Vanilla,E
8,1857,21.145500742355086,5,Vanilla,E
9,1858,21.89507719615789,5,Vanilla,E
10,1859,22.323697306971738,5,Vanilla,E
11,1860,20.885988903611207,5,Vanilla,E
12,1861,22.301991216852894,5,Vanilla,E
13,1862,21.172780724547067,5,Vanilla,E
14,1863,22.4968061973619,5,Vanilla,E
15,1864,23.308037502587514,5,Vanilla,E
16,1865,21.481205317686275,5,Vanilla,E
17,1866,22.10029350705765,5,Vanilla,E
18,1867,22.572235915793268,5,Vanilla,E
19,1868,21.59108952971426,5,Vanilla,E
20,1869,20.442876371830206,5,Vanilla,E
21,1870,21.976318726121296,5,Vanilla,E
22,1871,24.213034367570454,5,Vanilla,E
23,1872,22.615298483166264,5,Vanilla,E
24,1873,22.23319608232356,5,Vanilla,E
25,1874,22.12350555827289,5,Vanilla,E
26,1875,21.794446656233887,5,Vanilla,E
27,1876,21.163090081786855,5,Vanilla,E
28,1877,22.76878895887176,5,Vanilla,E
29,1878,24.58814290447867,5,Vanilla,E
30,1879,23.36410712328578,5,Vanilla,E
31,1880,20.975272049092187,5,Vanilla,E
32,1881,22.255716986337042,5,Vanilla,E
33,1882,22.749014812736167,5,Vanilla,E
34,1883,21.6943467280483,5,Vanilla,E
35,1884,21.29177200892466,5,Vanilla,E
36,1885,21.501212007563634,5,Vanilla,E
37,1886,24.256282405356295,5,Vanilla,E
38,1887,23.99476066093977,5,Vanilla,E
39,1888,22.68147620875462,5,Vanilla,E
40,1889,22.15124125247664,5,Vanilla,E
41,1890,21.782304172304723,5,Vanilla,E
42,1891,22.680854818413547,5,Vanilla,E
43,1892,24.134184456812843,5,Vanilla,E
44,1893,21.998232567157356,5,Vanilla,E
45,1894,20.36885482955212,5,Vanilla,E
46,1895,24.418801199859196,5,Vanilla,E
47,1896,22.821279144790303,5,Vanilla,E
48,1897,22.99573523920464,5,Vanilla,E
49,1898,22.20127110848339,5,Vanilla,E
50,1899,22.843565722824767,5,Vanilla,E
51,1900,23.049699248119083,5,Vanilla,E
52,1901,23.115210476759167,5,Vanilla,E
53,1902,23.40105378518464,5,Vanilla,E
54,1903,23.086366993623137,5,Vanilla,E
55,1904,23.32616409523947,5,Vanilla,E
56,1905,22.26799084122344,5,Vanilla,E
57,1906,20.8524734906469,5,Vanilla,E
58,1907,22.038068434014352,5,Vanilla,E
59,1908,23.488122345369042,5,Vanilla,E
60,1909,25.343565217833774,5,Vanilla,E
61,1910,24.26254783779323,5,Vanilla,E
62,1911,21.443205708180344,5,Vanilla,E
63,1912,21.83550890424885,5,Vanilla,E
64,1913,21.576377145753888,5,Vanilla,E
65,1914,24.314737557984852,5,Vanilla,E
66,1915,21.924287089967482,5,Vanilla,E
67,1916,25.080050124714365,5,Vanilla,E
68,1917,23.5051769082187,5,Vanilla,E
69,1918,23.22116645575702,5,Vanilla,E
70,1919,21.288249443329313,5,Vanilla,E
71,1920,20.978861522434663,5,Vanilla,E
72,1921,23.13830417134452,5,Vanilla,E
