Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,38.91997326832381,6,Dandelion,F
2,1851,40.786147995672614,7,Tangerine,G
3,1852,41.36319713422106,7,Tangerine,G
4,1853,36.81392168955052,6,Dandelion,F
5,1854,41.542357233087216,7,Tangerine,G
6,1855,41.75500968902889,7,Tangerine,G
7,1856,39.28586906438534,6,Dandelion,F
8,1857,42.10256894894869,7,Tangerine,G
9,1858,38.45403640942721,6,Dandelion,F
10,1859,39.726227766602946,6,Dandelion,F
11,1860,44.15044857411526,7,Tangerine,G
12,1861,43.66991599745297,7,Tangerine,G
13,1862,40.405418426571956,7,Tangerine,G
14,1863,37.31138835136096,6,Dandelion,F
15,1864,35.91840516644679,6,Dandelion,F
16,1865,42.69514501788535,7,Tangerine,G
17,1866,39.655030987053394,6,Dandelion,F
18,1867,41.5709232596816,7,Tangerine,G
19,1868,38.85139797287363,6,Dandelion,F
20,1869,43.05424137676892,7,Tangerine,G
21,1870,43.987324715849425,7,Tangerine,G
22,1871,38.16551613321729,6,Dandelion,F
23,1872,40.681131838651716,7,Tangerine,G
24,1873,39.51224545971223,6,Dandelion,F
25,1874,38.34373908501886,6,Dandelion,F
26,1875,41.089920473574274,7,Tangerine,G
27,1876,38.74579855895336,6,Dandelion,F
28,1877,38.27830440946002,6,Dandelion,F
29,1878,39.95348741595952,6,Dandelion,F
30,1879,40.58241147470555,7,Tangerine,G
31,1880,41.806211487234066,7,Tangerine,G
32,1881,42.866567355021544,7,Tangerine,G
33,1882,46.370905080578076,7,Tangerine,G
34,1883,39.85093885749941,6,Dandelion,F
35,1884,36.168589733552324,6,Dandelion,F
36,1885,39.06513919721307,6,Dandelion,F
37,1886,38.93282785313679,6,Dandelion,F
38,1887,40.314640444402215,7,Tangerine,G
39,1888,37.46910199173128,6,Dandelion,F
40,1889,39.68662116092987,6,Dandelion,F
41,1890,37.6982100835413,6,Dandelion,F
42,1891,39.647631760799,6,Dandelion,F
43,1892,39.49211687158586,6,Dandelion,F
44,1893,42.10677912841432,7,Tangerine,G
45,1894,39.38110171334903,6,Dandelion,F
46,1895,39.27298932753066,6,Dandelion,F
47,1896,39.387166245924014,6,Dandelion,F
48,1897,41.405315916344826,7,Tangerine,G
49,1898,38.20540606412933,6,Dandelion,F
50,1899,42.3437656849778,7,Tangerine,G
51,1900,41.24089462987975,7,Tangerine,G
52,1901,38.256287559726616,6,Dandelion,F
53,1902,38.261715170763615,6,Dandelion,F
54,1903,39.69137005088778,6,Dandelion,F
55,1904,42.36472439972116,7,Tangerine,G
56,1905,40.10801442791791,7,Tangerine,G
57,1906,41.10007371750035,7,Tangerine,G
58,1907,40.572837561458535,7,Tangerine,G
59,1908,41.47849837805367,7,Tangerine,G
60,1909,39.501588413274334,6,Dandelion,F
61,1910,41.976087578571295,7,Tangerine,G
62,1911,38.19487261649938,6,Dandelion,F
63,1912,44.12731211340181,7,Tangerine,G
64,1913,41.16329552013073,7,Tangerine,G
65,1914,44.62921699928954,7,Tangerine,G
66,1915,40.89721529083306,7,Tangerine,G
67,1916,42.73500796648608,7,Tangerine,G
68,1917,41.674168633673474,7,Tangerine,G
69,1918,41.99600387906022,7,Tangerine,G
70,1919,40.866948115162515,7,Tangerine,G
71,1920,42.27934845504809,7,Tangerine,G
72,1921,41.43752948516339,7,Tangerine,G
73,1922,41.53492537109361,7,Tangerine,G
74,1923,40.8928626100165,7,Tangerine,G
75,1924,40.948230191172335,7,Tangerine,G
76,1925,39.97310457245604,6,Dandelion,F
77,1926,42.15981478701868,7,Tangerine,G
78,1927,43.66585917410912,7,Tangerine,G
79,1928,43.24925205533613,7,Tangerine,G
80,1929,43.746661612739224,7,Tangerine,G
81,1930,39.852101727239386,6,Dandelion,F
82,1931,44.75927140759644,7,Tangerine,G
83,1932,43.4847541490233,7,Tangerine,G
84,1933,42.88685925822665,7,Tangerine,G
85,1934,41.358873867189196,7,Tangerine,G
86,1935,44.010914655883376,7,Tangerine,G
87,1936,41.842666643302984,7,Tangerine,G
88,1937,48.38435748590714,7,Tangerine,G
89,1938,47.295895983254205,7,Tangerine,G
90,1939,41.98156595517013,7,Tangerine,G
91,1940,41.14646229976622,7,Tangerine,G
92,1941,43.42769224288103,7,Tangerine,G
93,1942,45.64061292898679,7,Tangerine,G
94,1943,47.102290989800615,7,Tangerine,G
95,1944,46.08388236709354,7,Tangerine,G
96,1945,44.024075272837216,7,Tangerine,G
97,1946,46.362263239252805,7,Tangerine,G
98,1947,48.446190508395404,7,Tangerine,G
99,1948,49.48269609360765,7,Tangerine,G
100,1949,48.136776109245304,7,Tangerine,G
101,1950,43.624199663016356,7,Tangerine,G
102,1951,44.54740439576696,7,Tangerine,G
103,1952,44.947043760391495,7,Tangerine,G
104,1953,50.474795472116874,8,Mustard,H
105,1954,42.87448795814826,7,Tangerine,G
106,1955,45.86208215344324,7,Tangerine,G
107,1956,46.6992753649472,7,Tangerine,G
108,1957,47.401605462719694,7,Tangerine,G
109,1958,48.83252634644161,7,Tangerine,G
110,1959,48.578963123985545,7,Tangerine,G
111,1960,46.204738961341796,7,Tangerine,G
112,1961,47.19052720661124,7,Tangerine,G
113,1962,46.15076817720918,7,Tangerine,G
114,1963,47.331522497265716,7,Tangerine,G
115,1964,48.26386290390612,7,Tangerine,G
116,1965,47.87346097472611,7,Tangerine,G
117,1966,47.98732066919447,7,Tangerine,G
118,1967,50.23871960594615,8,Mustard,H
119,1968,48.4033772936153,7,Tangerine,G
120,1969,48.4887626485274,7,Tangerine,G
121,1970,50.28724682178827,8,Mustard,H
122,1971,47.23489784486057,7,Tangerine,G
123,1972,51.59143256725429,8,Mustard,H
124,1973,48.2793331996617,7,Tangerine,G
125,1974,49.965649624179214,7,Tangerine,G
126,1975,50.678084262559054,8,Mustard,H
127,1976,51.581354954840485,8,Mustard,H
128,1977,49.47305709279628,7,Tangerine,G
129,1978,50.73701771768968,8,Mustard,H
130,1979,51.44076116632314,8,Mustard,H
131,1980,50.38496923046169,8,Mustard,H
132,1981,52.67723436466328,8,Mustard,H
133,1982,54.26535186787216,8,Mustard,H
134,1983,54.72089052024141,8,Mustard,H
135,1984,52.652334267954664,8,Mustard,H
136,1985,53.47417269965179,8,Mustard,H
137,1986,51.469431435042196,8,Mustard,H
138,1987,56.89564624549513,8,Mustard,H
139,1988,57.23540634570926,8,Mustard,H
140,1989,52.79649306279953,8,Mustard,H
141,1990,54.46910326576564,8,Mustard,H
142,1991,56.71217042504928,8,Mustard,H
143,1992,54.568654914691564,8,Mustard,H
144,1993,54.81600188368998,8,Mustard,H
145,1994,57.34357630515289,8,Mustard,H
146,1995,58.214735307366894,8,Mustard,H
147,1996,60.67874148423972,9,Mauve,I
148,1997,57.463346197447606,8,Mustard,H
149,1998,62.72977155381108,9,Mauve,I
150,1999,66.84326392196085,9,Mauve,I
151,2000,60.791334100937114,9,Mauve,I
152,2001,60.19166564941406,9,Mauve,I
153,2002,64.04166412353516,9,Mauve,I
154,2003,57.84999465942383,8,Mustard,H
155,2004,63.52499771118164,9,Mauve,I
156,2005,61.241668701171875,9,Mauve,I
157,2006,57.86666488647461,8,Mustard,H
158,2007,65.58333587646484,9,Mauve,I
159,2008,72.00834655761719,10,Brown,J
160,2009,60.7166633605957,9,Mauve,I
161,2010,60.15000534057617,9,Mauve,I
162,2011,64.05000305175781,9,Mauve,I
163,2012,63.883331298828125,9,Mauve,I
164,2013,57.04166030883789,8,Mustard,H
165,2014,57.05000305175781,8,Mustard,H
166,2015,79.39166259765625,10,Brown,J
167,2016,75.875,10,Brown,J
168,2017,78.625,10,Brown,J
169,2018,68.30833435058594,9,Mauve,I
170,2019,67.21666717529297,9,Mauve,I
171,2020,68.76666259765625,9,Mauve,I
172,2021,69.95833587646484,9,Mauve,I
173,2022,77.29999542236328,10,Brown,J
