Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,20.48045822885888,5,Vanilla,E
2,1851,24.109727321161515,5,Vanilla,E
3,1852,22.300904828456805,5,Vanilla,E
4,1853,20.989097024461262,5,Vanilla,E
5,1854,25.122004410799246,5,Vanilla,E
6,1855,24.172018784620096,5,Vanilla,E
7,1856,22.177843415818128,5,Vanilla,E
8,1857,24.493869675469078,5,Vanilla,E
9,1858,20.702995322117324,5,Vanilla,E
10,1859,21.53838384997239,5,Vanilla,E
11,1860,25.754937474031554,5,Vanilla,E
12,1861,24.211266960185007,5,Vanilla,E
13,1862,22.56010057993597,5,Vanilla,E
14,1863,19.87778329781583,4,LightYellow,D
15,1864,18.737071239341766,4,LightYellow,D
16,1865,25.025085898064383,5,Vanilla,E
17,1866,21.91984248506664,5,Vanilla,E
18,1867,22.540323157660794,5,Vanilla,E
19,1868,20.851389758328143,5,Vanilla,E
20,1869,22.546841874983713,5,Vanilla,E
21,1870,22.484891901278203,5,Vanilla,E
22,1871,20.181037493672008,5,Vanilla,E
23,1872,19.76622211548304,4,LightYellow,D
24,1873,21.320881778437005,5,Vanilla,E
25,1874,19.53042833947942,4,LightYellow,D
26,1875,22.77440823284151,5,Vanilla,E
27,1876,22.423555945798192,5,Vanilla,E
28,1877,19.205019011288556,4,LightYellow,D
29,1878,20.6455689798006,5,Vanilla,E
30,1879,24.313954821714372,5,Vanilla,E
31,1880,24.08464071343266,5,Vanilla,E
32,1881,23.54790117826285,5,Vanilla,E
33,1882,25.343711622448275,5,Vanilla,E
34,1883,21.180828539423775,5,Vanilla,E
35,1884,19.822353775297426,4,LightYellow,D
36,1885,22.383135239246403,5,Vanilla,E
37,1886,20.947227783065202,5,Vanilla,E
38,1887,23.226967156870213,5,Vanilla,E
39,1888,20.060615912463923,5,Vanilla,E
40,1889,21.688667160724552,5,Vanilla,E
41,1890,21.599454718716547,5,Vanilla,E
42,1891,23.355984762408447,5,Vanilla,E
43,1892,21.8364626284677,5,Vanilla,E
44,1893,23.265884638399783,5,Vanilla,E
45,1894,21.722334001999894,5,Vanilla,E
46,1895,22.58266001629443,5,Vanilla,E
47,1896,21.84357235723442,5,Vanilla,E
48,1897,23.025483065237633,5,Vanilla,E
49,1898,20.85814838896303,5,Vanilla,E
50,1899,21.729833409709062,5,Vanilla,E
51,1900,22.61857617249356,5,Vanilla,E
52,1901,21.04137685632807,5,Vanilla,E
53,1902,21.52923968479239,5,Vanilla,E
54,1903,22.543374033569677,5,Vanilla,E
55,1904,22.89434884626097,5,Vanilla,E
56,1905,24.201554050116048,5,Vanilla,E
57,1906,22.899932514169492,5,Vanilla,E
58,1907,22.503465106438615,5,Vanilla,E
59,1908,24.26634344158272,5,Vanilla,E
60,1909,21.914636156769006,5,Vanilla,E
61,1910,22.091821188504873,5,Vanilla,E
62,1911,21.84937637610965,5,Vanilla,E
63,1912,25.63352660353148,5,Vanilla,E
64,1913,22.67467852777426,5,Vanilla,E
65,1914,24.961359100957427,5,Vanilla,E
66,1915,23.6885517328323,5,Vanilla,E
67,1916,26.919375544248275,5,Vanilla,E
68,1917,21.755731386408968,5,Vanilla,E
69,1918,22.01605603291432,5,Vanilla,E
70,1919,22.941430019370035,5,Vanilla,E
71,1920,23.018668216697158,5,Vanilla,E
72,1921,24.376649901800832,5,Vanilla,E
73,1922,25.219343623431744,5,Vanilla,E
74,1923,21.80782745819764,5,Vanilla,E
75,1924,22.92602253709194,5,Vanilla,E
76,1925,23.74997766440431,5,Vanilla,E
77,1926,25.255979229971388,5,Vanilla,E
78,1927,24.304018118298284,5,Vanilla,E
79,1928,23.032049199862204,5,Vanilla,E
80,1929,25.034168757264197,5,Vanilla,E
81,1930,22.67602150407407,5,Vanilla,E
82,1931,24.034216693649352,5,Vanilla,E
83,1932,26.523872313886276,5,Vanilla,E
84,1933,23.93988403798315,5,Vanilla,E
85,1934,22.08935016110263,5,Vanilla,E
86,1935,23.957581708807044,5,Vanilla,E
87,1936,22.454386774919335,5,Vanilla,E
88,1937,27.085663036406572,5,Vanilla,E
89,1938,27.021644444002998,5,Vanilla,E
90,1939,25.46089746708403,5,Vanilla,E
91,1940,22.24795480202503,5,Vanilla,E
92,1941,24.714932391081952,5,Vanilla,E
93,1942,25.644714200086455,5,Vanilla,E
94,1943,25.792574162531743,5,Vanilla,E
95,1944,24.529816410102487,5,Vanilla,E
96,1945,24.02740710694187,5,Vanilla,E
97,1946,25.510333933860874,5,Vanilla,E
98,1947,26.548699093885322,5,Vanilla,E
99,1948,25.77928582184114,5,Vanilla,E
100,1949,25.324980686848825,5,Vanilla,E
101,1950,23.08151352155753,5,Vanilla,E
102,1951,21.365905941456873,5,Vanilla,E
103,1952,23.502790258364353,5,Vanilla,E
104,1953,26.085119903274308,5,Vanilla,E
105,1954,21.901362067955077,5,Vanilla,E
106,1955,25.944524972217007,5,Vanilla,E
107,1956,23.656387391049336,5,Vanilla,E
108,1957,24.674662415461206,5,Vanilla,E
109,1958,26.13199844118104,5,Vanilla,E
110,1959,25.69216406653206,5,Vanilla,E
111,1960,22.93657243865943,5,Vanilla,E
112,1961,23.892147584928768,5,Vanilla,E
113,1962,22.271799226411666,5,Vanilla,E
114,1963,22.21199412807985,5,Vanilla,E
115,1964,23.624897622041527,5,Vanilla,E
116,1965,24.305950411404,5,Vanilla,E
117,1966,24.27243171008916,5,Vanilla,E
118,1967,24.483275903045588,5,Vanilla,E
119,1968,22.33073714990741,5,Vanilla,E
120,1969,24.487025191741886,5,Vanilla,E
121,1970,23.119584334050064,5,Vanilla,E
122,1971,24.66804648550679,5,Vanilla,E
123,1972,27.571038870006028,5,Vanilla,E
124,1973,23.696032597084,5,Vanilla,E
125,1974,24.185952147990683,5,Vanilla,E
126,1975,24.968217768309295,5,Vanilla,E
127,1976,25.927971166372657,5,Vanilla,E
128,1977,23.45162696255574,5,Vanilla,E
129,1978,25.227968875035533,5,Vanilla,E
130,1979,24.321958076169754,5,Vanilla,E
131,1980,24.019872566103402,5,Vanilla,E
132,1981,27.015737343524197,5,Vanilla,E
133,1982,25.51011872956498,5,Vanilla,E
134,1983,27.39073252375798,5,Vanilla,E
135,1984,26.056297803242202,5,Vanilla,E
136,1985,26.11618517731525,5,Vanilla,E
137,1986,27.311528433597157,5,Vanilla,E
138,1987,29.301207385709823,5,Vanilla,E
139,1988,26.90191402858225,5,Vanilla,E
140,1989,23.521204375065366,5,Vanilla,E
141,1990,23.120130603817582,5,Vanilla,E
142,1991,24.953287033089392,5,Vanilla,E
143,1992,26.110504351765286,5,Vanilla,E
144,1993,25.382480034203216,5,Vanilla,E
145,1994,26.411884750596702,5,Vanilla,E
146,1995,24.31232557829763,5,Vanilla,E
147,1996,25.829094473102945,5,Vanilla,E
148,1997,26.683789225464526,5,Vanilla,E
149,1998,28.088078530685447,5,Vanilla,E
150,1999,30.403548086632185,6,Dandelion,F
151,2000,27.274737184162277,5,Vanilla,E
152,2001,24.924997329711914,5,Vanilla,E
153,2002,25.099998474121094,5,Vanilla,E
154,2003,21.691665649414062,5,Vanilla,E
155,2004,24.216665267944336,5,Vanilla,E
156,2005,23.33333396911621,5,Vanilla,E
157,2006,19.600000381469727,4,LightYellow,D
158,2007,26.316665649414062,5,Vanilla,E
159,2008,30.774995803833008,6,Dandelion,F
160,2009,22.991666793823242,5,Vanilla,E
161,2010,21.141666412353516,5,Vanilla,E
162,2011,22.774999618530273,5,Vanilla,E
163,2012,21.433332443237305,5,Vanilla,E
164,2013,17.66666603088379,4,LightYellow,D
165,2014,17.533334732055664,4,LightYellow,D
166,2015,27.933334350585938,5,Vanilla,E
167,2016,25.008337020874023,5,Vanilla,E
168,2017,23.525001525878906,5,Vanilla,E
169,2018,21.29166603088379,5,Vanilla,E
170,2019,19.96666717529297,4,LightYellow,D
171,2020,24.633333206176758,5,Vanilla,E
172,2021,22.241668701171875,5,Vanilla,E
173,2022,24.133333206176758,5,Vanilla,E
