Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,5.349987294836784,2,PowderBlue,B
2,1851,4.986853679165347,1,LightTurquoise,A
3,1852,5.097830865034809,2,PowderBlue,B
4,1853,5.044032912071827,2,PowderBlue,B
5,1854,5.097646923060724,2,PowderBlue,B
6,1855,4.889792799957331,1,LightTurquoise,A
7,1856,5.407179023727936,2,PowderBlue,B
8,1857,5.263475489182285,2,PowderBlue,B
9,1858,5.214681639709402,2,PowderBlue,B
10,1859,4.921215647941684,1,LightTurquoise,A
11,1860,5.023215091977842,2,PowderBlue,B
12,1861,5.19779277491735,2,PowderBlue,B
13,1862,5.114979495602368,2,PowderBlue,B
14,1863,4.998297405119033,1,LightTurquoise,A
15,1864,5.46060857415476,2,PowderBlue,B
16,1865,5.401069660539625,2,PowderBlue,B
17,1866,5.103515782414208,2,PowderBlue,B
18,1867,5.2346232248660725,2,PowderBlue,B
19,1868,5.277753104106718,2,PowderBlue,B
20,1869,5.217039324644376,2,PowderBlue,B
21,1870,5.245628239703269,2,PowderBlue,B
22,1871,5.104158465488257,2,PowderBlue,B
23,1872,5.256247841608207,2,PowderBlue,B
24,1873,5.447592088515612,2,PowderBlue,B
25,1874,5.321702046724696,2,PowderBlue,B
26,1875,5.4281907651329915,2,PowderBlue,B
27,1876,5.352098823157798,2,PowderBlue,B
28,1877,5.208215168532517,2,PowderBlue,B
29,1878,5.257055881209493,2,PowderBlue,B
30,1879,5.2201933196529655,2,PowderBlue,B
31,1880,5.285354065021741,2,PowderBlue,B
32,1881,5.278709332586919,2,PowderBlue,B
33,1882,5.362276055026784,2,PowderBlue,B
34,1883,5.330966734728705,2,PowderBlue,B
35,1884,5.027433032050325,2,PowderBlue,B
36,1885,5.264598924507449,2,PowderBlue,B
37,1886,5.286097126416212,2,PowderBlue,B
38,1887,5.341650853408891,2,PowderBlue,B
39,1888,5.383639653012461,2,PowderBlue,B
40,1889,5.0483794490732805,2,PowderBlue,B
41,1890,5.216242952570699,2,PowderBlue,B
42,1891,5.458597170837774,2,PowderBlue,B
43,1892,5.468370803249544,2,PowderBlue,B
44,1893,5.258384008355229,2,PowderBlue,B
45,1894,5.510313566909043,2,PowderBlue,B
46,1895,5.626214026288145,2,PowderBlue,B
47,1896,5.556009512356931,2,PowderBlue,B
48,1897,5.495107181375128,2,PowderBlue,B
49,1898,5.640960622637572,2,PowderBlue,B
50,1899,5.842321686333009,2,PowderBlue,B
51,1900,5.914013115600761,2,PowderBlue,B
52,1901,5.564621909950506,2,PowderBlue,B
53,1902,5.760062872076687,2,PowderBlue,B
54,1903,5.489354948075942,2,PowderBlue,B
55,1904,5.759122605688289,2,PowderBlue,B
56,1905,5.67489734289477,2,PowderBlue,B
57,1906,5.936480904250671,2,PowderBlue,B
58,1907,6.086447143075941,2,PowderBlue,B
59,1908,5.668426720058821,2,PowderBlue,B
60,1909,6.003996758498914,2,PowderBlue,B
61,1910,5.8454587649197824,2,PowderBlue,B
62,1911,5.923258882159628,2,PowderBlue,B
63,1912,5.996485420993534,2,PowderBlue,B
64,1913,5.71566875760676,2,PowderBlue,B
65,1914,6.035974442218794,2,PowderBlue,B
66,1915,6.434573659183117,2,PowderBlue,B
67,1916,6.1272782559282,2,PowderBlue,B
68,1917,6.197311090002239,2,PowderBlue,B
69,1918,6.249161204875782,2,PowderBlue,B
70,1919,6.549570723670134,2,PowderBlue,B
71,1920,6.348221956551982,2,PowderBlue,B
72,1921,6.257108204755974,2,PowderBlue,B
73,1922,6.3468208715656935,2,PowderBlue,B
74,1923,6.565181943699559,2,PowderBlue,B
75,1924,6.440962213323139,2,PowderBlue,B
76,1925,6.46388756267901,2,PowderBlue,B
77,1926,6.862737010520736,2,PowderBlue,B
78,1927,6.344648596853698,2,PowderBlue,B
79,1928,6.577956930931354,2,PowderBlue,B
80,1929,6.593368836771987,2,PowderBlue,B
81,1930,6.589730661576017,2,PowderBlue,B
82,1931,6.853342581646317,2,PowderBlue,B
83,1932,6.8853259196150125,2,PowderBlue,B
84,1933,6.814376718081534,2,PowderBlue,B
85,1934,6.964031655714805,2,PowderBlue,B
86,1935,7.065964803148311,2,PowderBlue,B
87,1936,7.049275243728337,2,PowderBlue,B
88,1937,7.04694793784894,2,PowderBlue,B
89,1938,7.1032967794686614,2,PowderBlue,B
90,1939,6.957123409688273,2,PowderBlue,B
91,1940,7.103735864976537,2,PowderBlue,B
92,1941,7.271830417885688,2,PowderBlue,B
93,1942,7.184578586918388,2,PowderBlue,B
94,1943,7.213473791125268,2,PowderBlue,B
95,1944,7.481115588147758,2,PowderBlue,B
96,1945,7.895881942887344,2,PowderBlue,B
97,1946,7.798799168245193,2,PowderBlue,B
98,1947,7.6504485326970535,2,PowderBlue,B
99,1948,8.1337656663292,2,PowderBlue,B
100,1949,8.169443560909837,2,PowderBlue,B
101,1950,8.265814764744546,2,PowderBlue,B
102,1951,8.396542352122417,2,PowderBlue,B
103,1952,8.309152540382932,2,PowderBlue,B
104,1953,8.727471802158583,2,PowderBlue,B
105,1954,8.7742100446243,2,PowderBlue,B
106,1955,8.965120626404008,2,PowderBlue,B
107,1956,9.157351985943425,2,PowderBlue,B
108,1957,9.147998399867872,2,PowderBlue,B
109,1958,9.410124649527047,2,PowderBlue,B
110,1959,9.242304066204333,2,PowderBlue,B
111,1960,9.528623259106775,2,PowderBlue,B
112,1961,9.877850882388463,2,PowderBlue,B
113,1962,9.506130201325623,2,PowderBlue,B
114,1963,9.942443365516107,2,PowderBlue,B
115,1964,9.899566183420399,2,PowderBlue,B
116,1965,9.618711621539958,2,PowderBlue,B
117,1966,10.413313500638749,3,CornflowerBlue,C
118,1967,10.7175590509549,3,CornflowerBlue,C
119,1968,10.908674003527652,3,CornflowerBlue,C
120,1969,10.810660018835467,3,CornflowerBlue,C
121,1970,10.982202224502712,3,CornflowerBlue,C
122,1971,11.105173974218998,3,CornflowerBlue,C
123,1972,11.697965980094212,3,CornflowerBlue,C
124,1973,11.9176077573966,3,CornflowerBlue,C
125,1974,12.37172811155786,3,CornflowerBlue,C
126,1975,12.206992872635373,3,CornflowerBlue,C
127,1976,12.75255618662135,3,CornflowerBlue,C
128,1977,12.915020902131806,3,CornflowerBlue,C
129,1978,13.159725683146474,3,CornflowerBlue,C
130,1979,12.997633688555597,3,CornflowerBlue,C
131,1980,13.239681280459632,3,CornflowerBlue,C
132,1981,13.290021363917418,3,CornflowerBlue,C
133,1982,14.085390268805394,3,CornflowerBlue,C
134,1983,13.89454018424808,3,CornflowerBlue,C
135,1984,14.296992937351828,3,CornflowerBlue,C
136,1985,14.73681705840857,3,CornflowerBlue,C
137,1986,15.075104888654593,4,LightYellow,D
138,1987,15.39368675809324,4,LightYellow,D
139,1988,16.11354252823752,4,LightYellow,D
140,1989,16.709549332548498,4,LightYellow,D
141,1990,16.84442438303834,4,LightYellow,D
142,1991,17.954477642162754,4,LightYellow,D
143,1992,18.727543750656803,4,LightYellow,D
144,1993,18.48389785031475,4,LightYellow,D
145,1994,19.514640539064313,4,LightYellow,D
146,1995,19.6363711126849,4,LightYellow,D
147,1996,20.403866169153826,5,Vanilla,E
