Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,29.8378088941824,5,Vanilla,E
2,1851,29.91410073746831,5,Vanilla,E
3,1852,32.75948334668661,6,Dandelion,F
4,1853,30.72879353160834,6,Dandelion,F
5,1854,31.350534392478878,6,Dandelion,F
6,1855,30.8923124589466,6,Dandelion,F
7,1856,31.357605364732915,6,Dandelion,F
8,1857,33.71806432227845,6,Dandelion,F
9,1858,34.98485928959668,6,Dandelion,F
10,1859,31.393233114248787,6,Dandelion,F
11,1860,31.154319611029386,6,Dandelion,F
12,1861,31.034413855591694,6,Dandelion,F
13,1862,32.56431429722455,6,Dandelion,F
14,1863,30.024121200502677,6,Dandelion,F
15,1864,30.09508063279866,6,Dandelion,F
16,1865,31.440749921429575,6,Dandelion,F
17,1866,31.817389655166778,6,Dandelion,F
18,1867,30.86471771266117,6,Dandelion,F
19,1868,30.000749437465572,6,Dandelion,F
20,1869,31.155173320709615,6,Dandelion,F
21,1870,32.027374913732665,6,Dandelion,F
22,1871,31.77300081378518,6,Dandelion,F
23,1872,31.485526367688628,6,Dandelion,F
24,1873,30.775063863635236,6,Dandelion,F
25,1874,32.03483087983738,6,Dandelion,F
26,1875,33.50570213099965,6,Dandelion,F
27,1876,31.078052435548354,6,Dandelion,F
28,1877,33.05088061841319,6,Dandelion,F
29,1878,30.847194463147968,6,Dandelion,F
30,1879,32.94305630248912,6,Dandelion,F
31,1880,30.79473220065269,6,Dandelion,F
32,1881,30.62774527532137,6,Dandelion,F
33,1882,30.760104887851753,6,Dandelion,F
34,1883,31.38100659886797,6,Dandelion,F
35,1884,31.743731884563502,6,Dandelion,F
36,1885,32.18535694543015,6,Dandelion,F
37,1886,33.26059784226682,6,Dandelion,F
38,1887,34.11859666688871,6,Dandelion,F
39,1888,34.40116660288804,6,Dandelion,F
40,1889,31.369326762245343,6,Dandelion,F
41,1890,32.537759878692036,6,Dandelion,F
42,1891,33.5862441540518,6,Dandelion,F
43,1892,32.60007889268239,6,Dandelion,F
44,1893,31.51920983183844,6,Dandelion,F
45,1894,32.12363273440207,6,Dandelion,F
46,1895,30.577966613377193,6,Dandelion,F
47,1896,33.664312540489746,6,Dandelion,F
48,1897,30.68903374974638,6,Dandelion,F
49,1898,30.21573921344914,6,Dandelion,F
50,1899,32.069688043658076,6,Dandelion,F
51,1900,31.893963394549683,6,Dandelion,F
52,1901,31.77603526580442,6,Dandelion,F
53,1902,31.77840811235978,6,Dandelion,F
54,1903,30.43261971357859,6,Dandelion,F
55,1904,31.438848863379093,6,Dandelion,F
56,1905,31.045065870566653,6,Dandelion,F
57,1906,31.343838234316678,6,Dandelion,F
58,1907,30.890009703809,6,Dandelion,F
59,1908,31.676832777494727,6,Dandelion,F
60,1909,34.63581882188621,6,Dandelion,F
61,1910,34.51488984714039,6,Dandelion,F
62,1911,32.88143408666321,6,Dandelion,F
63,1912,32.65638126059159,6,Dandelion,F
64,1913,31.938904928368142,6,Dandelion,F
65,1914,33.84221124205628,6,Dandelion,F
66,1915,31.647804677484764,6,Dandelion,F
67,1916,35.752004577242126,6,Dandelion,F
68,1917,34.06389106249846,6,Dandelion,F
69,1918,30.8971823635833,6,Dandelion,F
70,1919,30.897414157099735,6,Dandelion,F
71,1920,29.479388718534885,5,Vanilla,E
72,1921,34.96280863346847,6,Dandelion,F
73,1922,32.3445443377292,6,Dandelion,F
74,1923,33.69771370051454,6,Dandelion,F
75,1924,31.425866867845325,6,Dandelion,F
76,1925,32.78130942431585,6,Dandelion,F
77,1926,30.771295191287383,6,Dandelion,F
78,1927,31.631713344639,6,Dandelion,F
79,1928,34.793667872234494,6,Dandelion,F
80,1929,33.31333148400749,6,Dandelion,F
81,1930,30.637520686436257,6,Dandelion,F
82,1931,33.42430336350462,6,Dandelion,F
83,1932,33.08854622560067,6,Dandelion,F
84,1933,32.98280687905711,6,Dandelion,F
85,1934,32.99501443911557,6,Dandelion,F
86,1935,33.84500945971108,6,Dandelion,F
87,1936,31.88793705832565,6,Dandelion,F
88,1937,31.157577375937084,6,Dandelion,F
89,1938,34.24063347755196,6,Dandelion,F
90,1939,33.40347349732453,6,Dandelion,F
91,1940,32.385758031125505,6,Dandelion,F
92,1941,31.87138773376478,6,Dandelion,F
93,1942,33.5235429279565,6,Dandelion,F
94,1943,35.04366186104204,6,Dandelion,F
95,1944,34.428023119850394,6,Dandelion,F
96,1945,33.90855734004792,6,Dandelion,F
97,1946,34.832412053769794,6,Dandelion,F
98,1947,34.33860632024488,6,Dandelion,F
99,1948,32.90762680030819,6,Dandelion,F
100,1949,32.32180608537224,6,Dandelion,F
101,1950,33.19873231829625,6,Dandelion,F
102,1951,32.22654740190207,6,Dandelion,F
103,1952,31.59870181403803,6,Dandelion,F
104,1953,35.46498839087244,6,Dandelion,F
105,1954,31.345594536778957,6,Dandelion,F
106,1955,31.451989180877558,6,Dandelion,F
107,1956,32.573943367234705,6,Dandelion,F
