Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,5.948866665283117,2,PowderBlue,B
2,1851,6.388587013839032,2,PowderBlue,B
3,1852,6.5041527329714866,2,PowderBlue,B
4,1853,6.097177098364333,2,PowderBlue,B
5,1854,6.182560662430449,2,PowderBlue,B
6,1855,6.871036419108734,2,PowderBlue,B
7,1856,6.611731505463651,2,PowderBlue,B
8,1857,6.361436080732398,2,PowderBlue,B
9,1858,6.25193275425541,2,PowderBlue,B
10,1859,6.697579297132368,2,PowderBlue,B
11,1860,6.3360067662146635,2,PowderBlue,B
12,1861,7.0251799553060446,2,PowderBlue,B
13,1862,6.742127123980525,2,PowderBlue,B
14,1863,6.634480649673721,2,PowderBlue,B
15,1864,6.494891803640506,2,PowderBlue,B
16,1865,6.247976903264199,2,PowderBlue,B
17,1866,6.937655664069199,2,PowderBlue,B
18,1867,6.944644061495073,2,PowderBlue,B
19,1868,6.773004847554365,2,PowderBlue,B
20,1869,6.385958553355561,2,PowderBlue,B
21,1870,6.886659175592757,2,PowderBlue,B
22,1871,6.458058046590537,2,PowderBlue,B
23,1872,6.540588049667354,2,PowderBlue,B
24,1873,6.646118572957263,2,PowderBlue,B
25,1874,6.810948215574088,2,PowderBlue,B
26,1875,6.6111940940373985,2,PowderBlue,B
27,1876,6.12160904772721,2,PowderBlue,B
28,1877,6.480774825503948,2,PowderBlue,B
29,1878,6.8112160574198715,2,PowderBlue,B
30,1879,6.254500651866634,2,PowderBlue,B
31,1880,6.528685443205942,2,PowderBlue,B
32,1881,6.847640753821881,2,PowderBlue,B
33,1882,7.366131552790213,2,PowderBlue,B
34,1883,6.161480966180756,2,PowderBlue,B
35,1884,6.737747085268314,2,PowderBlue,B
36,1885,6.766646403302738,2,PowderBlue,B
37,1886,6.892516642208136,2,PowderBlue,B
38,1887,6.647965736773802,2,PowderBlue,B
39,1888,6.906151476415625,2,PowderBlue,B
40,1889,6.446276951154451,2,PowderBlue,B
41,1890,7.029212115463054,2,PowderBlue,B
42,1891,7.411867818149568,2,PowderBlue,B
43,1892,6.49512960571772,2,PowderBlue,B
44,1893,6.8098164658068185,2,PowderBlue,B
45,1894,7.204430601525221,2,PowderBlue,B
46,1895,6.984001921337856,2,PowderBlue,B
47,1896,6.714166613511036,2,PowderBlue,B
48,1897,6.945123221005452,2,PowderBlue,B
49,1898,6.509172997277279,2,PowderBlue,B
50,1899,7.6583906739291505,2,PowderBlue,B
51,1900,7.34659052136068,2,PowderBlue,B
52,1901,7.337478444134641,2,PowderBlue,B
53,1902,7.125619542871778,2,PowderBlue,B
54,1903,7.083753694355207,2,PowderBlue,B
55,1904,7.105952208337701,2,PowderBlue,B
56,1905,7.640928363709758,2,PowderBlue,B
57,1906,7.377842529687613,2,PowderBlue,B
58,1907,7.541474281089823,2,PowderBlue,B
59,1908,8.074783158159452,2,PowderBlue,B
60,1909,7.528820427291255,2,PowderBlue,B
61,1910,7.92666755019833,2,PowderBlue,B
62,1911,7.1048143813688505,2,PowderBlue,B
63,1912,7.565934076051746,2,PowderBlue,B
64,1913,7.040176119458729,2,PowderBlue,B
65,1914,7.381570787427081,2,PowderBlue,B
66,1915,7.4710794099419235,2,PowderBlue,B
67,1916,7.435860540786212,2,PowderBlue,B
68,1917,7.301794489900344,2,PowderBlue,B
69,1918,6.976456151264578,2,PowderBlue,B
70,1919,7.752078601604149,2,PowderBlue,B
71,1920,7.651434390066558,2,PowderBlue,B
72,1921,6.987151590495114,2,PowderBlue,B
73,1922,7.199842931814865,2,PowderBlue,B
74,1923,7.0497961133689415,2,PowderBlue,B
75,1924,7.687439347165672,2,PowderBlue,B
76,1925,8.141956320669397,2,PowderBlue,B
77,1926,8.281297475497233,2,PowderBlue,B
78,1927,8.284394656586583,2,PowderBlue,B
79,1928,8.060824425767235,2,PowderBlue,B
80,1929,8.116622796703885,2,PowderBlue,B
81,1930,7.3591849820932005,2,PowderBlue,B
82,1931,7.882765329933853,2,PowderBlue,B
83,1932,7.95525659546937,2,PowderBlue,B
84,1933,7.689238632410239,2,PowderBlue,B
85,1934,7.420134261963513,2,PowderBlue,B
86,1935,8.011432787179587,2,PowderBlue,B
87,1936,8.12689102013,2,PowderBlue,B
88,1937,7.733633817270585,2,PowderBlue,B
89,1938,8.009012010423762,2,PowderBlue,B
90,1939,7.937558519633619,2,PowderBlue,B
91,1940,7.743325068692789,2,PowderBlue,B
92,1941,7.674924613364333,2,PowderBlue,B
93,1942,7.462329557659454,2,PowderBlue,B
94,1943,8.04961838768515,2,PowderBlue,B
95,1944,7.323487874275206,2,PowderBlue,B
96,1945,7.3709379188231745,2,PowderBlue,B
97,1946,7.641727112029081,2,PowderBlue,B
98,1947,8.118325179564032,2,PowderBlue,B
99,1948,8.530322389324319,2,PowderBlue,B
100,1949,7.945727473634182,2,PowderBlue,B
101,1950,8.2543152276839,2,PowderBlue,B
102,1951,9.004576769528981,2,PowderBlue,B
103,1952,8.560178126976895,2,PowderBlue,B
104,1953,8.166251659113119,2,PowderBlue,B
105,1954,8.500313098965213,2,PowderBlue,B
106,1955,8.905052636932488,2,PowderBlue,B
107,1956,9.01351244374324,2,PowderBlue,B
108,1957,8.739974398704936,2,PowderBlue,B
109,1958,9.018858603734186,2,PowderBlue,B
110,1959,9.32538514651322,2,PowderBlue,B
111,1960,8.694496697067466,2,PowderBlue,B
112,1961,9.693034141785688,2,PowderBlue,B
113,1962,9.56892617483715,2,PowderBlue,B
114,1963,9.169767658080433,2,PowderBlue,B
115,1964,9.312178137262599,2,PowderBlue,B
116,1965,10.010316976373858,3,CornflowerBlue,C
117,1966,9.211872753042243,2,PowderBlue,B
118,1967,9.751148976840815,2,PowderBlue,B
119,1968,10.526530165273224,3,CornflowerBlue,C
120,1969,10.535861209146663,3,CornflowerBlue,C
121,1970,10.798685236411051,3,CornflowerBlue,C
122,1971,10.38597098551772,3,CornflowerBlue,C
123,1972,11.048405365452327,3,CornflowerBlue,C
124,1973,10.595632470384201,3,CornflowerBlue,C
125,1974,11.812434154340876,3,CornflowerBlue,C
126,1975,12.334363672385352,3,CornflowerBlue,C
127,1976,11.648354296912167,3,CornflowerBlue,C
128,1977,11.975266741435421,3,CornflowerBlue,C
129,1978,11.946711431601257,3,CornflowerBlue,C
130,1979,12.949275200762566,3,CornflowerBlue,C
131,1980,12.961377929057642,3,CornflowerBlue,C
