Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,13.88829292372607,3,CornflowerBlue,C
2,1851,12.903801637328518,3,CornflowerBlue,C
3,1852,13.306834421407084,3,CornflowerBlue,C
4,1853,13.460447699796454,3,CornflowerBlue,C
5,1854,13.437542347786199,3,CornflowerBlue,C
6,1855,12.9293507878034,3,CornflowerBlue,C
7,1856,13.089681797483081,3,CornflowerBlue,C
8,1857,13.134529856593666,3,CornflowerBlue,C
9,1858,13.288924380672963,3,CornflowerBlue,C
10,1859,14.347218016332997,3,CornflowerBlue,C
11,1860,13.082396717777609,3,CornflowerBlue,C
12,1861,12.95047186240504,3,CornflowerBlue,C
13,1862,12.599751233752205,3,CornflowerBlue,C
14,1863,14.32691503933062,3,CornflowerBlue,C
15,1864,14.58213650911412,3,CornflowerBlue,C
16,1865,13.464651155492014,3,CornflowerBlue,C
17,1866,13.158697955264492,3,CornflowerBlue,C
18,1867,13.138604337639126,3,CornflowerBlue,C
19,1868,12.60994163535763,3,CornflowerBlue,C
20,1869,13.275432226272018,3,CornflowerBlue,C
21,1870,13.24668342744287,3,CornflowerBlue,C
22,1871,14.064472954966574,3,CornflowerBlue,C
23,1872,13.192884665925595,3,CornflowerBlue,C
24,1873,13.855638646740719,3,CornflowerBlue,C
25,1874,14.195728964146536,3,CornflowerBlue,C
26,1875,13.923488991886401,3,CornflowerBlue,C
27,1876,13.725171198181012,3,CornflowerBlue,C
28,1877,13.834264180054168,3,CornflowerBlue,C
29,1878,15.522253014157824,4,LightYellow,D
30,1879,13.544527130475489,3,CornflowerBlue,C
31,1880,13.808698069997304,3,CornflowerBlue,C
32,1881,12.767127422109686,3,CornflowerBlue,C
33,1882,13.656671601882335,3,CornflowerBlue,C
34,1883,14.005137120136194,3,CornflowerBlue,C
35,1884,14.385465045565537,3,CornflowerBlue,C
36,1885,12.990097436608526,3,CornflowerBlue,C
37,1886,13.713416977900323,3,CornflowerBlue,C
38,1887,14.642893590540625,3,CornflowerBlue,C
39,1888,13.807803602346706,3,CornflowerBlue,C
40,1889,14.154041659345634,3,CornflowerBlue,C
41,1890,13.745387626567851,3,CornflowerBlue,C
42,1891,14.548678160159396,3,CornflowerBlue,C
43,1892,14.339944316006465,3,CornflowerBlue,C
44,1893,13.304325836123914,3,CornflowerBlue,C
45,1894,13.476349488129891,3,CornflowerBlue,C
46,1895,14.155732183161666,3,CornflowerBlue,C
47,1896,14.329389681156607,3,CornflowerBlue,C
48,1897,15.315048015247719,4,LightYellow,D
49,1898,14.15895189318202,3,CornflowerBlue,C
50,1899,13.717078291622872,3,CornflowerBlue,C
51,1900,13.274135363207208,3,CornflowerBlue,C
52,1901,14.068145201777664,3,CornflowerBlue,C
53,1902,13.724821390290348,3,CornflowerBlue,C
54,1903,14.806732681840362,3,CornflowerBlue,C
55,1904,14.536004204185875,3,CornflowerBlue,C
56,1905,14.489385497870936,3,CornflowerBlue,C
57,1906,13.255794580367802,3,CornflowerBlue,C
58,1907,14.994254187989386,3,CornflowerBlue,C
59,1908,13.604391351744395,3,CornflowerBlue,C
60,1909,14.311944001007186,3,CornflowerBlue,C
61,1910,14.99004484647315,3,CornflowerBlue,C
62,1911,14.68041383895963,3,CornflowerBlue,C
63,1912,15.00509785609728,4,LightYellow,D
64,1913,15.212837818335085,4,LightYellow,D
65,1914,13.894341795467183,3,CornflowerBlue,C
66,1915,14.471546915303701,3,CornflowerBlue,C
67,1916,13.3681869343256,3,CornflowerBlue,C
68,1917,14.621698438722762,3,CornflowerBlue,C
69,1918,14.313933570026725,3,CornflowerBlue,C
70,1919,14.136415450478799,3,CornflowerBlue,C
71,1920,13.214482101720561,3,CornflowerBlue,C
72,1921,14.720549210741959,3,CornflowerBlue,C
73,1922,13.565589877550527,3,CornflowerBlue,C
74,1923,14.29969108555993,3,CornflowerBlue,C
75,1924,13.965673713696184,3,CornflowerBlue,C
76,1925,13.973970089267029,3,CornflowerBlue,C
77,1926,14.406849919503045,3,CornflowerBlue,C
78,1927,14.366868855355866,3,CornflowerBlue,C
79,1928,13.621636404937554,3,CornflowerBlue,C
80,1929,14.506658807075409,3,CornflowerBlue,C
81,1930,14.086410510646306,3,CornflowerBlue,C
82,1931,13.465713397503702,3,CornflowerBlue,C
83,1932,13.333629470004123,3,CornflowerBlue,C
84,1933,12.79800702553689,3,CornflowerBlue,C
85,1934,14.242996120232522,3,CornflowerBlue,C
86,1935,13.871456204889387,3,CornflowerBlue,C
87,1936,14.60045884840765,3,CornflowerBlue,C
88,1937,14.369938344599746,3,CornflowerBlue,C
89,1938,14.949217342305632,3,CornflowerBlue,C
90,1939,14.485924195718638,3,CornflowerBlue,C
91,1940,15.082336209007375,4,LightYellow,D
92,1941,13.930845291901441,3,CornflowerBlue,C
93,1942,13.73769198988343,3,CornflowerBlue,C
94,1943,14.170191769920379,3,CornflowerBlue,C
95,1944,14.985352648146367,3,CornflowerBlue,C
96,1945,13.241793854373359,3,CornflowerBlue,C
97,1946,13.573781287085966,3,CornflowerBlue,C
98,1947,13.56887051418271,3,CornflowerBlue,C
99,1948,15.473367013160372,4,LightYellow,D
100,1949,13.926597198816701,3,CornflowerBlue,C
101,1950,14.970364225268103,3,CornflowerBlue,C
102,1951,16.576561559624498,4,LightYellow,D
103,1952,16.021673804308456,4,LightYellow,D
104,1953,15.297737874292913,4,LightYellow,D
105,1954,16.424551051189606,4,LightYellow,D
106,1955,15.580376696775017,4,LightYellow,D
107,1956,17.238530709617702,4,LightYellow,D
108,1957,17.051185993676413,4,LightYellow,D
109,1958,16.329377562113415,4,LightYellow,D
110,1959,17.2978311089669,4,LightYellow,D
111,1960,17.50300546237949,4,LightYellow,D
112,1961,17.753391697409544,4,LightYellow,D
113,1962,18.085651679078513,4,LightYellow,D
114,1963,18.663710893979648,4,LightYellow,D
115,1964,18.293062002462886,4,LightYellow,D
116,1965,20.571388379571385,5,Vanilla,E
