Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,15.220232477928294,4,LightYellow,D
2,1851,15.640164112352721,4,LightYellow,D
3,1852,15.04133289140446,4,LightYellow,D
4,1853,14.915273312431182,3,CornflowerBlue,C
5,1854,15.463629879263282,4,LightYellow,D
6,1855,16.077588653087023,4,LightYellow,D
7,1856,16.154000135261217,4,LightYellow,D
8,1857,16.66806574600063,4,LightYellow,D
9,1858,16.04419033601372,4,LightYellow,D
10,1859,16.030824219213,4,LightYellow,D
11,1860,16.87667986365181,4,LightYellow,D
12,1861,17.5914017682421,4,LightYellow,D
13,1862,17.222207144819826,4,LightYellow,D
14,1863,16.212878221899768,4,LightYellow,D
15,1864,16.399857703264047,4,LightYellow,D
16,1865,17.269920284711482,4,LightYellow,D
17,1866,18.01613346827089,4,LightYellow,D
18,1867,17.862392888651787,4,LightYellow,D
19,1868,17.54032020691583,4,LightYellow,D
20,1869,18.152473885967648,4,LightYellow,D
21,1870,17.87791167312445,4,LightYellow,D
22,1871,18.163508953457804,4,LightYellow,D
23,1872,18.06441244704146,4,LightYellow,D
24,1873,18.326248235854507,4,LightYellow,D
25,1874,18.005561186032757,4,LightYellow,D
26,1875,18.505623237374362,4,LightYellow,D
27,1876,18.88692850565892,4,LightYellow,D
28,1877,19.254535417013,4,LightYellow,D
29,1878,18.76279812656827,4,LightYellow,D
30,1879,18.19842219418689,4,LightYellow,D
31,1880,19.742196293408423,4,LightYellow,D
32,1881,19.514209801606462,4,LightYellow,D
33,1882,21.077025914321425,5,Vanilla,E
34,1883,20.49507177586906,5,Vanilla,E
35,1884,20.00415816280047,5,Vanilla,E
36,1885,20.362524559605223,5,Vanilla,E
37,1886,20.49622843680193,5,Vanilla,E
38,1887,20.105257594987446,5,Vanilla,E
39,1888,19.739878336105654,4,LightYellow,D
40,1889,20.52259769472558,5,Vanilla,E
41,1890,21.33985667803895,5,Vanilla,E
42,1891,21.79994658159434,5,Vanilla,E
43,1892,21.21341040526997,5,Vanilla,E
44,1893,21.729296142667913,5,Vanilla,E
45,1894,21.523877255533144,5,Vanilla,E
46,1895,21.836812374630235,5,Vanilla,E
47,1896,21.334483734818388,5,Vanilla,E
48,1897,22.216793332268516,5,Vanilla,E
49,1898,22.760563960408586,5,Vanilla,E
50,1899,23.543686693649384,5,Vanilla,E
51,1900,24.94410016497355,5,Vanilla,E
52,1901,22.686742425551554,5,Vanilla,E
53,1902,22.974486973332798,5,Vanilla,E
54,1903,23.007013827268395,5,Vanilla,E
55,1904,24.332878844576083,5,Vanilla,E
56,1905,24.434983877330176,5,Vanilla,E
57,1906,24.2987709044527,5,Vanilla,E
58,1907,24.85355954499876,5,Vanilla,E
59,1908,26.486877011478853,5,Vanilla,E
60,1909,24.453539132385604,5,Vanilla,E
61,1910,25.475888294400683,5,Vanilla,E
62,1911,25.18370926183003,5,Vanilla,E
63,1912,26.96395836026732,5,Vanilla,E
64,1913,26.49532226472028,5,Vanilla,E
65,1914,25.533651158083227,5,Vanilla,E
66,1915,23.706619225763486,5,Vanilla,E
67,1916,25.27489571253848,5,Vanilla,E
68,1917,24.12348093074169,5,Vanilla,E
69,1918,23.793436099957727,5,Vanilla,E
70,1919,24.205023279143933,5,Vanilla,E
71,1920,24.443823407834003,5,Vanilla,E
72,1921,22.555281574558375,5,Vanilla,E
73,1922,24.784414114642516,5,Vanilla,E
74,1923,24.724656854397217,5,Vanilla,E
75,1924,25.42356087126306,5,Vanilla,E
76,1925,25.907207101123237,5,Vanilla,E
77,1926,23.274620717886513,5,Vanilla,E
78,1927,26.472357071225225,5,Vanilla,E
79,1928,26.305732623328804,5,Vanilla,E
80,1929,26.407098788477235,5,Vanilla,E
81,1930,27.676149865734992,5,Vanilla,E
82,1931,25.6149636091026,5,Vanilla,E
83,1932,25.005341946056774,5,Vanilla,E
84,1933,25.193670284667355,5,Vanilla,E
85,1934,24.976631872472918,5,Vanilla,E
86,1935,24.98458132161896,5,Vanilla,E
87,1936,25.60206183752584,5,Vanilla,E
88,1937,27.34391004560677,5,Vanilla,E
89,1938,28.74307940513235,5,Vanilla,E
90,1939,27.215791795890635,5,Vanilla,E
91,1940,26.48131115472965,5,Vanilla,E
92,1941,25.5758235631511,5,Vanilla,E
93,1942,25.395613343927227,5,Vanilla,E
94,1943,26.050782451882476,5,Vanilla,E
95,1944,23.256565117500607,5,Vanilla,E
96,1945,19.880469539509647,4,LightYellow,D
97,1946,22.265324000267345,5,Vanilla,E
98,1947,25.995403100893135,5,Vanilla,E
99,1948,25.3586919937412,5,Vanilla,E
100,1949,25.692916801485737,5,Vanilla,E
101,1950,27.370032472262057,5,Vanilla,E
102,1951,26.45686686757702,5,Vanilla,E
103,1952,26.258157236261383,5,Vanilla,E
104,1953,25.836068427486914,5,Vanilla,E
105,1954,26.29181009010783,5,Vanilla,E
106,1955,29.098326153442102,5,Vanilla,E
107,1956,26.60736490268325,5,Vanilla,E
108,1957,28.127968365950416,5,Vanilla,E
109,1958,27.336622200370144,5,Vanilla,E
110,1959,25.908587474932688,5,Vanilla,E
111,1960,28.18814058486545,5,Vanilla,E
112,1961,28.612882296948232,5,Vanilla,E
113,1962,29.53646489929809,5,Vanilla,E
114,1963,29.48801088652487,5,Vanilla,E
115,1964,29.056515439469674,5,Vanilla,E
116,1965,28.989574610491335,5,Vanilla,E
117,1966,26.59645628904399,5,Vanilla,E
118,1967,27.442820291557986,5,Vanilla,E
119,1968,25.782385755437733,5,Vanilla,E
120,1969,26.396596677942224,5,Vanilla,E
121,1970,25.580145863955455,5,Vanilla,E
122,1971,23.605363409637512,5,Vanilla,E
123,1972,24.263145028204512,5,Vanilla,E
124,1973,24.1736349046473,5,Vanilla,E
125,1974,24.227385935625634,5,Vanilla,E
126,1975,22.900153685088558,5,Vanilla,E
127,1976,21.45949829868918,5,Vanilla,E
128,1977,22.386364149641864,5,Vanilla,E
