Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,8.352131343111475,2,PowderBlue,B
2,1851,6.9933655873224545,2,PowderBlue,B
3,1852,7.8495681246757965,2,PowderBlue,B
4,1853,7.5073857223198095,2,PowderBlue,B
5,1854,7.916026001426295,2,PowderBlue,B
6,1855,7.051245953839924,2,PowderBlue,B
7,1856,7.687721268873856,2,PowderBlue,B
8,1857,7.0809161750117875,2,PowderBlue,B
9,1858,7.650774844677047,2,PowderBlue,B
10,1859,7.728663034862041,2,PowderBlue,B
11,1860,7.4120441230845415,2,PowderBlue,B
12,1861,7.973165128925478,2,PowderBlue,B
13,1862,7.281925623217089,2,PowderBlue,B
14,1863,7.744999212868141,2,PowderBlue,B
15,1864,8.531048314979666,2,PowderBlue,B
16,1865,8.018158819124523,2,PowderBlue,B
17,1866,7.514713081526827,2,PowderBlue,B
18,1867,7.876393973303705,2,PowderBlue,B
19,1868,7.751424250947228,2,PowderBlue,B
20,1869,7.759965729944947,2,PowderBlue,B
21,1870,7.353194485932075,2,PowderBlue,B
22,1871,7.876005143304927,2,PowderBlue,B
23,1872,7.521138777290281,2,PowderBlue,B
24,1873,7.697926948884519,2,PowderBlue,B
25,1874,7.701150674132593,2,PowderBlue,B
26,1875,7.841880512758466,2,PowderBlue,B
27,1876,8.023859725500598,2,PowderBlue,B
28,1877,7.776463830816453,2,PowderBlue,B
29,1878,7.502329792870694,2,PowderBlue,B
30,1879,7.7813246803213705,2,PowderBlue,B
31,1880,7.9631341665441315,2,PowderBlue,B
32,1881,7.729935025590412,2,PowderBlue,B
33,1882,7.951460964066139,2,PowderBlue,B
34,1883,8.457447987134648,2,PowderBlue,B
35,1884,7.966562880426856,2,PowderBlue,B
36,1885,8.03330166012197,2,PowderBlue,B
37,1886,7.91316729855714,2,PowderBlue,B
38,1887,7.826796945507012,2,PowderBlue,B
39,1888,8.747507516573831,2,PowderBlue,B
40,1889,7.984820149591257,2,PowderBlue,B
41,1890,8.167074058581479,2,PowderBlue,B
42,1891,8.61802529324107,2,PowderBlue,B
43,1892,8.443720428162408,2,PowderBlue,B
44,1893,7.963759093147953,2,PowderBlue,B
45,1894,8.105786759428787,2,PowderBlue,B
46,1895,7.946359248881931,2,PowderBlue,B
47,1896,8.033911816697577,2,PowderBlue,B
48,1897,8.35386103697859,2,PowderBlue,B
49,1898,7.709233495042261,2,PowderBlue,B
50,1899,8.158389923661462,2,PowderBlue,B
51,1900,8.322909845736344,2,PowderBlue,B
52,1901,8.18570010755821,2,PowderBlue,B
53,1902,8.12797381596366,2,PowderBlue,B
54,1903,8.255370056468509,2,PowderBlue,B
55,1904,8.347464971624227,2,PowderBlue,B
56,1905,8.873269730280729,2,PowderBlue,B
57,1906,8.509716904119355,2,PowderBlue,B
58,1907,8.854029488712722,2,PowderBlue,B
59,1908,7.886106106166035,2,PowderBlue,B
60,1909,8.675487944242978,2,PowderBlue,B
61,1910,8.393855392996974,2,PowderBlue,B
62,1911,8.969305225804908,2,PowderBlue,B
63,1912,8.638622406429148,2,PowderBlue,B
64,1913,8.93509537994177,2,PowderBlue,B
65,1914,8.962616553758059,2,PowderBlue,B
66,1915,8.723815980150821,2,PowderBlue,B
67,1916,8.818269844399586,2,PowderBlue,B
68,1917,8.936623213308007,2,PowderBlue,B
69,1918,8.746239918772757,2,PowderBlue,B
70,1919,8.71629007317175,2,PowderBlue,B
71,1920,8.447413573646784,2,PowderBlue,B
72,1921,8.54526222002244,2,PowderBlue,B
73,1922,8.844735400845876,2,PowderBlue,B
74,1923,9.410685345534935,2,PowderBlue,B
75,1924,8.41911795466161,2,PowderBlue,B
76,1925,9.348141058623195,2,PowderBlue,B
77,1926,9.469683656780129,2,PowderBlue,B
78,1927,9.33353036571127,2,PowderBlue,B
79,1928,8.860334204463555,2,PowderBlue,B
80,1929,9.444903781129073,2,PowderBlue,B
81,1930,9.400011266194475,2,PowderBlue,B
82,1931,9.470946573373547,2,PowderBlue,B
83,1932,9.395487871481087,2,PowderBlue,B
84,1933,9.441985194871307,2,PowderBlue,B
85,1934,9.546950390765396,2,PowderBlue,B
86,1935,10.222198047197148,3,CornflowerBlue,C
87,1936,10.23140300924016,3,CornflowerBlue,C
88,1937,10.04389169532592,3,CornflowerBlue,C
89,1938,10.837593680425469,3,CornflowerBlue,C
90,1939,10.235840269448175,3,CornflowerBlue,C
91,1940,10.431832084115475,3,CornflowerBlue,C
92,1941,10.329753233461389,3,CornflowerBlue,C
93,1942,10.236476372324752,3,CornflowerBlue,C
94,1943,10.447902398521132,3,CornflowerBlue,C
95,1944,10.17189396691137,3,CornflowerBlue,C
96,1945,10.104469574020637,3,CornflowerBlue,C
97,1946,10.760569485999428,3,CornflowerBlue,C
98,1947,10.152197648269283,3,CornflowerBlue,C
99,1948,10.478557591107318,3,CornflowerBlue,C
100,1949,10.904842875911088,3,CornflowerBlue,C
101,1950,11.397965712288784,3,CornflowerBlue,C
102,1951,12.028419999348129,3,CornflowerBlue,C
103,1952,11.584540799904588,3,CornflowerBlue,C
104,1953,12.086973270340554,3,CornflowerBlue,C
105,1954,11.834349726081662,3,CornflowerBlue,C
106,1955,12.258125825068978,3,CornflowerBlue,C
107,1956,13.222788651928443,3,CornflowerBlue,C
108,1957,12.76141031665397,3,CornflowerBlue,C
109,1958,13.081181346362843,3,CornflowerBlue,C
110,1959,13.273606434085833,3,CornflowerBlue,C
111,1960,14.089637444090556,3,CornflowerBlue,C
112,1961,13.38682164728184,3,CornflowerBlue,C
113,1962,13.761552319895566,3,CornflowerBlue,C
114,1963,13.641315996145606,3,CornflowerBlue,C
115,1964,14.462428916222187,3,CornflowerBlue,C
116,1965,14.5561256406458,3,CornflowerBlue,C
117,1966,14.904589125740317,3,CornflowerBlue,C
118,1967,14.157223305726784,3,CornflowerBlue,C
119,1968,15.536111931160725,4,LightYellow,D
120,1969,15.288269874292316,4,LightYellow,D
121,1970,15.487490058104191,4,LightYellow,D
122,1971,17.04436255456647,4,LightYellow,D
123,1972,17.049854982880674,4,LightYellow,D
124,1973,18.115544495283157,4,LightYellow,D
125,1974,17.713591307500963,4,LightYellow,D
126,1975,17.76424508421631,4,LightYellow,D
127,1976,20.10581425688024,5,Vanilla,E
128,1977,18.66827656468361,4,LightYellow,D
129,1978,20.2333106807696,5,Vanilla,E
130,1979,20.386256010786017,5,Vanilla,E
131,1980,20.806978788437053,5,Vanilla,E
132,1981,20.262042417953875,5,Vanilla,E
133,1982,21.25687473797312,5,Vanilla,E
134,1983,21.331258855222135,5,Vanilla,E
135,1984,21.916781605912497,5,Vanilla,E
136,1985,23.079258709051906,5,Vanilla,E
137,1986,23.289966446077788,5,Vanilla,E
138,1987,23.74235878804402,5,Vanilla,E
139,1988,22.28104558454541,5,Vanilla,E
140,1989,23.39373041380234,5,Vanilla,E
141,1990,23.380346000345515,5,Vanilla,E
142,1991,22.83411361487271,5,Vanilla,E
143,1992,23.07905767996924,5,Vanilla,E
144,1993,22.307147106732103,5,Vanilla,E
145,1994,21.5666057367339,5,Vanilla,E
146,1995,22.582098403420453,5,Vanilla,E
147,1996,21.90339458262612,5,Vanilla,E
148,1997,21.042035595259897,5,Vanilla,E
149,1998,22.614623056248526,5,Vanilla,E
150,1999,21.37164814476195,5,Vanilla,E
151,2000,21.68400579783006,5,Vanilla,E
152,2001,20.33333396911621,5,Vanilla,E
153,2002,22.383333206176758,5,Vanilla,E
154,2003,21.174999237060547,5,Vanilla,E
155,2004,20.125,5,Vanilla,E
156,2005,20.900001525878906,5,Vanilla,E
157,2006,23.850000381469727,5,Vanilla,E
158,2007,23.125,5,Vanilla,E
159,2008,24.233335494995117,5,Vanilla,E
160,2009,22.83333396911621,5,Vanilla,E
161,2010,23.350000381469727,5,Vanilla,E
162,2011,25.441665649414062,5,Vanilla,E
163,2012,24.600000381469727,5,Vanilla,E
164,2013,27.658334732055664,5,Vanilla,E
165,2014,25.875,5,Vanilla,E
166,2015,25.33333396911621,5,Vanilla,E
167,2016,23.658334732055664,5,Vanilla,E
168,2017,25.116666793823242,5,Vanilla,E
169,2018,24.80000114440918,5,Vanilla,E
170,2019,24.0,5,Vanilla,E
171,2020,24.7166690826416,5,Vanilla,E
172,2021,24.133331298828125,5,Vanilla,E
173,2022,26.05000114440918,5,Vanilla,E
