Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.953521328105026,3,CornflowerBlue,C
2,1851,11.265494467038106,3,CornflowerBlue,C
3,1852,11.385011380034223,3,CornflowerBlue,C
4,1853,11.610565720103613,3,CornflowerBlue,C
5,1854,11.854679256719262,3,CornflowerBlue,C
6,1855,11.615267865490456,3,CornflowerBlue,C
7,1856,11.04370063548216,3,CornflowerBlue,C
8,1857,11.943647135956382,3,CornflowerBlue,C
9,1858,12.808344402688501,3,CornflowerBlue,C
10,1859,11.33177315810945,3,CornflowerBlue,C
11,1860,11.049879928456212,3,CornflowerBlue,C
12,1861,11.36778937965202,3,CornflowerBlue,C
13,1862,11.360187273122513,3,CornflowerBlue,C
14,1863,11.383494255648992,3,CornflowerBlue,C
15,1864,11.605988480944506,3,CornflowerBlue,C
16,1865,10.947782148528232,3,CornflowerBlue,C
17,1866,11.76044665054271,3,CornflowerBlue,C
18,1867,11.117804965544519,3,CornflowerBlue,C
19,1868,11.948089820939561,3,CornflowerBlue,C
20,1869,11.782411170275527,3,CornflowerBlue,C
21,1870,12.131580795753672,3,CornflowerBlue,C
22,1871,11.835504838708227,3,CornflowerBlue,C
23,1872,11.56156713615191,3,CornflowerBlue,C
24,1873,11.45263637503331,3,CornflowerBlue,C
25,1874,11.915116837737967,3,CornflowerBlue,C
26,1875,11.712735268766552,3,CornflowerBlue,C
27,1876,11.366792693685744,3,CornflowerBlue,C
28,1877,11.755665664992405,3,CornflowerBlue,C
29,1878,12.237193778733168,3,CornflowerBlue,C
30,1879,11.147057581990556,3,CornflowerBlue,C
31,1880,11.237133466256747,3,CornflowerBlue,C
32,1881,11.685410465239613,3,CornflowerBlue,C
33,1882,11.632700755983562,3,CornflowerBlue,C
34,1883,11.336257045090273,3,CornflowerBlue,C
35,1884,12.362750372910943,3,CornflowerBlue,C
36,1885,11.354642010547318,3,CornflowerBlue,C
37,1886,11.427325846702335,3,CornflowerBlue,C
38,1887,11.742980648941574,3,CornflowerBlue,C
39,1888,12.179337644287902,3,CornflowerBlue,C
40,1889,12.190454850174097,3,CornflowerBlue,C
41,1890,12.5555491142283,3,CornflowerBlue,C
42,1891,11.768043169628188,3,CornflowerBlue,C
43,1892,12.114418455390357,3,CornflowerBlue,C
44,1893,11.9651322429483,3,CornflowerBlue,C
45,1894,12.803833332792738,3,CornflowerBlue,C
46,1895,12.00679434337898,3,CornflowerBlue,C
47,1896,11.055477320298726,3,CornflowerBlue,C
48,1897,12.11240391055094,3,CornflowerBlue,C
49,1898,12.374118114669123,3,CornflowerBlue,C
50,1899,11.492215445272842,3,CornflowerBlue,C
51,1900,11.40088795487615,3,CornflowerBlue,C
52,1901,11.90945956747526,3,CornflowerBlue,C
53,1902,11.885540341433515,3,CornflowerBlue,C
54,1903,11.599517656342318,3,CornflowerBlue,C
55,1904,11.725146660449232,3,CornflowerBlue,C
56,1905,11.858855544545195,3,CornflowerBlue,C
57,1906,12.107770021123947,3,CornflowerBlue,C
58,1907,12.064205832677771,3,CornflowerBlue,C
59,1908,12.542113239027374,3,CornflowerBlue,C
60,1909,12.709340722705756,3,CornflowerBlue,C
61,1910,12.861594639332447,3,CornflowerBlue,C
62,1911,12.109262203790196,3,CornflowerBlue,C
63,1912,12.696539336795286,3,CornflowerBlue,C
64,1913,12.785780436834292,3,CornflowerBlue,C
65,1914,13.075087937074342,3,CornflowerBlue,C
66,1915,12.742695053775853,3,CornflowerBlue,C
67,1916,11.737757570157358,3,CornflowerBlue,C
68,1917,12.067919684486554,3,CornflowerBlue,C
69,1918,12.738543724707219,3,CornflowerBlue,C
70,1919,12.270375667680446,3,CornflowerBlue,C
71,1920,11.894355032230806,3,CornflowerBlue,C
72,1921,12.4386164811444,3,CornflowerBlue,C
73,1922,12.057255605613562,3,CornflowerBlue,C
74,1923,12.99492703122619,3,CornflowerBlue,C
75,1924,12.379666077933662,3,CornflowerBlue,C
76,1925,12.281079858259469,3,CornflowerBlue,C
77,1926,12.80935307977576,3,CornflowerBlue,C
78,1927,12.799313933097649,3,CornflowerBlue,C
79,1928,12.505533470647482,3,CornflowerBlue,C
80,1929,12.470435671795824,3,CornflowerBlue,C
81,1930,12.801529100144801,3,CornflowerBlue,C
82,1931,12.425415644861427,3,CornflowerBlue,C
83,1932,13.27904822305961,3,CornflowerBlue,C
84,1933,12.274109981341576,3,CornflowerBlue,C
85,1934,12.827572951931264,3,CornflowerBlue,C
86,1935,13.372395891234236,3,CornflowerBlue,C
87,1936,13.51736468462269,3,CornflowerBlue,C
88,1937,13.335503870439137,3,CornflowerBlue,C
89,1938,13.195685260434427,3,CornflowerBlue,C
90,1939,13.666801575824522,3,CornflowerBlue,C
91,1940,14.090010503490172,3,CornflowerBlue,C
92,1941,13.042050355491911,3,CornflowerBlue,C
93,1942,13.705612785336179,3,CornflowerBlue,C
94,1943,13.1518070502416,3,CornflowerBlue,C
95,1944,13.218093052340796,3,CornflowerBlue,C
96,1945,13.637736076992976,3,CornflowerBlue,C
97,1946,12.777681297925929,3,CornflowerBlue,C
98,1947,13.616282682822746,3,CornflowerBlue,C
99,1948,13.774253390386049,3,CornflowerBlue,C
100,1949,12.895146379573161,3,CornflowerBlue,C
101,1950,14.40119420524401,3,CornflowerBlue,C
102,1951,14.03808906313416,3,CornflowerBlue,C
103,1952,13.60404576103812,3,CornflowerBlue,C
104,1953,14.541351757936166,3,CornflowerBlue,C
105,1954,13.956660559292354,3,CornflowerBlue,C
106,1955,14.724077540602483,3,CornflowerBlue,C
107,1956,14.273714842825989,3,CornflowerBlue,C
108,1957,15.450553555201434,4,LightYellow,D
109,1958,14.54063700284542,3,CornflowerBlue,C
110,1959,14.573606198576183,3,CornflowerBlue,C
111,1960,14.278735936643049,3,CornflowerBlue,C
112,1961,13.961476429410935,3,CornflowerBlue,C
113,1962,15.088127332247344,4,LightYellow,D
114,1963,15.519923874048803,4,LightYellow,D
115,1964,14.125534055545721,3,CornflowerBlue,C
116,1965,14.509307616763152,3,CornflowerBlue,C
117,1966,14.490179046554704,3,CornflowerBlue,C
118,1967,16.211652670034272,4,LightYellow,D
119,1968,14.807404820863765,3,CornflowerBlue,C
120,1969,15.175545413423992,4,LightYellow,D
121,1970,15.393545816439712,4,LightYellow,D
122,1971,15.85367063559576,4,LightYellow,D
123,1972,16.417211153953982,4,LightYellow,D
124,1973,16.24646920140465,4,LightYellow,D
125,1974,16.577428514627766,4,LightYellow,D
126,1975,16.362892211524574,4,LightYellow,D
127,1976,16.288724222160926,4,LightYellow,D
128,1977,16.598597826259496,4,LightYellow,D
129,1978,18.134703146490324,4,LightYellow,D
130,1979,17.168278840570814,4,LightYellow,D
131,1980,17.17735667272506,4,LightYellow,D
132,1981,17.03499418184487,4,LightYellow,D
133,1982,17.544275304067945,4,LightYellow,D
134,1983,16.416415049798484,4,LightYellow,D
135,1984,16.385455749098323,4,LightYellow,D
136,1985,17.82501818704314,4,LightYellow,D
137,1986,18.091489710926115,4,LightYellow,D
138,1987,16.996747578002953,4,LightYellow,D
139,1988,17.913886011601445,4,LightYellow,D
140,1989,18.65356319515318,4,LightYellow,D
141,1990,18.647908879754333,4,LightYellow,D
142,1991,19.184058809686416,4,LightYellow,D
143,1992,18.882651977909045,4,LightYellow,D
144,1993,19.3612505864157,4,LightYellow,D
145,1994,19.13133325241172,4,LightYellow,D
146,1995,19.68844267084273,4,LightYellow,D
147,1996,20.207781183135445,5,Vanilla,E
148,1997,19.66933397214842,4,LightYellow,D
149,1998,21.673358401603636,5,Vanilla,E
150,1999,21.118297356237417,5,Vanilla,E
151,2000,15.57032514514993,4,LightYellow,D
152,2001,24.616666793823242,5,Vanilla,E
153,2002,21.108333587646484,5,Vanilla,E
154,2003,20.849998474121094,5,Vanilla,E
155,2004,21.20833396911621,5,Vanilla,E
156,2005,22.841665267944336,5,Vanilla,E
157,2006,21.02499771118164,5,Vanilla,E
158,2007,21.933332443237305,5,Vanilla,E
159,2008,22.024999618530273,5,Vanilla,E
160,2009,22.475000381469727,5,Vanilla,E
161,2010,24.65833282470703,5,Vanilla,E
162,2011,22.316665649414062,5,Vanilla,E
163,2012,21.025001525878906,5,Vanilla,E
164,2013,21.78333282470703,5,Vanilla,E
165,2014,20.25833511352539,5,Vanilla,E
166,2015,22.633331298828125,5,Vanilla,E
167,2016,21.250001907348633,5,Vanilla,E
168,2017,20.85833168029785,5,Vanilla,E
169,2018,20.54166603088379,5,Vanilla,E
170,2019,21.80000114440918,5,Vanilla,E
171,2020,19.416667938232422,4,LightYellow,D
172,2021,20.366666793823242,5,Vanilla,E
173,2022,21.46666717529297,5,Vanilla,E
