Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.760777555032696,4,LightYellow,D
2,1851,16.874963450814644,4,LightYellow,D
3,1852,16.684305776788733,4,LightYellow,D
4,1853,16.782683427301347,4,LightYellow,D
5,1854,18.09251148404457,4,LightYellow,D
6,1855,18.373432445042848,4,LightYellow,D
7,1856,18.355087472829418,4,LightYellow,D
8,1857,19.25189269591415,4,LightYellow,D
9,1858,18.463545330586893,4,LightYellow,D
10,1859,18.260712125744913,4,LightYellow,D
11,1860,19.27224047979508,4,LightYellow,D
12,1861,20.973038871172232,5,Vanilla,E
13,1862,20.22170327197387,5,Vanilla,E
14,1863,20.186182046822193,5,Vanilla,E
15,1864,20.862369548305793,5,Vanilla,E
16,1865,20.332553816951876,5,Vanilla,E
17,1866,20.854276410375256,5,Vanilla,E
18,1867,20.73316232554537,5,Vanilla,E
19,1868,21.851304430118557,5,Vanilla,E
20,1869,21.561037614049493,5,Vanilla,E
21,1870,22.025120108603595,5,Vanilla,E
22,1871,21.825418473027526,5,Vanilla,E
23,1872,21.587078327793783,5,Vanilla,E
24,1873,22.39359747778024,5,Vanilla,E
25,1874,23.399689253036392,5,Vanilla,E
26,1875,22.308011765731973,5,Vanilla,E
27,1876,23.207005407462198,5,Vanilla,E
28,1877,24.859308287259328,5,Vanilla,E
29,1878,22.597505782991163,5,Vanilla,E
30,1879,22.292730573498464,5,Vanilla,E
31,1880,24.676094514959754,5,Vanilla,E
32,1881,24.424919111290983,5,Vanilla,E
33,1882,26.838029248889768,5,Vanilla,E
34,1883,24.96755313547686,5,Vanilla,E
35,1884,24.838346112115975,5,Vanilla,E
36,1885,26.876465342388116,5,Vanilla,E
37,1886,25.34803962154154,5,Vanilla,E
38,1887,24.338092738124082,5,Vanilla,E
39,1888,24.38087971053136,5,Vanilla,E
40,1889,26.35604971674117,5,Vanilla,E
41,1890,27.30145083255454,5,Vanilla,E
42,1891,27.91701044479532,5,Vanilla,E
43,1892,27.266338866971658,5,Vanilla,E
44,1893,26.80391701721582,5,Vanilla,E
45,1894,28.724786525396173,5,Vanilla,E
46,1895,28.439783260806184,5,Vanilla,E
47,1896,26.573715343709004,5,Vanilla,E
48,1897,30.219679859843012,6,Dandelion,F
49,1898,31.870704855990898,6,Dandelion,F
50,1899,30.337453068696085,6,Dandelion,F
51,1900,33.48619069240728,6,Dandelion,F
52,1901,29.716537366123806,5,Vanilla,E
53,1902,30.82667512110497,6,Dandelion,F
54,1903,29.6542260814328,5,Vanilla,E
55,1904,32.31199090052963,6,Dandelion,F
56,1905,33.184424336897536,6,Dandelion,F
57,1906,33.597125637827546,6,Dandelion,F
58,1907,34.171015108617084,6,Dandelion,F
59,1908,36.24879601012961,6,Dandelion,F
60,1909,33.83350078437739,6,Dandelion,F
61,1910,37.0877181046808,6,Dandelion,F
62,1911,35.166105826869924,6,Dandelion,F
63,1912,39.706499488555764,6,Dandelion,F
64,1913,37.20342999392537,6,Dandelion,F
65,1914,33.251781843204704,6,Dandelion,F
66,1915,30.761773818265095,6,Dandelion,F
67,1916,33.2472231877823,6,Dandelion,F
68,1917,31.12712707215319,6,Dandelion,F
69,1918,29.8692066057047,5,Vanilla,E
70,1919,32.09228111297423,6,Dandelion,F
71,1920,32.89440450399573,6,Dandelion,F
72,1921,30.447275316960102,6,Dandelion,F
73,1922,33.18823925923759,6,Dandelion,F
74,1923,33.572149368422586,6,Dandelion,F
75,1924,36.61730869599945,6,Dandelion,F
76,1925,37.49757379786055,6,Dandelion,F
77,1926,34.12304273166278,6,Dandelion,F
78,1927,38.502655687158665,6,Dandelion,F
79,1928,37.68357666986871,6,Dandelion,F
80,1929,39.567281041470146,6,Dandelion,F
81,1930,42.46282256392764,7,Tangerine,G
82,1931,38.71675218556533,6,Dandelion,F
83,1932,35.857332034161,6,Dandelion,F
84,1933,35.45787126139515,6,Dandelion,F
85,1934,38.93858376321542,6,Dandelion,F
86,1935,38.68199340781365,6,Dandelion,F
87,1936,37.76073657175157,6,Dandelion,F
88,1937,39.51165647091484,6,Dandelion,F
89,1938,43.61761633698247,7,Tangerine,G
90,1939,40.17023352610303,7,Tangerine,G
91,1940,38.16821329245493,6,Dandelion,F
92,1941,34.06131347263969,6,Dandelion,F
93,1942,34.956255461001156,6,Dandelion,F
94,1943,35.89577939600968,6,Dandelion,F
95,1944,29.022994182535474,5,Vanilla,E
96,1945,24.165283508373676,5,Vanilla,E
97,1946,29.490172705934043,5,Vanilla,E
98,1947,37.51770045878108,6,Dandelion,F
99,1948,36.35227266345666,6,Dandelion,F
100,1949,36.64805109597374,6,Dandelion,F
101,1950,39.644522980420014,6,Dandelion,F
102,1951,40.56084876891746,7,Tangerine,G
103,1952,38.173224066661675,6,Dandelion,F
104,1953,35.96115747119863,6,Dandelion,F
105,1954,39.35959121108157,6,Dandelion,F
106,1955,40.744425385910006,7,Tangerine,G
107,1956,38.82237521360363,6,Dandelion,F
108,1957,42.855859623759244,7,Tangerine,G
109,1958,37.178502284598736,6,Dandelion,F
110,1959,36.91998428023637,6,Dandelion,F
111,1960,41.695261671464834,7,Tangerine,G
112,1961,43.141322657745526,7,Tangerine,G
113,1962,45.30780529349679,7,Tangerine,G
114,1963,44.763862762022676,7,Tangerine,G
115,1964,43.088402617705874,7,Tangerine,G
116,1965,44.823038525078175,7,Tangerine,G
117,1966,38.873758632979715,6,Dandelion,F
118,1967,38.40748772941431,6,Dandelion,F
119,1968,37.869665857947275,6,Dandelion,F
120,1969,37.387985516774854,6,Dandelion,F
121,1970,34.95148256866792,6,Dandelion,F
122,1971,31.515508150936384,6,Dandelion,F
123,1972,31.13324336353123,6,Dandelion,F
124,1973,30.792030384681876,6,Dandelion,F
125,1974,32.59085485553632,6,Dandelion,F
126,1975,26.60197917521816,5,Vanilla,E
127,1976,26.75242940359581,5,Vanilla,E
128,1977,29.293327809045934,5,Vanilla,E
129,1978,30.04521313727478,6,Dandelion,F
130,1979,29.420278320132006,5,Vanilla,E
131,1980,31.527310877694905,6,Dandelion,F
132,1981,29.30783092892342,5,Vanilla,E
133,1982,26.469646711867206,5,Vanilla,E
