Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,4.386375945841241,1,LightTurquoise,A
2,1851,4.402042287102073,1,LightTurquoise,A
3,1852,4.603612075666088,1,LightTurquoise,A
4,1853,5.0597835171118435,2,PowderBlue,B
5,1854,4.839324692146876,1,LightTurquoise,A
6,1855,4.394747222595639,1,LightTurquoise,A
7,1856,4.347324154198958,1,LightTurquoise,A
8,1857,4.830586539425349,1,LightTurquoise,A
9,1858,4.498999607122261,1,LightTurquoise,A
10,1859,4.829927813911741,1,LightTurquoise,A
11,1860,5.024353725564595,2,PowderBlue,B
12,1861,4.3923896735950585,1,LightTurquoise,A
13,1862,4.317444576037477,1,LightTurquoise,A
14,1863,4.6048434802771325,1,LightTurquoise,A
15,1864,4.447479507836904,1,LightTurquoise,A
16,1865,4.927319852540739,1,LightTurquoise,A
17,1866,4.721307147167375,1,LightTurquoise,A
18,1867,4.78795879861245,1,LightTurquoise,A
19,1868,4.344050659743568,1,LightTurquoise,A
20,1869,4.61514164040783,1,LightTurquoise,A
21,1870,4.578815051675931,1,LightTurquoise,A
22,1871,4.410648206560409,1,LightTurquoise,A
23,1872,4.641995449351566,1,LightTurquoise,A
24,1873,4.8830244461673855,1,LightTurquoise,A
25,1874,4.77148885020207,1,LightTurquoise,A
26,1875,4.764640189964629,1,LightTurquoise,A
27,1876,4.458980496570432,1,LightTurquoise,A
28,1877,4.762330278023614,1,LightTurquoise,A
29,1878,4.705025778391412,1,LightTurquoise,A
30,1879,4.373632305788379,1,LightTurquoise,A
31,1880,4.471278726054605,1,LightTurquoise,A
32,1881,4.299630449713528,1,LightTurquoise,A
33,1882,4.444050275157269,1,LightTurquoise,A
34,1883,4.246523760227536,1,LightTurquoise,A
35,1884,4.783935150395154,1,LightTurquoise,A
36,1885,4.397085187476372,1,LightTurquoise,A
37,1886,4.500271579385203,1,LightTurquoise,A
38,1887,4.512588527435365,1,LightTurquoise,A
39,1888,4.325831536658478,1,LightTurquoise,A
40,1889,4.583891968921427,1,LightTurquoise,A
41,1890,4.866929674797355,1,LightTurquoise,A
42,1891,4.555563240068337,1,LightTurquoise,A
43,1892,4.46113358589484,1,LightTurquoise,A
44,1893,4.713124811446102,1,LightTurquoise,A
45,1894,4.456261490434447,1,LightTurquoise,A
46,1895,4.322925160457622,1,LightTurquoise,A
47,1896,4.131483632913192,1,LightTurquoise,A
48,1897,4.573316464933132,1,LightTurquoise,A
49,1898,4.856237659344935,1,LightTurquoise,A
50,1899,4.14894762654334,1,LightTurquoise,A
51,1900,4.114614006442368,1,LightTurquoise,A
52,1901,4.417573223819311,1,LightTurquoise,A
53,1902,4.69573497842445,1,LightTurquoise,A
54,1903,4.491485217984116,1,LightTurquoise,A
55,1904,4.797630706456602,1,LightTurquoise,A
56,1905,4.371961967432899,1,LightTurquoise,A
57,1906,4.387672845388434,1,LightTurquoise,A
58,1907,4.821907845379226,1,LightTurquoise,A
59,1908,4.694392319511464,1,LightTurquoise,A
60,1909,4.422037086418842,1,LightTurquoise,A
61,1910,4.641668875156353,1,LightTurquoise,A
62,1911,4.67288097792714,1,LightTurquoise,A
63,1912,4.2454044263512305,1,LightTurquoise,A
64,1913,4.539509188612682,1,LightTurquoise,A
65,1914,4.488662466641879,1,LightTurquoise,A
66,1915,4.513475516358005,1,LightTurquoise,A
67,1916,4.670270625498695,1,LightTurquoise,A
68,1917,4.661030682541735,1,LightTurquoise,A
69,1918,4.845579286207069,1,LightTurquoise,A
70,1919,4.419939917446855,1,LightTurquoise,A
71,1920,4.924615932378202,1,LightTurquoise,A
72,1921,4.5094013750438435,1,LightTurquoise,A
73,1922,4.763537953673892,1,LightTurquoise,A
74,1923,4.489118715085638,1,LightTurquoise,A
75,1924,4.3328729277305476,1,LightTurquoise,A
76,1925,5.107308616872826,2,PowderBlue,B
77,1926,5.1320509726587895,2,PowderBlue,B
78,1927,4.641544475095586,1,LightTurquoise,A
79,1928,4.205800662744179,1,LightTurquoise,A
80,1929,4.585864352568027,1,LightTurquoise,A
81,1930,5.063003088873167,2,PowderBlue,B
82,1931,4.2051784119876485,1,LightTurquoise,A
83,1932,4.263968935578954,1,LightTurquoise,A
84,1933,4.761337678159798,1,LightTurquoise,A
85,1934,4.635297572248955,1,LightTurquoise,A
86,1935,4.340106529335413,1,LightTurquoise,A
87,1936,4.480829716650422,1,LightTurquoise,A
88,1937,4.529900510820392,1,LightTurquoise,A
89,1938,4.731313937369772,1,LightTurquoise,A
90,1939,4.995201840718416,1,LightTurquoise,A
91,1940,4.533363572518686,1,LightTurquoise,A
92,1941,4.633126141677891,1,LightTurquoise,A
93,1942,4.709086029328273,1,LightTurquoise,A
94,1943,4.734832602165568,1,LightTurquoise,A
95,1944,4.999863410336351,1,LightTurquoise,A
96,1945,4.763274739999238,1,LightTurquoise,A
97,1946,4.4674190891482395,1,LightTurquoise,A
98,1947,4.3810468272747,1,LightTurquoise,A
99,1948,4.979003615433775,1,LightTurquoise,A
100,1949,4.385358484788345,1,LightTurquoise,A
101,1950,4.404891264593708,1,LightTurquoise,A
102,1951,4.570505188990081,1,LightTurquoise,A
103,1952,5.0369439006055,2,PowderBlue,B
104,1953,4.375667629214521,1,LightTurquoise,A
105,1954,4.582681544845987,1,LightTurquoise,A
106,1955,4.438394874581373,1,LightTurquoise,A
107,1956,4.391758033313986,1,LightTurquoise,A
108,1957,4.998714125635119,1,LightTurquoise,A
109,1958,4.703717842215538,1,LightTurquoise,A
110,1959,4.8475800441106065,1,LightTurquoise,A
111,1960,4.67507959071038,1,LightTurquoise,A
112,1961,4.1243095495747655,1,LightTurquoise,A
113,1962,4.966997225139073,1,LightTurquoise,A
114,1963,4.950266047474331,1,LightTurquoise,A
115,1964,4.354484805934005,1,LightTurquoise,A
