Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,31.902831095907178,6,Dandelion,F
2,1851,37.55034317070021,6,Dandelion,F
3,1852,30.522546602693378,6,Dandelion,F
4,1853,30.94557890091175,6,Dandelion,F
5,1854,31.14160311708267,6,Dandelion,F
6,1855,32.12526285906618,6,Dandelion,F
7,1856,31.713088720632758,6,Dandelion,F
8,1857,29.248191779385632,5,Vanilla,E
9,1858,28.68919774885189,5,Vanilla,E
10,1859,25.49297762246959,5,Vanilla,E
11,1860,30.982244075615412,6,Dandelion,F
12,1861,30.761501812367413,6,Dandelion,F
13,1862,31.4181410039925,6,Dandelion,F
14,1863,27.205701100160706,5,Vanilla,E
15,1864,32.16829791611715,6,Dandelion,F
16,1865,29.75847727984366,5,Vanilla,E
17,1866,32.1520520142671,6,Dandelion,F
18,1867,29.590885810196554,5,Vanilla,E
19,1868,33.92008701290514,6,Dandelion,F
20,1869,30.90478293486003,6,Dandelion,F
21,1870,31.744841822492077,6,Dandelion,F
22,1871,25.019721390730915,5,Vanilla,E
23,1872,26.96692011263029,5,Vanilla,E
24,1873,31.925040690343653,6,Dandelion,F
25,1874,31.32646218900269,6,Dandelion,F
26,1875,32.31665282792915,6,Dandelion,F
27,1876,30.62128584425132,6,Dandelion,F
28,1877,30.39994178899544,6,Dandelion,F
29,1878,29.28178173768135,5,Vanilla,E
30,1879,27.176492682592357,5,Vanilla,E
31,1880,30.906187389607716,6,Dandelion,F
32,1881,28.82565620357778,5,Vanilla,E
33,1882,34.376707933636666,6,Dandelion,F
34,1883,29.022876853371915,5,Vanilla,E
35,1884,22.82981725510942,5,Vanilla,E
36,1885,29.115826161399106,5,Vanilla,E
37,1886,30.7015943670016,6,Dandelion,F
38,1887,31.186330366731788,6,Dandelion,F
39,1888,33.04161371015881,6,Dandelion,F
40,1889,28.350675141949697,5,Vanilla,E
41,1890,28.00245398233691,5,Vanilla,E
42,1891,25.45183280528889,5,Vanilla,E
43,1892,32.35925699810148,6,Dandelion,F
44,1893,30.082463113087492,6,Dandelion,F
45,1894,30.520771532866085,6,Dandelion,F
46,1895,34.367751741662076,6,Dandelion,F
47,1896,30.11299732636652,6,Dandelion,F
48,1897,27.715429222228856,5,Vanilla,E
49,1898,26.806950967253872,5,Vanilla,E
50,1899,30.357547633562433,6,Dandelion,F
51,1900,35.958682448081824,6,Dandelion,F
52,1901,30.752636484987217,6,Dandelion,F
53,1902,29.244934046211743,5,Vanilla,E
54,1903,29.529429248072017,5,Vanilla,E
55,1904,28.138701928450555,5,Vanilla,E
56,1905,30.098655560440015,6,Dandelion,F
57,1906,31.97699421666568,6,Dandelion,F
58,1907,33.137323236275016,6,Dandelion,F
59,1908,27.109655219812478,5,Vanilla,E
60,1909,31.580006587486604,6,Dandelion,F
61,1910,29.668355695181067,5,Vanilla,E
62,1911,25.82070958151873,5,Vanilla,E
63,1912,32.54934762617649,6,Dandelion,F
64,1913,26.114025527985177,5,Vanilla,E
65,1914,35.079451532414026,6,Dandelion,F
66,1915,26.977046880465128,5,Vanilla,E
67,1916,33.78158459198604,6,Dandelion,F
68,1917,37.66561881662843,6,Dandelion,F
69,1918,30.92683180538513,6,Dandelion,F
70,1919,29.40301650096512,5,Vanilla,E
71,1920,32.8744339753559,6,Dandelion,F
72,1921,30.674969515041607,6,Dandelion,F
73,1922,31.411654379020124,6,Dandelion,F
74,1923,34.64223644718253,6,Dandelion,F
75,1924,25.61032570347907,5,Vanilla,E
76,1925,26.401500508348537,5,Vanilla,E
77,1926,29.636193071413945,5,Vanilla,E
78,1927,33.15252254630011,6,Dandelion,F
79,1928,33.1777236271759,6,Dandelion,F
80,1929,31.552641240649027,6,Dandelion,F
81,1930,30.334411271480352,6,Dandelion,F
82,1931,33.62514516343724,6,Dandelion,F
83,1932,35.96270454863437,6,Dandelion,F
84,1933,27.09275549533484,5,Vanilla,E
85,1934,32.55148620279545,6,Dandelion,F
86,1935,29.185862027292934,5,Vanilla,E
87,1936,34.79982805182782,6,Dandelion,F
88,1937,26.6932916749704,5,Vanilla,E
89,1938,33.76726570920818,6,Dandelion,F
90,1939,30.215108176908597,6,Dandelion,F
91,1940,30.186229531137,6,Dandelion,F
92,1941,30.946269000426874,6,Dandelion,F
93,1942,30.199644598675246,6,Dandelion,F
94,1943,26.825282391195973,5,Vanilla,E
95,1944,27.208153974996492,5,Vanilla,E
96,1945,31.3773159616941,6,Dandelion,F
97,1946,30.582901747693192,6,Dandelion,F
98,1947,31.66126840744833,6,Dandelion,F
99,1948,28.50873289560096,5,Vanilla,E
100,1949,31.84977535594226,6,Dandelion,F
101,1950,30.016176975415515,6,Dandelion,F
102,1951,30.48350353958863,6,Dandelion,F
103,1952,24.69119277297325,5,Vanilla,E
104,1953,29.178913312989735,5,Vanilla,E
105,1954,27.346226178621166,5,Vanilla,E
106,1955,32.48010887631407,6,Dandelion,F
107,1956,32.810304428032026,6,Dandelion,F
108,1957,31.833300938127806,6,Dandelion,F
109,1958,32.181137788071624,6,Dandelion,F
110,1959,30.3201538521557,6,Dandelion,F
111,1960,31.083178628200745,6,Dandelion,F
112,1961,31.67056107106577,6,Dandelion,F
113,1962,23.746265230607904,5,Vanilla,E
114,1963,30.329663870411178,6,Dandelion,F
115,1964,32.353309717285356,6,Dandelion,F
116,1965,30.81122567232191,6,Dandelion,F
117,1966,29.86352536795874,5,Vanilla,E
118,1967,30.707944328927773,6,Dandelion,F
119,1968,31.79011139114929,6,Dandelion,F
120,1969,30.89910044741271,6,Dandelion,F
121,1970,28.42701231367998,5,Vanilla,E
122,1971,31.54424843990582,6,Dandelion,F
123,1972,33.31068746167282,6,Dandelion,F
124,1973,32.068528461689766,6,Dandelion,F
125,1974,32.51368280068625,6,Dandelion,F
126,1975,35.67932375522774,6,Dandelion,F
127,1976,37.19426073593499,6,Dandelion,F
128,1977,34.89937968753641,6,Dandelion,F
129,1978,33.28335231880973,6,Dandelion,F
130,1979,30.810216872795575,6,Dandelion,F
131,1980,32.56727011579101,6,Dandelion,F
132,1981,27.41800263914657,5,Vanilla,E
