Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,18.133974626829772,4,LightYellow,D
2,1851,18.197059118417826,4,LightYellow,D
3,1852,16.602840325526742,4,LightYellow,D
4,1853,17.46523008973395,4,LightYellow,D
5,1854,19.17089335172584,4,LightYellow,D
6,1855,17.400483980124648,4,LightYellow,D
7,1856,20.28191192718749,5,Vanilla,E
8,1857,18.252875017368048,4,LightYellow,D
9,1858,18.861988650942585,4,LightYellow,D
10,1859,16.743805367232117,4,LightYellow,D
11,1860,18.53706036669254,4,LightYellow,D
12,1861,18.471512877777858,4,LightYellow,D
13,1862,17.20703806902057,4,LightYellow,D
14,1863,16.528943890613306,4,LightYellow,D
15,1864,18.41392690345985,4,LightYellow,D
16,1865,18.43710501743736,4,LightYellow,D
17,1866,18.12449361013165,4,LightYellow,D
18,1867,19.023702322574245,4,LightYellow,D
19,1868,18.461264592095713,4,LightYellow,D
20,1869,17.45834737932593,4,LightYellow,D
21,1870,19.34093515851378,4,LightYellow,D
22,1871,18.006429086024717,4,LightYellow,D
23,1872,17.145712267725976,4,LightYellow,D
24,1873,18.243384370698934,4,LightYellow,D
25,1874,19.35627643642127,4,LightYellow,D
26,1875,19.6557797464096,4,LightYellow,D
27,1876,17.549976504651603,4,LightYellow,D
28,1877,17.12786586989848,4,LightYellow,D
29,1878,19.88908625811361,4,LightYellow,D
30,1879,18.699529830277797,4,LightYellow,D
31,1880,17.734112268926165,4,LightYellow,D
32,1881,18.53727580849872,4,LightYellow,D
33,1882,20.995111800147768,5,Vanilla,E
34,1883,17.686499785505735,4,LightYellow,D
35,1884,17.58477008652628,4,LightYellow,D
36,1885,17.70592072786408,4,LightYellow,D
37,1886,19.82641421759768,4,LightYellow,D
38,1887,18.87088343011447,4,LightYellow,D
39,1888,18.425272220177717,4,LightYellow,D
40,1889,17.53447234917922,4,LightYellow,D
41,1890,16.803808925152822,4,LightYellow,D
42,1891,19.24819147611021,4,LightYellow,D
43,1892,20.228285568903328,5,Vanilla,E
44,1893,17.07342585451964,4,LightYellow,D
45,1894,18.664168451693172,4,LightYellow,D
46,1895,19.415569544946575,4,LightYellow,D
47,1896,18.753006460812028,4,LightYellow,D
48,1897,19.71412942759711,4,LightYellow,D
49,1898,18.57620260399892,4,LightYellow,D
50,1899,20.399630271218008,5,Vanilla,E
51,1900,20.58543436017405,5,Vanilla,E
52,1901,19.26007438537159,4,LightYellow,D
53,1902,18.75947453183718,4,LightYellow,D
54,1903,18.374528676926385,4,LightYellow,D
55,1904,18.524620503050425,4,LightYellow,D
56,1905,19.34674569881008,4,LightYellow,D
57,1906,17.594034358780917,4,LightYellow,D
58,1907,19.226359474069866,4,LightYellow,D
59,1908,19.25101528781243,4,LightYellow,D
60,1909,19.212630645323117,4,LightYellow,D
61,1910,20.05977216566929,5,Vanilla,E
62,1911,18.519635254308543,4,LightYellow,D
63,1912,19.258574567154877,4,LightYellow,D
64,1913,18.503548662501196,4,LightYellow,D
65,1914,19.251783227510277,4,LightYellow,D
66,1915,20.94306688536646,5,Vanilla,E
67,1916,19.216408737563516,4,LightYellow,D
68,1917,19.5574472255659,4,LightYellow,D
69,1918,18.520461321381404,4,LightYellow,D
70,1919,20.19630532479768,5,Vanilla,E
71,1920,19.729299412148972,4,LightYellow,D
72,1921,20.155670721978176,5,Vanilla,E
73,1922,18.89841029069985,4,LightYellow,D
74,1923,19.862072712200092,4,LightYellow,D
75,1924,18.171841020257965,4,LightYellow,D
76,1925,17.59491083230397,4,LightYellow,D
77,1926,20.081471773733863,5,Vanilla,E
78,1927,17.74184515333262,4,LightYellow,D
79,1928,19.317457215711,4,LightYellow,D
80,1929,19.30587412258818,4,LightYellow,D
81,1930,19.944863757251515,4,LightYellow,D
82,1931,21.20333459338558,5,Vanilla,E
83,1932,18.966689818054515,4,LightYellow,D
84,1933,18.822898966178354,4,LightYellow,D
85,1934,20.057004908522803,5,Vanilla,E
86,1935,19.939564271599615,4,LightYellow,D
87,1936,19.267394077088458,4,LightYellow,D
88,1937,20.87502321647345,5,Vanilla,E
89,1938,19.92104889620721,4,LightYellow,D
90,1939,19.387648677681923,4,LightYellow,D
91,1940,19.393536358018128,4,LightYellow,D
92,1941,20.54855147758149,5,Vanilla,E
93,1942,19.596382926573757,4,LightYellow,D
94,1943,19.83183836369248,4,LightYellow,D
