Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,8.899362338276717,2,PowderBlue,B
2,1851,10.4581387854836,3,CornflowerBlue,C
3,1852,8.769821403168331,2,PowderBlue,B
4,1853,9.517761436949813,2,PowderBlue,B
5,1854,8.818948173281983,2,PowderBlue,B
6,1855,9.287556775924857,2,PowderBlue,B
7,1856,8.413567863447838,2,PowderBlue,B
8,1857,8.47429228607481,2,PowderBlue,B
9,1858,9.826575178251378,2,PowderBlue,B
10,1859,9.2999720091189,2,PowderBlue,B
11,1860,9.090813156764602,2,PowderBlue,B
12,1861,8.993987571784329,2,PowderBlue,B
13,1862,9.808939325802887,2,PowderBlue,B
14,1863,7.892224369110704,2,PowderBlue,B
15,1864,8.0957903454451,2,PowderBlue,B
16,1865,8.704289993304643,2,PowderBlue,B
17,1866,8.438642496860938,2,PowderBlue,B
18,1867,9.742093574979453,2,PowderBlue,B
19,1868,9.075071318149664,2,PowderBlue,B
20,1869,9.332052096890328,2,PowderBlue,B
21,1870,9.664824301985837,2,PowderBlue,B
22,1871,8.177029954276541,2,PowderBlue,B
23,1872,8.716982825378098,2,PowderBlue,B
24,1873,9.484792437099674,2,PowderBlue,B
25,1874,11.176673596084527,3,CornflowerBlue,C
26,1875,9.19199376045114,2,PowderBlue,B
27,1876,8.490275448880462,2,PowderBlue,B
28,1877,9.647853754594397,2,PowderBlue,B
29,1878,8.5288072684928,2,PowderBlue,B
30,1879,9.735423205861279,2,PowderBlue,B
31,1880,8.556008648625564,2,PowderBlue,B
32,1881,9.557144221036637,2,PowderBlue,B
33,1882,10.576621312097554,3,CornflowerBlue,C
34,1883,8.043545568728426,2,PowderBlue,B
35,1884,8.815388047741004,2,PowderBlue,B
36,1885,7.518866953124085,2,PowderBlue,B
37,1886,7.787712306275201,2,PowderBlue,B
38,1887,9.042276344137862,2,PowderBlue,B
39,1888,9.879203206989017,2,PowderBlue,B
40,1889,9.805348938512534,2,PowderBlue,B
41,1890,9.26395214943432,2,PowderBlue,B
42,1891,9.20936747852607,2,PowderBlue,B
43,1892,8.819039843014362,2,PowderBlue,B
44,1893,9.654360861442825,2,PowderBlue,B
45,1894,9.842429092205867,2,PowderBlue,B
46,1895,7.869618996919676,2,PowderBlue,B
47,1896,8.03422988141972,2,PowderBlue,B
48,1897,9.147579455444076,2,PowderBlue,B
49,1898,8.443930211380739,2,PowderBlue,B
50,1899,9.506433850090742,2,PowderBlue,B
51,1900,10.044868258533223,3,CornflowerBlue,C
52,1901,9.142892830115576,2,PowderBlue,B
53,1902,10.322326666978402,3,CornflowerBlue,C
54,1903,9.109273793268184,2,PowderBlue,B
55,1904,9.91228034452231,2,PowderBlue,B
56,1905,8.61618467366571,2,PowderBlue,B
57,1906,9.323164454341125,2,PowderBlue,B
58,1907,10.53757967672538,3,CornflowerBlue,C
59,1908,9.287495379877623,2,PowderBlue,B
60,1909,9.54065991361295,2,PowderBlue,B
61,1910,10.017412634530453,3,CornflowerBlue,C
62,1911,8.589655683087157,2,PowderBlue,B
63,1912,9.99493225512626,2,PowderBlue,B
64,1913,9.339072790749773,2,PowderBlue,B
65,1914,10.27343985480883,3,CornflowerBlue,C
66,1915,10.453916560398415,3,CornflowerBlue,C
67,1916,11.252209860922251,3,CornflowerBlue,C
68,1917,11.127648443968535,3,CornflowerBlue,C
69,1918,9.63022894644934,2,PowderBlue,B
70,1919,8.843217593364072,2,PowderBlue,B
71,1920,9.61103106005562,2,PowderBlue,B
72,1921,9.50188751030805,2,PowderBlue,B
73,1922,9.162548628918524,2,PowderBlue,B
74,1923,9.620988655666315,2,PowderBlue,B
75,1924,9.832890370818374,2,PowderBlue,B
76,1925,9.912205153889497,2,PowderBlue,B
77,1926,9.510181344285574,2,PowderBlue,B
78,1927,10.861098863092325,3,CornflowerBlue,C
79,1928,9.176068700825844,2,PowderBlue,B
80,1929,9.705010248672957,2,PowderBlue,B
81,1930,9.781299626955253,2,PowderBlue,B
82,1931,10.55191135998643,3,CornflowerBlue,C
83,1932,9.978477100593432,2,PowderBlue,B
84,1933,9.356618949421012,2,PowderBlue,B
85,1934,9.336079396373114,2,PowderBlue,B
86,1935,9.033193774017734,2,PowderBlue,B
87,1936,9.623442819421523,2,PowderBlue,B
88,1937,9.541652200876753,2,PowderBlue,B
89,1938,10.185184169974054,3,CornflowerBlue,C
90,1939,9.248080440553515,2,PowderBlue,B
91,1940,9.361652435852882,2,PowderBlue,B
92,1941,9.761587041634542,2,PowderBlue,B
93,1942,10.094172082155504,3,CornflowerBlue,C
94,1943,9.080554459932385,2,PowderBlue,B
95,1944,9.234531750217544,2,PowderBlue,B
96,1945,9.979784488915499,2,PowderBlue,B
97,1946,10.360660162549339,3,CornflowerBlue,C
98,1947,9.65526490074598,2,PowderBlue,B
99,1948,10.384092199265869,3,CornflowerBlue,C
100,1949,9.823398750303262,2,PowderBlue,B
101,1950,11.328690897978442,3,CornflowerBlue,C
102,1951,11.55156171604278,3,CornflowerBlue,C
103,1952,12.249126101369455,3,CornflowerBlue,C
104,1953,11.808367553683981,3,CornflowerBlue,C
105,1954,11.0949775942929,3,CornflowerBlue,C
106,1955,12.09741010568083,3,CornflowerBlue,C
107,1956,10.80633239078291,3,CornflowerBlue,C
108,1957,11.486866889831582,3,CornflowerBlue,C
109,1958,12.345233491804288,3,CornflowerBlue,C
110,1959,12.159940994503767,3,CornflowerBlue,C
111,1960,12.598862148441187,3,CornflowerBlue,C
112,1961,12.57713219607601,3,CornflowerBlue,C
113,1962,11.039320783986833,3,CornflowerBlue,C
114,1963,12.303662741005523,3,CornflowerBlue,C
115,1964,13.867281648933204,3,CornflowerBlue,C
116,1965,13.25932139918617,3,CornflowerBlue,C
117,1966,11.54992037160886,3,CornflowerBlue,C
118,1967,12.178492990153257,3,CornflowerBlue,C
119,1968,13.816711265138034,3,CornflowerBlue,C
120,1969,13.218598153841366,3,CornflowerBlue,C
121,1970,13.856015170178562,3,CornflowerBlue,C
122,1971,13.852350748238413,3,CornflowerBlue,C
123,1972,12.949932498094961,3,CornflowerBlue,C
