Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.743387400513194,3,CornflowerBlue,C
2,1851,12.107931650334333,3,CornflowerBlue,C
3,1852,12.09761656973386,3,CornflowerBlue,C
4,1853,12.297412310650772,3,CornflowerBlue,C
5,1854,12.393179698438571,3,CornflowerBlue,C
6,1855,13.477774520852579,3,CornflowerBlue,C
7,1856,13.106988451430116,3,CornflowerBlue,C
8,1857,11.772963588866928,3,CornflowerBlue,C
9,1858,10.780223620217203,3,CornflowerBlue,C
10,1859,11.582536049016595,3,CornflowerBlue,C
11,1860,12.562561204727619,3,CornflowerBlue,C
12,1861,12.65323853480636,3,CornflowerBlue,C
13,1862,12.054101818088675,3,CornflowerBlue,C
14,1863,11.567294674351439,3,CornflowerBlue,C
15,1864,11.466670799052647,3,CornflowerBlue,C
16,1865,13.250195870989629,3,CornflowerBlue,C
17,1866,12.923051653890443,3,CornflowerBlue,C
18,1867,13.129224873222453,3,CornflowerBlue,C
19,1868,12.362290307763086,3,CornflowerBlue,C
20,1869,13.192823493841987,3,CornflowerBlue,C
21,1870,13.609519924103687,3,CornflowerBlue,C
22,1871,12.476647709517795,3,CornflowerBlue,C
23,1872,12.383316668120937,3,CornflowerBlue,C
24,1873,12.4637941505724,3,CornflowerBlue,C
25,1874,13.048490862224453,3,CornflowerBlue,C
26,1875,13.656635939123612,3,CornflowerBlue,C
27,1876,12.620235430032253,3,CornflowerBlue,C
28,1877,12.43585418346772,3,CornflowerBlue,C
29,1878,10.971989776376395,3,CornflowerBlue,C
30,1879,11.906975249865761,3,CornflowerBlue,C
31,1880,13.006664204321062,3,CornflowerBlue,C
32,1881,13.402377268936634,3,CornflowerBlue,C
33,1882,12.635686918611016,3,CornflowerBlue,C
34,1883,12.651948622220344,3,CornflowerBlue,C
35,1884,12.08825059684044,3,CornflowerBlue,C
36,1885,13.90933352164731,3,CornflowerBlue,C
37,1886,13.266278298441728,3,CornflowerBlue,C
38,1887,13.920040332138612,3,CornflowerBlue,C
39,1888,13.37502606760697,3,CornflowerBlue,C
40,1889,14.220233921123542,3,CornflowerBlue,C
41,1890,14.053427658004585,3,CornflowerBlue,C
42,1891,12.417163481494363,3,CornflowerBlue,C
43,1892,12.708434794959702,3,CornflowerBlue,C
44,1893,12.513711037437789,3,CornflowerBlue,C
45,1894,13.765187546876817,3,CornflowerBlue,C
46,1895,14.2800535735711,3,CornflowerBlue,C
47,1896,13.714750874850308,3,CornflowerBlue,C
48,1897,12.918654156190998,3,CornflowerBlue,C
49,1898,11.807443464856275,3,CornflowerBlue,C
50,1899,13.450240881099234,3,CornflowerBlue,C
51,1900,13.97732839355145,3,CornflowerBlue,C
52,1901,13.906210590962209,3,CornflowerBlue,C
53,1902,13.433056101949163,3,CornflowerBlue,C
54,1903,12.832428621429578,3,CornflowerBlue,C
55,1904,12.738775238972613,3,CornflowerBlue,C
56,1905,14.693135757531984,3,CornflowerBlue,C
57,1906,12.827579874129448,3,CornflowerBlue,C
58,1907,13.295498598757696,3,CornflowerBlue,C
59,1908,13.686409558915225,3,CornflowerBlue,C
60,1909,15.03985043732885,4,LightYellow,D
61,1910,14.576183425631399,3,CornflowerBlue,C
62,1911,13.53885084845282,3,CornflowerBlue,C
63,1912,13.139867133670371,3,CornflowerBlue,C
64,1913,13.812750489482216,3,CornflowerBlue,C
65,1914,14.485551856125397,3,CornflowerBlue,C
66,1915,15.53616450413906,4,LightYellow,D
67,1916,14.5846656652863,3,CornflowerBlue,C
68,1917,13.640089439243608,3,CornflowerBlue,C
69,1918,12.583400093789656,3,CornflowerBlue,C
70,1919,13.399990326443008,3,CornflowerBlue,C
71,1920,14.151357502988983,3,CornflowerBlue,C
72,1921,14.3838257095869,3,CornflowerBlue,C
73,1922,13.951616429694042,3,CornflowerBlue,C
74,1923,15.335545355972329,4,LightYellow,D
75,1924,14.317832634977648,3,CornflowerBlue,C
76,1925,13.927629242302096,3,CornflowerBlue,C
77,1926,15.339217655269689,4,LightYellow,D
78,1927,13.786326961717547,3,CornflowerBlue,C
79,1928,14.554535073803157,3,CornflowerBlue,C
80,1929,14.618295800191499,3,CornflowerBlue,C
81,1930,14.142767693718033,3,CornflowerBlue,C
82,1931,13.926487647459778,3,CornflowerBlue,C
83,1932,14.687303480870277,3,CornflowerBlue,C
84,1933,16.062882020625413,4,LightYellow,D
85,1934,14.31020576871712,3,CornflowerBlue,C
86,1935,13.363481804759564,3,CornflowerBlue,C
87,1936,14.844169366940244,3,CornflowerBlue,C
88,1937,14.036096870375681,3,CornflowerBlue,C
89,1938,14.409532578001969,3,CornflowerBlue,C
90,1939,14.765987588906473,3,CornflowerBlue,C
91,1940,13.812145201628331,3,CornflowerBlue,C
92,1941,14.080213267839252,3,CornflowerBlue,C
93,1942,16.19155874639535,4,LightYellow,D
94,1943,16.627463612834692,4,LightYellow,D
95,1944,15.157471823992763,4,LightYellow,D
96,1945,13.650801815147318,3,CornflowerBlue,C
97,1946,14.992323751610023,3,CornflowerBlue,C
98,1947,15.52957554501142,4,LightYellow,D
99,1948,15.108132135030454,4,LightYellow,D
