Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.365000528841232,3,CornflowerBlue,C
2,1851,9.489689393831696,2,PowderBlue,B
3,1852,10.06640428338018,3,CornflowerBlue,C
4,1853,10.16027930749415,3,CornflowerBlue,C
5,1854,10.187476689723526,3,CornflowerBlue,C
6,1855,9.524103334492784,2,PowderBlue,B
7,1856,9.790140632669164,2,PowderBlue,B
8,1857,9.832618293865853,2,PowderBlue,B
9,1858,9.985667910813044,2,PowderBlue,B
10,1859,9.999693993945762,2,PowderBlue,B
11,1860,9.750260980169918,2,PowderBlue,B
12,1861,10.301303975451319,3,CornflowerBlue,C
13,1862,9.762721233829248,2,PowderBlue,B
14,1863,10.086681319437508,3,CornflowerBlue,C
15,1864,11.041891170117937,3,CornflowerBlue,C
16,1865,10.469724554769861,3,CornflowerBlue,C
17,1866,10.07963054718712,3,CornflowerBlue,C
18,1867,10.045003863826919,3,CornflowerBlue,C
19,1868,10.499230708754451,3,CornflowerBlue,C
20,1869,10.55818030604435,3,CornflowerBlue,C
21,1870,9.929251614151639,2,PowderBlue,B
22,1871,10.65534540049384,3,CornflowerBlue,C
23,1872,10.056199282861035,3,CornflowerBlue,C
24,1873,10.546799381724952,3,CornflowerBlue,C
25,1874,10.946494090815005,3,CornflowerBlue,C
26,1875,10.363897246394025,3,CornflowerBlue,C
27,1876,10.903669995986865,3,CornflowerBlue,C
28,1877,10.495192499941277,3,CornflowerBlue,C
29,1878,10.135766922756678,3,CornflowerBlue,C
30,1879,10.523856001771852,3,CornflowerBlue,C
31,1880,10.897317766491922,3,CornflowerBlue,C
32,1881,10.37926432905452,3,CornflowerBlue,C
33,1882,10.912195598142542,3,CornflowerBlue,C
34,1883,11.167729732032067,3,CornflowerBlue,C
35,1884,10.600238821819625,3,CornflowerBlue,C
36,1885,10.65994439194731,3,CornflowerBlue,C
37,1886,10.527446225164834,3,CornflowerBlue,C
38,1887,10.806488674765692,3,CornflowerBlue,C
39,1888,11.263330303029273,3,CornflowerBlue,C
40,1889,10.733435363347068,3,CornflowerBlue,C
41,1890,10.961339556459858,3,CornflowerBlue,C
42,1891,11.208221704858508,3,CornflowerBlue,C
43,1892,10.948666018883497,3,CornflowerBlue,C
44,1893,10.984288125640035,3,CornflowerBlue,C
45,1894,11.513859461059486,3,CornflowerBlue,C
46,1895,10.918508191064838,3,CornflowerBlue,C
47,1896,11.16157696416256,3,CornflowerBlue,C
48,1897,11.130048392491563,3,CornflowerBlue,C
49,1898,11.093334994367346,3,CornflowerBlue,C
50,1899,11.300959370970455,3,CornflowerBlue,C
51,1900,11.560576778641689,3,CornflowerBlue,C
52,1901,11.53054070285601,3,CornflowerBlue,C
53,1902,11.190773063897103,3,CornflowerBlue,C
54,1903,11.659599348986927,3,CornflowerBlue,C
55,1904,11.32963735359423,3,CornflowerBlue,C
