Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,27.629216514953338,5,Vanilla,E
2,1851,27.984576365783713,5,Vanilla,E
3,1852,28.129425813431357,5,Vanilla,E
4,1853,29.112797488310612,5,Vanilla,E
5,1854,27.90376469531532,5,Vanilla,E
6,1855,29.65908260599315,5,Vanilla,E
7,1856,27.659647115944605,5,Vanilla,E
8,1857,26.917315449083574,5,Vanilla,E
9,1858,28.06122964462308,5,Vanilla,E
10,1859,28.83363091225132,5,Vanilla,E
11,1860,28.557061636752014,5,Vanilla,E
12,1861,26.391306307752753,5,Vanilla,E
13,1862,27.52961257865952,5,Vanilla,E
14,1863,30.35589442378441,6,Dandelion,F
15,1864,32.69820293773672,6,Dandelion,F
16,1865,25.579184100715906,5,Vanilla,E
17,1866,30.96976469942932,6,Dandelion,F
18,1867,30.298937996620236,6,Dandelion,F
19,1868,28.149384856304554,5,Vanilla,E
20,1869,26.74053778595118,5,Vanilla,E
21,1870,28.19616603389846,5,Vanilla,E
22,1871,27.453329078149736,5,Vanilla,E
23,1872,28.82732261515617,5,Vanilla,E
24,1873,28.133693905694283,5,Vanilla,E
25,1874,28.99051494052824,5,Vanilla,E
26,1875,29.245408592479382,5,Vanilla,E
27,1876,27.2933608335193,5,Vanilla,E
28,1877,30.561326706322724,6,Dandelion,F
29,1878,34.08310807555166,6,Dandelion,F
30,1879,29.919297062049896,5,Vanilla,E
31,1880,28.087586743280493,5,Vanilla,E
32,1881,27.034842383308487,5,Vanilla,E
33,1882,28.111963649970875,5,Vanilla,E
34,1883,26.107593635814947,5,Vanilla,E
35,1884,28.34598968314458,5,Vanilla,E
36,1885,27.81144948868607,5,Vanilla,E
37,1886,28.607185237711242,5,Vanilla,E
38,1887,32.0848533811059,6,Dandelion,F
39,1888,30.208779823583797,6,Dandelion,F
40,1889,28.188799363971924,5,Vanilla,E
41,1890,32.49101174393997,6,Dandelion,F
42,1891,29.669017640948482,5,Vanilla,E
43,1892,29.26875055039216,5,Vanilla,E
44,1893,30.132818616625407,6,Dandelion,F
45,1894,27.18624981861702,5,Vanilla,E
46,1895,30.774103385341817,6,Dandelion,F
47,1896,30.49438059118968,6,Dandelion,F
48,1897,29.68610252192663,5,Vanilla,E
49,1898,31.800476763599086,6,Dandelion,F
50,1899,28.86123325910368,5,Vanilla,E
51,1900,31.170892958525805,6,Dandelion,F
52,1901,30.9463430553207,6,Dandelion,F
53,1902,30.65572509980659,6,Dandelion,F
54,1903,30.106080977672974,6,Dandelion,F
