Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,18.20047505046384,4,LightYellow,D
2,1851,23.0855134205405,5,Vanilla,E
3,1852,20.737837638449456,5,Vanilla,E
4,1853,19.680831723032185,4,LightYellow,D
5,1854,19.832273515074075,4,LightYellow,D
6,1855,18.382581601510932,4,LightYellow,D
7,1856,19.99254778430225,4,LightYellow,D
8,1857,19.524595972215362,4,LightYellow,D
9,1858,15.876407923114714,4,LightYellow,D
10,1859,15.474809385501747,4,LightYellow,D
11,1860,21.10443228351376,5,Vanilla,E
12,1861,17.099643897120966,4,LightYellow,D
13,1862,19.857499409532824,4,LightYellow,D
14,1863,15.873520311322713,4,LightYellow,D
15,1864,18.280963400545726,4,LightYellow,D
16,1865,18.954904181469924,4,LightYellow,D
17,1866,20.80194181345425,5,Vanilla,E
18,1867,19.116656164646912,4,LightYellow,D
19,1868,20.749777686204645,5,Vanilla,E
20,1869,17.58730968678578,4,LightYellow,D
21,1870,16.950675331058928,4,LightYellow,D
22,1871,15.379587535251439,4,LightYellow,D
23,1872,16.045939480027634,4,LightYellow,D
24,1873,15.827763512202953,4,LightYellow,D
25,1874,17.205683459112688,4,LightYellow,D
26,1875,16.72980529646734,4,LightYellow,D
27,1876,20.972371291371783,5,Vanilla,E
28,1877,17.590286330704505,4,LightYellow,D
29,1878,18.9652839018796,4,LightYellow,D
30,1879,17.911995413953495,4,LightYellow,D
31,1880,20.894233145167384,5,Vanilla,E
32,1881,15.765771192292615,4,LightYellow,D
33,1882,19.803406321591776,4,LightYellow,D
34,1883,18.931440971096343,4,LightYellow,D
35,1884,15.348102258288897,4,LightYellow,D
36,1885,16.736629279348332,4,LightYellow,D
37,1886,22.433494292977084,5,Vanilla,E
38,1887,20.32348645181563,5,Vanilla,E
39,1888,22.86081534401799,5,Vanilla,E
40,1889,17.623195587056582,4,LightYellow,D
41,1890,17.373436000976113,4,LightYellow,D
42,1891,15.094423222931564,4,LightYellow,D
43,1892,21.53987869011399,5,Vanilla,E
44,1893,16.851800004789077,4,LightYellow,D
45,1894,20.326873694089254,5,Vanilla,E
46,1895,19.203585518623864,4,LightYellow,D
47,1896,19.620620635268736,4,LightYellow,D
48,1897,18.42975018034299,4,LightYellow,D
49,1898,15.604292269311433,4,LightYellow,D
50,1899,17.636626274422095,4,LightYellow,D
51,1900,26.991656655545007,5,Vanilla,E
52,1901,16.26027041786398,4,LightYellow,D
53,1902,18.576918540465357,4,LightYellow,D
54,1903,22.987469429644424,5,Vanilla,E
55,1904,18.733414953532847,4,LightYellow,D
56,1905,19.932457193133388,4,LightYellow,D
57,1906,18.38909981067671,4,LightYellow,D
58,1907,19.825310633925973,4,LightYellow,D
59,1908,15.834531246728043,4,LightYellow,D
60,1909,18.866907710398127,4,LightYellow,D
61,1910,18.15972663247997,4,LightYellow,D
62,1911,17.328128522676995,4,LightYellow,D
63,1912,22.481757197989836,5,Vanilla,E
64,1913,20.058408975468126,5,Vanilla,E
65,1914,17.91055990239069,4,LightYellow,D
66,1915,17.50114367674984,4,LightYellow,D
67,1916,19.74174413299954,4,LightYellow,D
68,1917,22.106642451983433,5,Vanilla,E
69,1918,25.16929769275762,5,Vanilla,E
70,1919,18.196139612771823,4,LightYellow,D
71,1920,19.230689799936012,4,LightYellow,D
72,1921,21.409238766231628,5,Vanilla,E
73,1922,22.187642479329433,5,Vanilla,E
74,1923,20.285371668413003,5,Vanilla,E
75,1924,16.617750099367097,4,LightYellow,D
76,1925,15.683222729794998,4,LightYellow,D
77,1926,19.17436171940442,4,LightYellow,D
78,1927,20.414166874785224,5,Vanilla,E
79,1928,17.63424519562819,4,LightYellow,D
80,1929,22.138505949151234,5,Vanilla,E
81,1930,21.877634685367184,5,Vanilla,E
82,1931,18.53846637526374,4,LightYellow,D
83,1932,26.911493837884457,5,Vanilla,E
84,1933,19.633063560915986,4,LightYellow,D
85,1934,21.64403770627359,5,Vanilla,E
86,1935,20.057556059745433,5,Vanilla,E
87,1936,26.329944496403964,5,Vanilla,E
88,1937,20.032327491527763,5,Vanilla,E
89,1938,21.748910296797273,5,Vanilla,E
90,1939,24.18917017934134,5,Vanilla,E
91,1940,23.849537120808876,5,Vanilla,E
92,1941,22.013091101664514,5,Vanilla,E
93,1942,19.58069811074104,4,LightYellow,D
94,1943,19.02597802342752,4,LightYellow,D
95,1944,22.082851274911327,5,Vanilla,E
96,1945,18.7733413818606,4,LightYellow,D
97,1946,20.17187065824373,5,Vanilla,E
98,1947,19.71527552957865,4,LightYellow,D
99,1948,19.49583719689124,4,LightYellow,D
100,1949,23.069432821694413,5,Vanilla,E
101,1950,21.038681384293746,5,Vanilla,E
102,1951,21.590170380240256,5,Vanilla,E
103,1952,18.562234420176893,4,LightYellow,D
104,1953,20.44448311262936,5,Vanilla,E
105,1954,21.848401030771132,5,Vanilla,E
106,1955,23.239270710933788,5,Vanilla,E
107,1956,24.779324251581432,5,Vanilla,E
108,1957,21.26199077141629,5,Vanilla,E
109,1958,22.011790207004932,5,Vanilla,E
110,1959,22.717977367450082,5,Vanilla,E
111,1960,24.687493167239186,5,Vanilla,E
112,1961,24.589501447314092,5,Vanilla,E
113,1962,19.81767320212678,4,LightYellow,D
114,1963,25.57927675449161,5,Vanilla,E
115,1964,23.91130509365727,5,Vanilla,E
116,1965,24.108558206954765,5,Vanilla,E
117,1966,24.383041095853265,5,Vanilla,E
118,1967,21.88756170703968,5,Vanilla,E
119,1968,25.55248997926395,5,Vanilla,E
120,1969,23.647131790396237,5,Vanilla,E
121,1970,21.592545491820104,5,Vanilla,E
122,1971,23.746215152614663,5,Vanilla,E
