Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,28.51683230742182,5,Vanilla,E
2,1851,30.088730583406594,6,Dandelion,F
3,1852,31.182127999096995,6,Dandelion,F
4,1853,27.26877482105787,5,Vanilla,E
5,1854,28.816866001155198,5,Vanilla,E
6,1855,30.04041230029075,6,Dandelion,F
7,1856,28.561564367921,5,Vanilla,E
8,1857,29.36318643835543,5,Vanilla,E
9,1858,28.86694573143407,5,Vanilla,E
10,1859,28.86922470959658,5,Vanilla,E
11,1860,31.20118455575991,6,Dandelion,F
12,1861,32.66417839487038,6,Dandelion,F
13,1862,27.91695435522038,5,Vanilla,E
14,1863,26.486288246765454,5,Vanilla,E
15,1864,26.41357578249421,5,Vanilla,E
16,1865,30.403254510493067,6,Dandelion,F
17,1866,30.005427627395836,6,Dandelion,F
18,1867,30.67550551462666,6,Dandelion,F
19,1868,28.49857570207791,5,Vanilla,E
20,1869,29.3020453006928,5,Vanilla,E
21,1870,29.982898342581986,5,Vanilla,E
22,1871,28.490119726883133,5,Vanilla,E
23,1872,27.77903538097307,5,Vanilla,E
24,1873,27.59568049972295,5,Vanilla,E
25,1874,28.20318844033693,5,Vanilla,E
26,1875,28.07666513752844,5,Vanilla,E
27,1876,29.81137886429857,5,Vanilla,E
28,1877,28.172162678583895,5,Vanilla,E
29,1878,29.23775895817373,5,Vanilla,E
30,1879,31.158130663315788,6,Dandelion,F
31,1880,28.65100545177166,5,Vanilla,E
32,1881,29.2446434480061,5,Vanilla,E
33,1882,32.131971765477736,6,Dandelion,F
34,1883,27.101639978493772,5,Vanilla,E
35,1884,26.856344653464095,5,Vanilla,E
36,1885,30.8177330814713,6,Dandelion,F
37,1886,29.03008061407431,5,Vanilla,E
38,1887,28.818829323667682,5,Vanilla,E
39,1888,26.855307784717304,5,Vanilla,E
40,1889,28.541820138652973,5,Vanilla,E
41,1890,27.711087998441826,5,Vanilla,E
42,1891,31.011238989315583,6,Dandelion,F
43,1892,31.113466525198024,6,Dandelion,F
44,1893,30.340692506977085,6,Dandelion,F
45,1894,28.583506298928455,5,Vanilla,E
46,1895,29.81819267449848,5,Vanilla,E
47,1896,28.328215632344726,5,Vanilla,E
48,1897,29.0632728683563,5,Vanilla,E
49,1898,27.902737032380607,5,Vanilla,E
50,1899,27.98676057156651,5,Vanilla,E
51,1900,30.68869344659603,6,Dandelion,F
52,1901,27.456776512132965,5,Vanilla,E
53,1902,29.095864947709288,5,Vanilla,E
54,1903,29.557161012193866,5,Vanilla,E
55,1904,29.57899364841843,5,Vanilla,E
56,1905,31.642921245961478,6,Dandelion,F
57,1906,29.698618802373694,5,Vanilla,E
58,1907,31.292716418614848,6,Dandelion,F
59,1908,32.31942784015693,6,Dandelion,F
60,1909,29.497107524906284,5,Vanilla,E
61,1910,32.03907308347374,6,Dandelion,F
62,1911,30.803308261760733,6,Dandelion,F
63,1912,33.3296121704074,6,Dandelion,F
64,1913,29.35158997223077,5,Vanilla,E
65,1914,31.794310557567208,6,Dandelion,F
66,1915,31.86189110511531,6,Dandelion,F
67,1916,31.872487075875213,6,Dandelion,F
68,1917,29.722788236338037,5,Vanilla,E
69,1918,30.36643551694056,6,Dandelion,F
70,1919,29.70152833920199,5,Vanilla,E
71,1920,31.584402330154465,6,Dandelion,F
72,1921,31.883009357851506,6,Dandelion,F
73,1922,32.07089610315345,6,Dandelion,F
74,1923,29.722691020529105,5,Vanilla,E
75,1924,29.009665965027356,5,Vanilla,E
76,1925,27.787646390931073,5,Vanilla,E
77,1926,31.275711668629487,6,Dandelion,F
78,1927,31.83486459857217,6,Dandelion,F
79,1928,32.12358485822969,6,Dandelion,F
80,1929,31.69676236883203,6,Dandelion,F
81,1930,28.33711354410808,5,Vanilla,E
82,1931,32.452703871290915,6,Dandelion,F
83,1932,29.97917791391428,5,Vanilla,E
84,1933,30.810387783348663,6,Dandelion,F
85,1934,29.918495330103976,5,Vanilla,E
86,1935,30.988968661129682,6,Dandelion,F
87,1936,30.38997841353328,6,Dandelion,F
88,1937,35.64693117670714,6,Dandelion,F
89,1938,33.52546651386209,6,Dandelion,F
90,1939,32.7170696272887,6,Dandelion,F
91,1940,32.66738596596461,6,Dandelion,F
92,1941,32.941657049919684,6,Dandelion,F
93,1942,33.66472547295561,6,Dandelion,F
94,1943,31.892185804477414,6,Dandelion,F
95,1944,30.489078386445655,6,Dandelion,F
96,1945,31.343222364552688,6,Dandelion,F
97,1946,35.456338564452636,6,Dandelion,F
98,1947,33.690217148180416,6,Dandelion,F
99,1948,31.79651292106405,6,Dandelion,F
100,1949,33.582382949568625,6,Dandelion,F
101,1950,31.17316718896777,6,Dandelion,F
102,1951,30.830383847599606,6,Dandelion,F
103,1952,30.361802018304786,6,Dandelion,F
104,1953,34.39710059425694,6,Dandelion,F
105,1954,30.724017646764054,6,Dandelion,F
106,1955,33.40479745839784,6,Dandelion,F
107,1956,33.25750564765634,6,Dandelion,F
108,1957,33.375420258579474,6,Dandelion,F
109,1958,34.74030871475311,6,Dandelion,F
110,1959,32.93898200691826,6,Dandelion,F
111,1960,33.616291987875705,6,Dandelion,F
112,1961,32.82656726333579,6,Dandelion,F
113,1962,33.00001028333368,6,Dandelion,F
114,1963,32.00230208459849,6,Dandelion,F
115,1964,32.357646943424044,6,Dandelion,F
116,1965,32.7881229630876,6,Dandelion,F
117,1966,30.961933816069713,6,Dandelion,F
118,1967,33.01921965762357,6,Dandelion,F
119,1968,31.86433770269804,6,Dandelion,F
120,1969,33.59345484180297,6,Dandelion,F
121,1970,33.91775373491214,6,Dandelion,F
122,1971,33.3142771432211,6,Dandelion,F
123,1972,37.45984668663187,6,Dandelion,F
124,1973,33.611777287291254,6,Dandelion,F
125,1974,33.34092225998806,6,Dandelion,F
126,1975,35.81240558557626,6,Dandelion,F
127,1976,32.646272919258486,6,Dandelion,F
128,1977,36.2403575150266,6,Dandelion,F
129,1978,36.55568021800583,6,Dandelion,F
130,1979,37.4761147183642,6,Dandelion,F
131,1980,33.23887582868684,6,Dandelion,F
132,1981,37.832290857043986,6,Dandelion,F
133,1982,35.62722575772859,6,Dandelion,F
134,1983,40.55980170805894,7,Tangerine,G
135,1984,37.03520038885667,6,Dandelion,F
136,1985,37.844282671849,6,Dandelion,F
137,1986,36.53946455667033,6,Dandelion,F
138,1987,41.48626152157934,7,Tangerine,G
139,1988,38.07165801424008,6,Dandelion,F
140,1989,34.81977494751991,6,Dandelion,F
141,1990,34.90590956611603,6,Dandelion,F
142,1991,35.860962025663845,6,Dandelion,F
143,1992,35.33456006422246,6,Dandelion,F
144,1993,34.53385283554018,6,Dandelion,F
145,1994,37.21386077762549,6,Dandelion,F
146,1995,35.8115831040595,6,Dandelion,F
147,1996,37.425904567275836,6,Dandelion,F
148,1997,37.28773446180761,6,Dandelion,F
149,1998,39.526869574973304,6,Dandelion,F
150,1999,38.53901935274629,6,Dandelion,F
151,2000,36.09368954596146,6,Dandelion,F
152,2001,32.79999923706055,6,Dandelion,F
153,2002,37.900001525878906,6,Dandelion,F
154,2003,34.641666412353516,6,Dandelion,F
155,2004,42.641666412353516,7,Tangerine,G
156,2005,34.625,6,Dandelion,F
157,2006,32.54166793823242,6,Dandelion,F
158,2007,40.8416633605957,7,Tangerine,G
159,2008,40.42499923706055,7,Tangerine,G
160,2009,34.67500305175781,6,Dandelion,F
161,2010,39.74166488647461,6,Dandelion,F
162,2011,39.025001525878906,6,Dandelion,F
163,2012,42.733333587646484,7,Tangerine,G
164,2013,31.274999618530273,6,Dandelion,F
165,2014,36.016666412353516,6,Dandelion,F
166,2015,40.44166946411133,7,Tangerine,G
167,2016,37.958335876464844,6,Dandelion,F
168,2017,38.28333282470703,6,Dandelion,F
169,2018,34.72500228881836,6,Dandelion,F
170,2019,33.74166488647461,6,Dandelion,F
171,2020,32.74166488647461,6,Dandelion,F
172,2021,32.891666412353516,6,Dandelion,F
173,2022,35.30833435058594,6,Dandelion,F
