Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,9.21266330656568,2,PowderBlue,B
2,1851,10.319900255177597,3,CornflowerBlue,C
3,1852,10.698291538912812,3,CornflowerBlue,C
4,1853,10.260804214944034,3,CornflowerBlue,C
5,1854,9.756306486854932,2,PowderBlue,B
6,1855,11.16137921011577,3,CornflowerBlue,C
7,1856,10.872480870978341,3,CornflowerBlue,C
8,1857,10.921756639286587,3,CornflowerBlue,C
9,1858,10.315573105655556,3,CornflowerBlue,C
10,1859,10.862227359815188,3,CornflowerBlue,C
11,1860,10.635708549640627,3,CornflowerBlue,C
12,1861,11.996399459399084,3,CornflowerBlue,C
13,1862,11.406537501948824,3,CornflowerBlue,C
14,1863,11.203148584063383,3,CornflowerBlue,C
15,1864,11.19846204865466,3,CornflowerBlue,C
16,1865,10.821742728992128,3,CornflowerBlue,C
17,1866,11.492022432367802,3,CornflowerBlue,C
18,1867,11.659910746968201,3,CornflowerBlue,C
19,1868,11.437202254916414,3,CornflowerBlue,C
20,1869,10.95970645676514,3,CornflowerBlue,C
21,1870,11.279490213820738,3,CornflowerBlue,C
22,1871,11.265077613917798,3,CornflowerBlue,C
23,1872,10.835392189297554,3,CornflowerBlue,C
24,1873,11.416332508452797,3,CornflowerBlue,C
25,1874,11.41973558931468,3,CornflowerBlue,C
26,1875,11.756398209001826,3,CornflowerBlue,C
27,1876,10.763881094080412,3,CornflowerBlue,C
28,1877,12.12143229037571,3,CornflowerBlue,C
29,1878,12.166440205414355,3,CornflowerBlue,C
30,1879,11.21023593172846,3,CornflowerBlue,C
31,1880,11.878367234926353,3,CornflowerBlue,C
32,1881,12.63157774473383,3,CornflowerBlue,C
33,1882,13.270221733119433,3,CornflowerBlue,C
34,1883,11.894175793149198,3,CornflowerBlue,C
35,1884,12.338636500158003,3,CornflowerBlue,C
36,1885,12.617454837442544,3,CornflowerBlue,C
37,1886,12.5121457396339,3,CornflowerBlue,C
38,1887,12.338048426571422,3,CornflowerBlue,C
39,1888,12.396991306199421,3,CornflowerBlue,C
40,1889,12.857489205276806,3,CornflowerBlue,C
41,1890,12.667602409149751,3,CornflowerBlue,C
42,1891,12.909270987702612,3,CornflowerBlue,C
43,1892,11.978575957770225,3,CornflowerBlue,C
44,1893,12.22473422227387,3,CornflowerBlue,C
45,1894,13.153440875708007,3,CornflowerBlue,C
46,1895,12.76243999466656,3,CornflowerBlue,C
47,1896,12.416819545905001,3,CornflowerBlue,C
48,1897,13.82768636108431,3,CornflowerBlue,C
49,1898,13.074795117325088,3,CornflowerBlue,C
50,1899,14.724923848553553,3,CornflowerBlue,C
51,1900,14.004658101383352,3,CornflowerBlue,C
52,1901,14.274176183848217,3,CornflowerBlue,C
53,1902,13.754476716522136,3,CornflowerBlue,C
54,1903,14.149652464455224,3,CornflowerBlue,C
55,1904,13.731820723352907,3,CornflowerBlue,C
56,1905,15.008937617631396,4,LightYellow,D
57,1906,13.74164366718474,3,CornflowerBlue,C
58,1907,14.545393182970937,3,CornflowerBlue,C
59,1908,15.811342904226137,4,LightYellow,D
60,1909,14.59413334445735,3,CornflowerBlue,C
61,1910,15.457246042600524,4,LightYellow,D
62,1911,14.267404524014227,3,CornflowerBlue,C
63,1912,15.116341989838531,4,LightYellow,D
64,1913,13.985728497802073,3,CornflowerBlue,C
65,1914,14.200395722575365,3,CornflowerBlue,C
66,1915,13.862884724430648,3,CornflowerBlue,C
67,1916,14.211018098801647,3,CornflowerBlue,C
68,1917,13.895036946273285,3,CornflowerBlue,C
69,1918,13.307663648033904,3,CornflowerBlue,C
70,1919,14.276095888188587,3,CornflowerBlue,C
71,1920,13.8742695424342,3,CornflowerBlue,C
72,1921,12.793880010690076,3,CornflowerBlue,C
73,1922,13.909104845577668,3,CornflowerBlue,C
74,1923,13.787572240245197,3,CornflowerBlue,C
75,1924,15.255822942394524,4,LightYellow,D
76,1925,14.819234477193564,3,CornflowerBlue,C
77,1926,15.091684911043949,4,LightYellow,D
78,1927,15.412268794007735,4,LightYellow,D
79,1928,16.17442668348407,4,LightYellow,D
80,1929,16.10010221263069,4,LightYellow,D
81,1930,15.16968135949979,4,LightYellow,D
82,1931,15.336128778813988,4,LightYellow,D
83,1932,14.540318179684215,3,CornflowerBlue,C
84,1933,13.835477665654073,3,CornflowerBlue,C
85,1934,14.445785931345482,3,CornflowerBlue,C
86,1935,15.223455675128916,4,LightYellow,D
87,1936,14.82120937366031,3,CornflowerBlue,C
88,1937,14.935243246279981,3,CornflowerBlue,C
89,1938,15.08359952414774,4,LightYellow,D
90,1939,15.986447009433526,4,LightYellow,D
91,1940,14.07577528851029,3,CornflowerBlue,C
92,1941,14.323871515282082,3,CornflowerBlue,C
93,1942,13.793879999251413,3,CornflowerBlue,C
94,1943,15.209627843957623,4,LightYellow,D
95,1944,13.486254770910115,3,CornflowerBlue,C
96,1945,13.376243136656988,3,CornflowerBlue,C
97,1946,14.22785076619086,3,CornflowerBlue,C
98,1947,15.561748337683078,4,LightYellow,D
99,1948,16.607775178527177,4,LightYellow,D
100,1949,16.292189370658203,4,LightYellow,D
101,1950,16.74195790339612,4,LightYellow,D
102,1951,16.883997882203552,4,LightYellow,D
103,1952,17.071936598292975,4,LightYellow,D
104,1953,16.437737720952292,4,LightYellow,D
105,1954,17.49862768302176,4,LightYellow,D
106,1955,18.17823622175113,4,LightYellow,D
107,1956,18.847465890482653,4,LightYellow,D
108,1957,18.728606715628857,4,LightYellow,D
109,1958,19.691705071261048,4,LightYellow,D
110,1959,19.317951140839085,4,LightYellow,D
111,1960,19.792815184330156,4,LightYellow,D
112,1961,21.251067770030723,5,Vanilla,E
113,1962,21.48151555897316,5,Vanilla,E
114,1963,20.893191034545765,5,Vanilla,E
115,1964,21.388224617299702,5,Vanilla,E
116,1965,23.273698449230835,5,Vanilla,E
117,1966,21.510538794122144,5,Vanilla,E
118,1967,22.53240888858558,5,Vanilla,E
119,1968,23.951970831937764,5,Vanilla,E
120,1969,24.921112981429104,5,Vanilla,E
121,1970,24.981690809235726,5,Vanilla,E
122,1971,25.629693970821094,5,Vanilla,E
123,1972,27.0772388740532,5,Vanilla,E
124,1973,25.56055627043492,5,Vanilla,E
125,1974,28.74439633405979,5,Vanilla,E
126,1975,27.627796442058084,5,Vanilla,E
127,1976,27.568747433094448,5,Vanilla,E
128,1977,28.591520094798234,5,Vanilla,E
129,1978,28.400806659026262,5,Vanilla,E
130,1979,29.803513034210035,5,Vanilla,E
131,1980,30.774379885440165,6,Dandelion,F
132,1981,30.111309532783018,6,Dandelion,F
133,1982,26.41734638620721,5,Vanilla,E
134,1983,28.686392335710828,5,Vanilla,E
135,1984,25.193937930948266,5,Vanilla,E
136,1985,27.60125757213045,5,Vanilla,E
137,1986,26.11623378451049,5,Vanilla,E
138,1987,27.438508021658823,5,Vanilla,E
139,1988,26.68071430651692,5,Vanilla,E
140,1989,27.7985199358498,5,Vanilla,E
141,1990,26.84040510225983,5,Vanilla,E
142,1991,25.638049165688667,5,Vanilla,E
143,1992,25.1153098575278,5,Vanilla,E
144,1993,24.248837424439383,5,Vanilla,E
145,1994,23.434917953650846,5,Vanilla,E
146,1995,22.699400960349383,5,Vanilla,E
147,1996,23.32820543287811,5,Vanilla,E
148,1997,23.067913033201535,5,Vanilla,E
149,1998,21.11860309636541,5,Vanilla,E
150,1999,20.087937559241663,5,Vanilla,E
151,2000,20.558950795201007,5,Vanilla,E
152,2001,19.46666717529297,4,LightYellow,D
153,2002,19.775001525878906,4,LightYellow,D
154,2003,21.316667556762695,5,Vanilla,E
155,2004,21.224998474121094,5,Vanilla,E
156,2005,19.950000762939453,4,LightYellow,D
157,2006,20.891666412353516,5,Vanilla,E
158,2007,22.066667556762695,5,Vanilla,E
159,2008,20.683332443237305,5,Vanilla,E
160,2009,21.583330154418945,5,Vanilla,E
161,2010,17.691667556762695,4,LightYellow,D
162,2011,19.89166831970215,4,LightYellow,D
163,2012,20.35833168029785,5,Vanilla,E
164,2013,16.80000114440918,4,LightYellow,D
165,2014,17.84166717529297,4,LightYellow,D
166,2015,20.69999885559082,5,Vanilla,E
167,2016,17.69166374206543,4,LightYellow,D
168,2017,18.45833396911621,4,LightYellow,D
169,2018,18.191667556762695,4,LightYellow,D
170,2019,18.67500114440918,4,LightYellow,D
171,2020,16.08333396911621,4,LightYellow,D
172,2021,16.716665267944336,4,LightYellow,D
173,2022,23.44999885559082,5,Vanilla,E
