Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.297752803449042,3,CornflowerBlue,C
2,1851,11.663841076739851,3,CornflowerBlue,C
3,1852,11.604210985168274,3,CornflowerBlue,C
4,1853,12.0326715506376,3,CornflowerBlue,C
5,1854,11.848940843767771,3,CornflowerBlue,C
6,1855,11.8370598128795,3,CornflowerBlue,C
7,1856,11.709903546133814,3,CornflowerBlue,C
8,1857,11.422580871224145,3,CornflowerBlue,C
9,1858,11.36732211502933,3,CornflowerBlue,C
10,1859,12.497850335014178,3,CornflowerBlue,C
11,1860,12.174488087796687,3,CornflowerBlue,C
12,1861,12.242812864451672,3,CornflowerBlue,C
13,1862,11.689014550987698,3,CornflowerBlue,C
14,1863,10.906254078347764,3,CornflowerBlue,C
15,1864,11.423394827774892,3,CornflowerBlue,C
16,1865,10.69041272182548,3,CornflowerBlue,C
17,1866,11.562921018677589,3,CornflowerBlue,C
18,1867,11.472120117282872,3,CornflowerBlue,C
19,1868,12.014698101479294,3,CornflowerBlue,C
20,1869,11.198184060330481,3,CornflowerBlue,C
21,1870,11.703560925918744,3,CornflowerBlue,C
22,1871,10.461858310052742,3,CornflowerBlue,C
23,1872,11.13806284959542,3,CornflowerBlue,C
24,1873,12.330327870263428,3,CornflowerBlue,C
25,1874,11.811150258707354,3,CornflowerBlue,C
26,1875,11.234749985867133,3,CornflowerBlue,C
27,1876,11.696915271809152,3,CornflowerBlue,C
28,1877,11.265657934637847,3,CornflowerBlue,C
29,1878,11.418712884436257,3,CornflowerBlue,C
30,1879,10.737749519007496,3,CornflowerBlue,C
31,1880,11.791349912903858,3,CornflowerBlue,C
32,1881,11.09003251682556,3,CornflowerBlue,C
33,1882,12.27605130047866,3,CornflowerBlue,C
34,1883,11.412653256488264,3,CornflowerBlue,C
35,1884,11.489496456627478,3,CornflowerBlue,C
36,1885,11.643822342798996,3,CornflowerBlue,C
37,1886,11.46942011386952,3,CornflowerBlue,C
38,1887,11.894678523864481,3,CornflowerBlue,C
39,1888,11.572709385475916,3,CornflowerBlue,C
40,1889,11.260725392879827,3,CornflowerBlue,C
41,1890,11.84271195026067,3,CornflowerBlue,C
42,1891,11.793917151575778,3,CornflowerBlue,C
43,1892,12.841634240006801,3,CornflowerBlue,C
44,1893,11.725828548313867,3,CornflowerBlue,C
45,1894,12.022506390951563,3,CornflowerBlue,C
46,1895,11.374977105290247,3,CornflowerBlue,C
47,1896,11.68673788412587,3,CornflowerBlue,C
48,1897,12.011179767754115,3,CornflowerBlue,C
49,1898,11.88179304109946,3,CornflowerBlue,C
50,1899,11.848602689440268,3,CornflowerBlue,C
51,1900,12.472683178772115,3,CornflowerBlue,C
52,1901,12.090693780314988,3,CornflowerBlue,C
53,1902,12.013841498813145,3,CornflowerBlue,C
54,1903,11.49505349609638,3,CornflowerBlue,C
55,1904,11.387429866623103,3,CornflowerBlue,C
56,1905,12.597037286981815,3,CornflowerBlue,C
57,1906,12.70621200380467,3,CornflowerBlue,C
58,1907,13.496320285974646,3,CornflowerBlue,C
59,1908,11.687888358755819,3,CornflowerBlue,C
60,1909,12.442912581882315,3,CornflowerBlue,C
61,1910,12.336595361526333,3,CornflowerBlue,C
62,1911,12.630247710204141,3,CornflowerBlue,C
63,1912,13.109872082831215,3,CornflowerBlue,C
64,1913,12.754783753226036,3,CornflowerBlue,C
65,1914,13.504276934592669,3,CornflowerBlue,C
66,1915,13.468813265283902,3,CornflowerBlue,C
67,1916,14.186327603093645,3,CornflowerBlue,C
68,1917,13.552800016197942,3,CornflowerBlue,C
69,1918,14.13952197952001,3,CornflowerBlue,C
70,1919,14.581754701606211,3,CornflowerBlue,C
71,1920,14.153651473480842,3,CornflowerBlue,C
72,1921,13.297418455713778,3,CornflowerBlue,C
73,1922,13.451337590921261,3,CornflowerBlue,C
74,1923,14.906482629331537,3,CornflowerBlue,C
75,1924,13.160275149094428,3,CornflowerBlue,C
76,1925,14.300953554892573,3,CornflowerBlue,C
77,1926,13.868721714594873,3,CornflowerBlue,C
78,1927,14.39365723033917,3,CornflowerBlue,C
79,1928,14.23424999385706,3,CornflowerBlue,C
