Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.134654736110413,3,CornflowerBlue,C
2,1851,11.83843421074895,3,CornflowerBlue,C
3,1852,12.116515500856005,3,CornflowerBlue,C
4,1853,12.0833543204071,3,CornflowerBlue,C
5,1854,11.983985528000916,3,CornflowerBlue,C
6,1855,12.258922767295289,3,CornflowerBlue,C
7,1856,12.80183851663854,3,CornflowerBlue,C
8,1857,12.520560347258275,3,CornflowerBlue,C
9,1858,11.707761349591472,3,CornflowerBlue,C
10,1859,12.399163619020639,3,CornflowerBlue,C
11,1860,12.784341940994977,3,CornflowerBlue,C
12,1861,12.96756782277975,3,CornflowerBlue,C
13,1862,13.226977613656157,3,CornflowerBlue,C
14,1863,12.630688499522519,3,CornflowerBlue,C
15,1864,12.784079488052047,3,CornflowerBlue,C
16,1865,13.111968222900385,3,CornflowerBlue,C
17,1866,13.223461245096793,3,CornflowerBlue,C
18,1867,12.916008655054082,3,CornflowerBlue,C
19,1868,12.765592564548525,3,CornflowerBlue,C
20,1869,13.39863158903194,3,CornflowerBlue,C
21,1870,13.939280434291758,3,CornflowerBlue,C
22,1871,13.653730817757433,3,CornflowerBlue,C
23,1872,13.430104975876107,3,CornflowerBlue,C
24,1873,13.683460272562955,3,CornflowerBlue,C
25,1874,13.564035960351905,3,CornflowerBlue,C
26,1875,13.438803324160142,3,CornflowerBlue,C
27,1876,13.406981623340466,3,CornflowerBlue,C
28,1877,14.03233301314265,3,CornflowerBlue,C
29,1878,13.758578042191004,3,CornflowerBlue,C
30,1879,13.463026341015352,3,CornflowerBlue,C
31,1880,13.277504414992658,3,CornflowerBlue,C
32,1881,14.362606327210123,3,CornflowerBlue,C
33,1882,14.546046188954714,3,CornflowerBlue,C
34,1883,14.48609358467664,3,CornflowerBlue,C
35,1884,13.530013502779834,3,CornflowerBlue,C
36,1885,14.07155152279815,3,CornflowerBlue,C
37,1886,14.26954032606637,3,CornflowerBlue,C
38,1887,14.230580647658366,3,CornflowerBlue,C
39,1888,13.38608816797391,3,CornflowerBlue,C
