Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,7.9032381339846784,2,PowderBlue,B
2,1851,7.3243203287902,2,PowderBlue,B
3,1852,7.643767993503023,2,PowderBlue,B
4,1853,7.812868293140439,2,PowderBlue,B
5,1854,7.748092437505741,2,PowderBlue,B
6,1855,7.642679510669687,2,PowderBlue,B
7,1856,8.071503656970812,2,PowderBlue,B
8,1857,7.742300808667555,2,PowderBlue,B
9,1858,7.89610689562817,2,PowderBlue,B
10,1859,8.446612522369831,2,PowderBlue,B
11,1860,7.590869875037657,2,PowderBlue,B
12,1861,8.486740428904566,2,PowderBlue,B
13,1862,8.587831602235203,2,PowderBlue,B
14,1863,8.413936358934954,2,PowderBlue,B
15,1864,9.276647917819917,2,PowderBlue,B
16,1865,8.459295172355004,2,PowderBlue,B
17,1866,8.424027281396418,2,PowderBlue,B
18,1867,8.01972163463368,2,PowderBlue,B
19,1868,8.43580213730905,2,PowderBlue,B
20,1869,8.32547924330876,2,PowderBlue,B
21,1870,8.38085596910963,2,PowderBlue,B
22,1871,8.852426811286456,2,PowderBlue,B
23,1872,8.575946858599185,2,PowderBlue,B
24,1873,8.799144226225327,2,PowderBlue,B
25,1874,9.171338063787537,2,PowderBlue,B
26,1875,8.985604213364955,2,PowderBlue,B
27,1876,9.200751750507113,2,PowderBlue,B
28,1877,9.571529941186826,2,PowderBlue,B
29,1878,8.669251666751126,2,PowderBlue,B
30,1879,9.025749975818817,2,PowderBlue,B
31,1880,9.454092521721169,2,PowderBlue,B
32,1881,8.921740661335651,2,PowderBlue,B
33,1882,9.54428202121303,2,PowderBlue,B
34,1883,9.822075082217568,2,PowderBlue,B
35,1884,9.288432102369276,2,PowderBlue,B
36,1885,9.702282391205765,2,PowderBlue,B
37,1886,9.344845789480301,2,PowderBlue,B
38,1887,9.081176543094102,2,PowderBlue,B
39,1888,9.157712223063495,2,PowderBlue,B
40,1889,9.8160780273783,2,PowderBlue,B
41,1890,9.717598940562475,2,PowderBlue,B
42,1891,9.659331899478243,2,PowderBlue,B
43,1892,10.013031322744911,3,CornflowerBlue,C
44,1893,9.694760874349182,2,PowderBlue,B
45,1894,10.458479078322362,3,CornflowerBlue,C
46,1895,11.230802353683357,3,CornflowerBlue,C
47,1896,9.801549450408384,2,PowderBlue,B
48,1897,11.35113249360246,3,CornflowerBlue,C
49,1898,10.470252269431827,3,CornflowerBlue,C
50,1899,11.33933514766949,3,CornflowerBlue,C
51,1900,11.433994071355977,3,CornflowerBlue,C
52,1901,11.13672646799189,3,CornflowerBlue,C
53,1902,10.890086367969058,3,CornflowerBlue,C
54,1903,10.944422384057937,3,CornflowerBlue,C
55,1904,11.115793012223712,3,CornflowerBlue,C
56,1905,11.820380781855745,3,CornflowerBlue,C
57,1906,10.763961236831229,3,CornflowerBlue,C
58,1907,11.706274272823883,3,CornflowerBlue,C
59,1908,11.636001036937671,3,CornflowerBlue,C
60,1909,12.271095199172295,3,CornflowerBlue,C
61,1910,11.950291946000586,3,CornflowerBlue,C
62,1911,11.905573298704734,3,CornflowerBlue,C
63,1912,12.101522859704152,3,CornflowerBlue,C
64,1913,13.37430144277245,3,CornflowerBlue,C
65,1914,10.906078073130045,3,CornflowerBlue,C
66,1915,10.699094216744907,3,CornflowerBlue,C
67,1916,10.963931598810634,3,CornflowerBlue,C
68,1917,11.79893385133696,3,CornflowerBlue,C
69,1918,11.41044626472211,3,CornflowerBlue,C
70,1919,10.675302530307658,3,CornflowerBlue,C
71,1920,11.410380443229359,3,CornflowerBlue,C
72,1921,11.434357276400315,3,CornflowerBlue,C
73,1922,12.324305817384968,3,CornflowerBlue,C
74,1923,11.696334907066703,3,CornflowerBlue,C
75,1924,12.461950289518509,3,CornflowerBlue,C
76,1925,12.662597158037043,3,CornflowerBlue,C
77,1926,13.031605452095853,3,CornflowerBlue,C
78,1927,13.421885103898632,3,CornflowerBlue,C
79,1928,13.651402984519198,3,CornflowerBlue,C
80,1929,14.312472788559683,3,CornflowerBlue,C
81,1930,13.656128685104305,3,CornflowerBlue,C
82,1931,13.977299204659811,3,CornflowerBlue,C
83,1932,12.655928896413409,3,CornflowerBlue,C
84,1933,12.498677842652837,3,CornflowerBlue,C
85,1934,13.950326458858903,3,CornflowerBlue,C
86,1935,14.431200707042047,3,CornflowerBlue,C
87,1936,14.071072827880368,3,CornflowerBlue,C
88,1937,14.601097669498964,3,CornflowerBlue,C
89,1938,15.503456348851104,4,LightYellow,D
90,1939,14.76708773458779,3,CornflowerBlue,C
91,1940,16.209558706175343,4,LightYellow,D
92,1941,13.418194045014253,3,CornflowerBlue,C
93,1942,14.023667397999887,3,CornflowerBlue,C
94,1943,14.091624301905618,3,CornflowerBlue,C
95,1944,13.29308523321811,3,CornflowerBlue,C
96,1945,12.451459894291323,3,CornflowerBlue,C
97,1946,14.604045627253367,3,CornflowerBlue,C
98,1947,16.3888233530264,4,LightYellow,D
99,1948,16.922423820593107,4,LightYellow,D
100,1949,18.384386083724117,4,LightYellow,D
101,1950,17.8320563605132,4,LightYellow,D
102,1951,19.434501273212046,4,LightYellow,D
103,1952,19.800238324898693,4,LightYellow,D
104,1953,18.566727282365843,4,LightYellow,D
105,1954,20.5293080457018,5,Vanilla,E
106,1955,21.77877243081918,5,Vanilla,E
107,1956,22.807841288833572,5,Vanilla,E
108,1957,23.633454505220598,5,Vanilla,E
109,1958,22.902236364659352,5,Vanilla,E
110,1959,24.172953855960166,5,Vanilla,E
111,1960,25.078770009697248,5,Vanilla,E
112,1961,27.19736344536795,5,Vanilla,E
113,1962,28.21803194000043,5,Vanilla,E
114,1963,27.54375957062237,5,Vanilla,E
115,1964,29.02317633940478,5,Vanilla,E
116,1965,29.243360346375056,5,Vanilla,E
117,1966,28.065545896011905,5,Vanilla,E
118,1967,28.56743151513771,5,Vanilla,E
119,1968,28.658038651118364,5,Vanilla,E
120,1969,28.765235003078473,5,Vanilla,E
121,1970,30.021267172812614,6,Dandelion,F
122,1971,28.22874573574839,5,Vanilla,E
123,1972,28.465693751849322,5,Vanilla,E
124,1973,28.60227062337475,5,Vanilla,E
125,1974,30.50150658644886,6,Dandelion,F
126,1975,29.503298864707492,5,Vanilla,E
127,1976,30.16930406084588,6,Dandelion,F
128,1977,31.896389198352086,6,Dandelion,F
129,1978,32.45448329062865,6,Dandelion,F
130,1979,32.781426086088885,6,Dandelion,F
131,1980,32.00015906254625,6,Dandelion,F
132,1981,33.284513645729945,6,Dandelion,F
133,1982,32.27100313279179,6,Dandelion,F
134,1983,33.69141491901192,6,Dandelion,F
135,1984,34.549255582856865,6,Dandelion,F
136,1985,34.813933169855154,6,Dandelion,F
137,1986,34.9079946875307,6,Dandelion,F
138,1987,35.074378291800755,6,Dandelion,F
139,1988,34.494251915492214,6,Dandelion,F
140,1989,35.02328940590859,6,Dandelion,F
141,1990,35.190121574330426,6,Dandelion,F
142,1991,32.20951156749706,6,Dandelion,F
143,1992,30.590738376249753,6,Dandelion,F
144,1993,29.084349088943906,5,Vanilla,E
145,1994,25.782304107743627,5,Vanilla,E
146,1995,25.682488871674984,5,Vanilla,E
147,1996,25.707732859976822,5,Vanilla,E
148,1997,27.17597426147594,5,Vanilla,E
149,1998,26.647588841718687,5,Vanilla,E
150,1999,22.829133211502494,5,Vanilla,E
151,2000,25.977003746535665,5,Vanilla,E
152,2001,25.375,5,Vanilla,E
153,2002,26.474998474121094,5,Vanilla,E
154,2003,26.98333168029785,5,Vanilla,E
155,2004,25.349998474121094,5,Vanilla,E
156,2005,26.53333282470703,5,Vanilla,E
157,2006,26.67500114440918,5,Vanilla,E
158,2007,23.95833396911621,5,Vanilla,E
159,2008,25.383333206176758,5,Vanilla,E
160,2009,28.54999542236328,5,Vanilla,E
161,2010,21.67500114440918,5,Vanilla,E
162,2011,30.34166717529297,6,Dandelion,F
163,2012,27.208335876464844,5,Vanilla,E
164,2013,25.05000114440918,5,Vanilla,E
165,2014,23.191665649414062,5,Vanilla,E
166,2015,25.600000381469727,5,Vanilla,E
167,2016,25.816665649414062,5,Vanilla,E
168,2017,26.25,5,Vanilla,E
169,2018,25.41666603088379,5,Vanilla,E
170,2019,23.183332443237305,5,Vanilla,E
171,2020,21.83333396911621,5,Vanilla,E
172,2021,22.308332443237305,5,Vanilla,E
173,2022,22.383333206176758,5,Vanilla,E
