Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.79248305873784,4,LightYellow,D
2,1851,16.505591233430277,4,LightYellow,D
3,1852,17.370992882295823,4,LightYellow,D
4,1853,17.142183988704396,4,LightYellow,D
5,1854,18.001899672108376,4,LightYellow,D
6,1855,18.221324365253174,4,LightYellow,D
7,1856,19.301165919262484,4,LightYellow,D
8,1857,19.01279014221248,4,LightYellow,D
9,1858,19.042475736684707,4,LightYellow,D
10,1859,20.08042809761887,5,Vanilla,E
11,1860,19.167264233164985,4,LightYellow,D
12,1861,20.426091394736506,5,Vanilla,E
13,1862,21.75661587644534,5,Vanilla,E
14,1863,21.88703732036991,5,Vanilla,E
15,1864,22.263813899536284,5,Vanilla,E
16,1865,21.769031893308796,5,Vanilla,E
17,1866,21.891282119249148,5,Vanilla,E
18,1867,21.40840387852748,5,Vanilla,E
19,1868,23.068996700890388,5,Vanilla,E
20,1869,23.347515732251427,5,Vanilla,E
21,1870,22.968652992200063,5,Vanilla,E
22,1871,22.641370821654586,5,Vanilla,E
23,1872,24.188824629472503,5,Vanilla,E
24,1873,25.513473366133624,5,Vanilla,E
25,1874,25.772456298444656,5,Vanilla,E
26,1875,24.80299861612895,5,Vanilla,E
27,1876,25.18308980693212,5,Vanilla,E
28,1877,27.552037756900432,5,Vanilla,E
29,1878,25.40174692411911,5,Vanilla,E
30,1879,25.548877905042893,5,Vanilla,E
31,1880,28.362844918793314,5,Vanilla,E
32,1881,27.483444694392116,5,Vanilla,E
33,1882,29.732958066169058,5,Vanilla,E
34,1883,29.652804283501574,5,Vanilla,E
35,1884,29.574662654417438,5,Vanilla,E
36,1885,30.914445818265932,6,Dandelion,F
37,1886,29.9506204881156,5,Vanilla,E
38,1887,29.419530515944405,5,Vanilla,E
39,1888,29.863297603677303,5,Vanilla,E
40,1889,30.134659175369997,6,Dandelion,F
41,1890,33.646158425267544,6,Dandelion,F
42,1891,33.007752491938696,6,Dandelion,F
43,1892,33.28772748530599,6,Dandelion,F
44,1893,32.83404279407393,6,Dandelion,F
45,1894,35.97082186747741,6,Dandelion,F
46,1895,33.04190109883549,6,Dandelion,F
47,1896,32.802696935396696,6,Dandelion,F
48,1897,38.83866134547263,6,Dandelion,F
49,1898,40.497127554335,7,Tangerine,G
50,1899,38.77758875209153,6,Dandelion,F
51,1900,44.341025703463025,7,Tangerine,G
52,1901,39.95795243056294,6,Dandelion,F
53,1902,38.73171487060556,6,Dandelion,F
54,1903,40.52378167311643,7,Tangerine,G
55,1904,40.82375411699357,7,Tangerine,G
56,1905,43.44537807902881,7,Tangerine,G
57,1906,43.04636275583282,7,Tangerine,G
58,1907,45.754012646446036,7,Tangerine,G
59,1908,47.51710146930831,7,Tangerine,G
60,1909,47.33991833822759,7,Tangerine,G
61,1910,45.91808653780325,7,Tangerine,G
62,1911,46.70471378819374,7,Tangerine,G
63,1912,48.4112661142022,7,Tangerine,G
64,1913,49.502884901991024,7,Tangerine,G
65,1914,44.121825637379665,7,Tangerine,G
66,1915,42.73813818835748,7,Tangerine,G
67,1916,45.37741662116063,7,Tangerine,G
68,1917,48.82815446791766,7,Tangerine,G
69,1918,43.045041970574175,7,Tangerine,G
70,1919,35.552544244085446,6,Dandelion,F
71,1920,39.37416146519326,6,Dandelion,F
