Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,29.253895360549837,5,Vanilla,E
2,1851,30.00580786326253,6,Dandelion,F
3,1852,31.477347553436616,6,Dandelion,F
4,1853,26.96846056745042,5,Vanilla,E
5,1854,28.166994003653425,5,Vanilla,E
6,1855,31.219282388796575,6,Dandelion,F
7,1856,29.199383920311444,5,Vanilla,E
8,1857,28.574059800972545,5,Vanilla,E
9,1858,28.81439311627324,5,Vanilla,E
10,1859,28.581552866126938,5,Vanilla,E
11,1860,30.34875583438719,6,Dandelion,F
12,1861,31.7363914196987,6,Dandelion,F
13,1862,28.155269028765375,5,Vanilla,E
14,1863,25.929433779826674,5,Vanilla,E
15,1864,27.117387343170964,5,Vanilla,E
16,1865,31.33772153520253,6,Dandelion,F
17,1866,30.753706178120872,6,Dandelion,F
18,1867,29.41037504337757,5,Vanilla,E
19,1868,26.86171134514218,5,Vanilla,E
20,1869,27.77815187694457,5,Vanilla,E
21,1870,29.62897829273121,5,Vanilla,E
22,1871,28.41046943120279,5,Vanilla,E
23,1872,28.0643051044224,5,Vanilla,E
24,1873,27.825087228681195,5,Vanilla,E
25,1874,28.598262556504704,5,Vanilla,E
26,1875,29.777475045621223,5,Vanilla,E
27,1876,29.405257048587046,5,Vanilla,E
28,1877,27.430653357651,5,Vanilla,E
29,1878,29.326464624909274,5,Vanilla,E
30,1879,31.147727412133197,6,Dandelion,F
31,1880,28.12057398975098,5,Vanilla,E
32,1881,28.529272235145033,5,Vanilla,E
33,1882,31.177799082984496,6,Dandelion,F
34,1883,27.957424284258337,5,Vanilla,E
35,1884,27.97624119733933,5,Vanilla,E
36,1885,31.665030902506956,6,Dandelion,F
37,1886,30.830264259421217,6,Dandelion,F
38,1887,29.27857062310762,5,Vanilla,E
39,1888,26.547679331074104,5,Vanilla,E
40,1889,29.359782261095628,5,Vanilla,E
41,1890,30.504427964895054,6,Dandelion,F
42,1891,31.357431385949972,6,Dandelion,F
43,1892,30.833980340694396,6,Dandelion,F
44,1893,31.19197031131431,6,Dandelion,F
45,1894,28.612221181472847,5,Vanilla,E
46,1895,30.25957455252863,6,Dandelion,F
47,1896,28.7007930060662,5,Vanilla,E
48,1897,29.561172616119958,5,Vanilla,E
49,1898,26.64869614155926,5,Vanilla,E
50,1899,29.051290976287852,5,Vanilla,E
51,1900,30.56267939983328,6,Dandelion,F
52,1901,28.611974475742098,5,Vanilla,E
53,1902,28.984522074483458,5,Vanilla,E
54,1903,29.489427512051314,5,Vanilla,E
55,1904,28.98051656594398,5,Vanilla,E
56,1905,32.278204639934174,6,Dandelion,F
57,1906,30.013886495937758,6,Dandelion,F
58,1907,31.957093408797345,6,Dandelion,F
59,1908,33.21511116146836,6,Dandelion,F
60,1909,30.70961831846527,6,Dandelion,F
61,1910,31.032071383764638,6,Dandelion,F
62,1911,30.503925248217797,6,Dandelion,F
63,1912,32.548330957399514,6,Dandelion,F
64,1913,29.428294786613183,5,Vanilla,E
65,1914,31.283675483602025,6,Dandelion,F
66,1915,31.556224608643276,6,Dandelion,F
67,1916,32.150420020069305,6,Dandelion,F
68,1917,28.683350408683783,5,Vanilla,E
69,1918,29.427095128072704,5,Vanilla,E
70,1919,28.330640583023147,5,Vanilla,E
71,1920,31.597785689360137,6,Dandelion,F
72,1921,31.700885107111883,6,Dandelion,F
73,1922,32.14768778746128,6,Dandelion,F
74,1923,29.085502085641632,5,Vanilla,E
75,1924,28.78878749309863,5,Vanilla,E
76,1925,28.578086735054857,5,Vanilla,E
77,1926,31.093325335929148,6,Dandelion,F
78,1927,32.29760019201994,6,Dandelion,F
79,1928,30.95543094857602,6,Dandelion,F
80,1929,31.264602846704694,6,Dandelion,F
81,1930,27.06939944778943,5,Vanilla,E
82,1931,30.794288526613514,6,Dandelion,F
83,1932,28.55034223014121,5,Vanilla,E
84,1933,29.9821458417124,5,Vanilla,E
85,1934,30.53119575439108,6,Dandelion,F
86,1935,29.78991403361605,5,Vanilla,E
87,1936,30.355982106022097,6,Dandelion,F
88,1937,34.828052229897246,6,Dandelion,F
89,1938,32.21010603187776,6,Dandelion,F
90,1939,31.81277317422348,6,Dandelion,F
91,1940,31.110951239825784,6,Dandelion,F
92,1941,33.753786244483265,6,Dandelion,F
93,1942,34.28947499506375,6,Dandelion,F
94,1943,32.373103022120894,6,Dandelion,F
95,1944,29.35884575007866,5,Vanilla,E
96,1945,30.62638719029296,6,Dandelion,F
97,1946,35.227917223157284,6,Dandelion,F
98,1947,32.77824390572845,6,Dandelion,F
99,1948,29.441483155358345,5,Vanilla,E
100,1949,34.5958856563046,6,Dandelion,F
101,1950,29.445214818920622,5,Vanilla,E
102,1951,28.572875264736997,5,Vanilla,E
103,1952,29.5613565557055,5,Vanilla,E
104,1953,33.78308830573189,6,Dandelion,F
105,1954,28.94985443668214,5,Vanilla,E
106,1955,32.871517053837245,6,Dandelion,F
107,1956,33.05257179266131,6,Dandelion,F
108,1957,31.52239284185934,6,Dandelion,F
109,1958,32.94566055569326,6,Dandelion,F
110,1959,31.52586768077933,6,Dandelion,F
111,1960,32.43602328420911,6,Dandelion,F
112,1961,30.389660007167162,6,Dandelion,F
113,1962,32.13799562917089,6,Dandelion,F
114,1963,30.68043277671267,6,Dandelion,F
115,1964,31.914181688053276,6,Dandelion,F
116,1965,30.160113453294972,6,Dandelion,F
117,1966,27.237624877368937,5,Vanilla,E
118,1967,33.700696623514936,6,Dandelion,F
119,1968,31.67728743439676,6,Dandelion,F
120,1969,33.01384811816544,6,Dandelion,F
121,1970,32.2538078651934,6,Dandelion,F
122,1971,32.12640023443252,6,Dandelion,F
123,1972,32.68908172774139,6,Dandelion,F
124,1973,31.97329513493227,6,Dandelion,F
125,1974,30.81083064760474,6,Dandelion,F
126,1975,33.733937612070584,6,Dandelion,F
127,1976,30.647915252029915,6,Dandelion,F
128,1977,34.731786643827085,6,Dandelion,F
129,1978,33.9095435394232,6,Dandelion,F
130,1979,35.04927134003209,6,Dandelion,F
131,1980,32.00279344651095,6,Dandelion,F
132,1981,33.7927237798933,6,Dandelion,F
133,1982,33.04912340389993,6,Dandelion,F
134,1983,35.863616803133894,6,Dandelion,F
135,1984,34.80734909811856,6,Dandelion,F
136,1985,36.139047645028995,6,Dandelion,F
137,1986,34.209598042191274,6,Dandelion,F
138,1987,36.24471981801463,6,Dandelion,F
139,1988,35.08344492224623,6,Dandelion,F
140,1989,32.148982558330445,6,Dandelion,F
141,1990,31.80843271211601,6,Dandelion,F
142,1991,33.48102135648325,6,Dandelion,F
143,1992,31.66276931417517,6,Dandelion,F
144,1993,31.82610208993621,6,Dandelion,F
145,1994,34.14870562617375,6,Dandelion,F
146,1995,33.38765310902788,6,Dandelion,F
147,1996,33.50048763095822,6,Dandelion,F
148,1997,34.31444895239327,6,Dandelion,F
149,1998,37.599916801676805,6,Dandelion,F
150,1999,34.93562673379742,6,Dandelion,F
151,2000,33.885753414875936,6,Dandelion,F
152,2001,31.14166259765625,6,Dandelion,F
153,2002,29.241662979125977,5,Vanilla,E
154,2003,30.03333282470703,6,Dandelion,F
155,2004,33.15833282470703,6,Dandelion,F
156,2005,28.46666717529297,5,Vanilla,E
157,2006,28.108335494995117,5,Vanilla,E
158,2007,35.71666717529297,6,Dandelion,F
159,2008,33.49166488647461,6,Dandelion,F
160,2009,29.308334350585938,5,Vanilla,E
161,2010,31.125,6,Dandelion,F
162,2011,32.375003814697266,6,Dandelion,F
163,2012,33.016666412353516,6,Dandelion,F
164,2013,28.724998474121094,5,Vanilla,E
165,2014,29.83333396911621,5,Vanilla,E
166,2015,35.49166488647461,6,Dandelion,F
167,2016,31.808334350585938,6,Dandelion,F
168,2017,35.716670989990234,6,Dandelion,F
169,2018,35.24166488647461,6,Dandelion,F
170,2019,33.09166717529297,6,Dandelion,F
171,2020,34.22500228881836,6,Dandelion,F
172,2021,33.44166564941406,6,Dandelion,F
173,2022,33.016666412353516,6,Dandelion,F
