Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,7.608988928431516,2,PowderBlue,B
2,1851,7.1249861955261276,2,PowderBlue,B
3,1852,7.353165615234948,2,PowderBlue,B
4,1853,7.869423657915109,2,PowderBlue,B
5,1854,7.57569164529136,2,PowderBlue,B
6,1855,7.066362593210078,2,PowderBlue,B
7,1856,6.803974818168912,2,PowderBlue,B
8,1857,7.329879361573209,2,PowderBlue,B
9,1858,7.387793694092671,2,PowderBlue,B
10,1859,7.575284808452612,2,PowderBlue,B
11,1860,7.866741031589165,2,PowderBlue,B
12,1861,7.274317431457823,2,PowderBlue,B
13,1862,7.143903295147858,2,PowderBlue,B
14,1863,7.4010522722423016,2,PowderBlue,B
15,1864,7.9841230894728294,2,PowderBlue,B
16,1865,7.750603428518716,2,PowderBlue,B
17,1866,7.328937089687135,2,PowderBlue,B
18,1867,7.616344565928673,2,PowderBlue,B
19,1868,7.548318657392795,2,PowderBlue,B
20,1869,7.2092134243738615,2,PowderBlue,B
21,1870,7.93386479126966,2,PowderBlue,B
22,1871,7.937035384891202,2,PowderBlue,B
23,1872,7.884843124833308,2,PowderBlue,B
24,1873,8.207128009784542,2,PowderBlue,B
25,1874,8.170786565643922,2,PowderBlue,B
26,1875,7.310791734141058,2,PowderBlue,B
27,1876,7.365481254156272,2,PowderBlue,B
28,1877,7.525045403000472,2,PowderBlue,B
29,1878,8.111355569238059,2,PowderBlue,B
30,1879,7.616491624836916,2,PowderBlue,B
31,1880,7.5381489918589315,2,PowderBlue,B
32,1881,7.852418714023221,2,PowderBlue,B
33,1882,7.6165040826985235,2,PowderBlue,B
34,1883,7.811430966729402,2,PowderBlue,B
35,1884,8.203344627595998,2,PowderBlue,B
36,1885,7.924093491797021,2,PowderBlue,B
37,1886,7.615317031098849,2,PowderBlue,B
38,1887,8.384643358274825,2,PowderBlue,B
39,1888,8.338048333602819,2,PowderBlue,B
40,1889,8.341446244890426,2,PowderBlue,B
41,1890,8.343447051497394,2,PowderBlue,B
42,1891,8.868142791431561,2,PowderBlue,B
43,1892,8.445256106302162,2,PowderBlue,B
44,1893,8.562913075378438,2,PowderBlue,B
45,1894,8.54963265323703,2,PowderBlue,B
46,1895,8.034267277669871,2,PowderBlue,B
47,1896,8.297318159925583,2,PowderBlue,B
48,1897,8.393130961830309,2,PowderBlue,B
49,1898,8.8210758653806,2,PowderBlue,B
50,1899,8.345358471238933,2,PowderBlue,B
51,1900,8.232352232138872,2,PowderBlue,B
52,1901,8.870981989066559,2,PowderBlue,B
53,1902,8.640205776747347,2,PowderBlue,B
54,1903,8.707654329296572,2,PowderBlue,B
55,1904,9.054397445493464,2,PowderBlue,B
56,1905,8.675216495431547,2,PowderBlue,B
57,1906,8.909642942202844,2,PowderBlue,B
58,1907,9.116982279904688,2,PowderBlue,B
59,1908,8.900379617841866,2,PowderBlue,B
60,1909,9.082667376252887,2,PowderBlue,B
61,1910,8.978160994195036,2,PowderBlue,B
62,1911,9.362336681583496,2,PowderBlue,B
63,1912,9.54872052735191,2,PowderBlue,B
64,1913,9.47815051157962,2,PowderBlue,B
65,1914,9.166254835252017,2,PowderBlue,B
66,1915,8.933847158987419,2,PowderBlue,B
67,1916,8.800050492623397,2,PowderBlue,B
68,1917,9.338263177765658,2,PowderBlue,B
69,1918,9.43245318351142,2,PowderBlue,B
70,1919,9.74469737412654,2,PowderBlue,B
71,1920,9.049118523839338,2,PowderBlue,B
72,1921,9.265191425651714,2,PowderBlue,B
73,1922,10.124293090167312,3,CornflowerBlue,C
74,1923,10.627371982114784,3,CornflowerBlue,C
75,1924,10.349916052827224,3,CornflowerBlue,C
76,1925,11.049465269546326,3,CornflowerBlue,C
77,1926,10.350887732556503,3,CornflowerBlue,C
78,1927,10.26916821351997,3,CornflowerBlue,C
79,1928,10.191317128060874,3,CornflowerBlue,C
80,1929,10.764093239214105,3,CornflowerBlue,C
81,1930,11.134457054918965,3,CornflowerBlue,C
82,1931,9.952108619947596,2,PowderBlue,B
83,1932,10.611837935331224,3,CornflowerBlue,C
84,1933,10.592353117586711,3,CornflowerBlue,C
85,1934,10.828632443225567,3,CornflowerBlue,C
