Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,4.133592260470998,1,LightTurquoise,A
2,1851,4.085681094738333,1,LightTurquoise,A
3,1852,4.114840723268355,1,LightTurquoise,A
4,1853,4.334626158776741,1,LightTurquoise,A
5,1854,4.287769359810884,1,LightTurquoise,A
6,1855,4.2387323629071805,1,LightTurquoise,A
7,1856,4.097190423235278,1,LightTurquoise,A
8,1857,4.125612950937403,1,LightTurquoise,A
9,1858,4.185032450691562,1,LightTurquoise,A
10,1859,4.395554692675996,1,LightTurquoise,A
11,1860,4.377955273385669,1,LightTurquoise,A
12,1861,4.155429864044582,1,LightTurquoise,A
13,1862,4.162533930053692,1,LightTurquoise,A
14,1863,4.254836963658983,1,LightTurquoise,A
15,1864,4.234176537887817,1,LightTurquoise,A
16,1865,4.4157677295282936,1,LightTurquoise,A
17,1866,4.471286887150688,1,LightTurquoise,A
18,1867,4.248755092283889,1,LightTurquoise,A
19,1868,4.343275442400969,1,LightTurquoise,A
20,1869,4.146076361822514,1,LightTurquoise,A
21,1870,4.370771007428426,1,LightTurquoise,A
22,1871,4.497322729550868,1,LightTurquoise,A
23,1872,4.445260660088026,1,LightTurquoise,A
24,1873,4.66051201301984,1,LightTurquoise,A
25,1874,4.405731704817317,1,LightTurquoise,A
26,1875,4.457048389912455,1,LightTurquoise,A
27,1876,4.377079432222943,1,LightTurquoise,A
28,1877,4.197780119697188,1,LightTurquoise,A
29,1878,4.3707572342678915,1,LightTurquoise,A
30,1879,4.341488175414878,1,LightTurquoise,A
31,1880,4.373978313555225,1,LightTurquoise,A
32,1881,4.298163487340907,1,LightTurquoise,A
33,1882,4.066643003446319,1,LightTurquoise,A
34,1883,4.303943497810344,1,LightTurquoise,A
35,1884,4.481040395543251,1,LightTurquoise,A
36,1885,4.269657152132806,1,LightTurquoise,A
37,1886,4.118285190886099,1,LightTurquoise,A
38,1887,4.418983807642573,1,LightTurquoise,A
39,1888,4.286250980276073,1,LightTurquoise,A
40,1889,4.453516546636264,1,LightTurquoise,A
41,1890,4.625726799798161,1,LightTurquoise,A
42,1891,4.342735259082215,1,LightTurquoise,A
43,1892,4.25771096102645,1,LightTurquoise,A
44,1893,4.469206876430509,1,LightTurquoise,A
45,1894,4.396401395361423,1,LightTurquoise,A
46,1895,4.175569450759485,1,LightTurquoise,A
47,1896,4.292352567043996,1,LightTurquoise,A
48,1897,4.442409231592505,1,LightTurquoise,A
49,1898,4.70607251498202,1,LightTurquoise,A
50,1899,4.349215797842567,1,LightTurquoise,A
51,1900,4.1969109500539545,1,LightTurquoise,A
52,1901,4.319250009009667,1,LightTurquoise,A
53,1902,4.596915043347451,1,LightTurquoise,A
54,1903,4.559702542935262,1,LightTurquoise,A
55,1904,4.390227743424828,1,LightTurquoise,A
56,1905,4.442066668026725,1,LightTurquoise,A
57,1906,4.551615702378469,1,LightTurquoise,A
58,1907,4.601553359974559,1,LightTurquoise,A
