Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,38.18410491306039,6,Dandelion,F
2,1851,35.53276002886622,6,Dandelion,F
3,1852,31.964440817590212,6,Dandelion,F
4,1853,33.21725175084964,6,Dandelion,F
5,1854,37.54886968446907,6,Dandelion,F
6,1855,37.48043949495193,6,Dandelion,F
7,1856,31.71180024681393,6,Dandelion,F
8,1857,33.97047102781992,6,Dandelion,F
9,1858,36.635075863846104,6,Dandelion,F
10,1859,33.49372709504563,6,Dandelion,F
11,1860,32.8732612303699,6,Dandelion,F
12,1861,34.250038294457575,6,Dandelion,F
13,1862,30.54773153129503,6,Dandelion,F
14,1863,31.530787478570016,6,Dandelion,F
15,1864,33.9198921435766,6,Dandelion,F
16,1865,33.56091951266758,6,Dandelion,F
17,1866,33.8299784600051,6,Dandelion,F
18,1867,37.1424188234193,6,Dandelion,F
19,1868,35.904795197337286,6,Dandelion,F
20,1869,32.222831226190145,6,Dandelion,F
21,1870,32.64645169611214,6,Dandelion,F
22,1871,32.312662250581944,6,Dandelion,F
23,1872,32.11599605427108,6,Dandelion,F
24,1873,35.416968621163406,6,Dandelion,F
25,1874,37.55397089798418,6,Dandelion,F
26,1875,34.772548344197716,6,Dandelion,F
27,1876,30.629838723507103,6,Dandelion,F
28,1877,34.25772600869148,6,Dandelion,F
29,1878,38.12475305338474,6,Dandelion,F
30,1879,34.63879691065834,6,Dandelion,F
31,1880,30.625693560967555,6,Dandelion,F
32,1881,34.616104135456546,6,Dandelion,F
33,1882,33.75733863464554,6,Dandelion,F
34,1883,33.60463241901067,6,Dandelion,F
35,1884,35.899041892537184,6,Dandelion,F
36,1885,34.389286204885366,6,Dandelion,F
37,1886,37.80639534213213,6,Dandelion,F
38,1887,38.17338320269315,6,Dandelion,F
39,1888,34.29504774310945,6,Dandelion,F
40,1889,35.40403115611349,6,Dandelion,F
41,1890,39.40795520559369,6,Dandelion,F
42,1891,35.256729574262565,6,Dandelion,F
43,1892,36.44477130105023,6,Dandelion,F
44,1893,33.41437566348227,6,Dandelion,F
45,1894,37.07487860021087,6,Dandelion,F
46,1895,40.17469808636727,7,Tangerine,G
47,1896,33.104054200302954,6,Dandelion,F
48,1897,35.36059683655004,6,Dandelion,F
49,1898,39.11391860555248,6,Dandelion,F
50,1899,35.15275907259748,6,Dandelion,F
51,1900,32.722710323138145,6,Dandelion,F
52,1901,32.12036753159481,6,Dandelion,F
53,1902,34.004725738589165,6,Dandelion,F
54,1903,34.63511720599606,6,Dandelion,F
55,1904,35.963720139126345,6,Dandelion,F
56,1905,35.352811161757714,6,Dandelion,F
57,1906,35.85228454945521,6,Dandelion,F
58,1907,34.84345140555184,6,Dandelion,F
59,1908,37.81500353287003,6,Dandelion,F
60,1909,35.19356071670732,6,Dandelion,F
61,1910,37.49178521101547,6,Dandelion,F
62,1911,37.16848403277464,6,Dandelion,F
63,1912,34.117042506814165,6,Dandelion,F
64,1913,36.9583774062118,6,Dandelion,F
65,1914,36.49290563648288,6,Dandelion,F
66,1915,34.8035225730998,6,Dandelion,F
67,1916,32.883920919774766,6,Dandelion,F
68,1917,35.359163775325094,6,Dandelion,F
69,1918,40.92179887127431,7,Tangerine,G
70,1919,36.08753572279335,6,Dandelion,F
71,1920,35.80063748372896,6,Dandelion,F
72,1921,35.62354497789897,6,Dandelion,F
73,1922,34.195721173339734,6,Dandelion,F
74,1923,37.712507693977805,6,Dandelion,F
75,1924,31.775790944028856,6,Dandelion,F
76,1925,33.730642109268246,6,Dandelion,F
77,1926,36.966600564725034,6,Dandelion,F
78,1927,40.42621973577239,7,Tangerine,G
79,1928,31.800379019031638,6,Dandelion,F
80,1929,37.27872387111009,6,Dandelion,F
81,1930,39.58450602680126,6,Dandelion,F
82,1931,33.99876357760577,6,Dandelion,F
83,1932,37.4292909938155,6,Dandelion,F
84,1933,34.1557795398962,6,Dandelion,F
85,1934,37.301544722252395,6,Dandelion,F
86,1935,35.18982372028119,6,Dandelion,F
87,1936,37.3761881358975,6,Dandelion,F
88,1937,37.40145945742434,6,Dandelion,F
89,1938,38.31573047801387,6,Dandelion,F
90,1939,42.536718787498614,7,Tangerine,G
91,1940,39.424949253970816,6,Dandelion,F
92,1941,36.12142733485379,6,Dandelion,F
93,1942,36.531134181352535,6,Dandelion,F
94,1943,34.7041718857096,6,Dandelion,F
95,1944,36.904778388107,6,Dandelion,F
96,1945,37.97023152510975,6,Dandelion,F
97,1946,37.05188107540074,6,Dandelion,F
98,1947,33.5046588738274,6,Dandelion,F
99,1948,39.0779967188397,6,Dandelion,F
100,1949,33.59773796096236,6,Dandelion,F
101,1950,40.69259110558384,7,Tangerine,G
102,1951,37.078615513360624,6,Dandelion,F
103,1952,37.65045155584372,6,Dandelion,F
104,1953,37.10099643487093,6,Dandelion,F
105,1954,36.91545251921223,6,Dandelion,F
106,1955,44.23501364911364,7,Tangerine,G
107,1956,39.146350167929064,6,Dandelion,F
