Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,21.604468562142603,5,Vanilla,E
2,1851,22.113290440323688,5,Vanilla,E
3,1852,21.386578693123926,5,Vanilla,E
4,1853,21.842054082582152,5,Vanilla,E
5,1854,25.072857065425552,5,Vanilla,E
6,1855,23.35927094487982,5,Vanilla,E
7,1856,24.014843055878906,5,Vanilla,E
8,1857,25.478704356393717,5,Vanilla,E
9,1858,23.64113672810426,5,Vanilla,E
10,1859,23.493258861398807,5,Vanilla,E
11,1860,24.725798974925763,5,Vanilla,E
12,1861,26.446739916876435,5,Vanilla,E
13,1862,25.81066961118085,5,Vanilla,E
14,1863,25.965484878488464,5,Vanilla,E
15,1864,28.052170301596956,5,Vanilla,E
16,1865,27.250987746936406,5,Vanilla,E
17,1866,26.86583370459659,5,Vanilla,E
18,1867,26.562223113651342,5,Vanilla,E
19,1868,27.152508711428304,5,Vanilla,E
20,1869,27.99034559956359,5,Vanilla,E
21,1870,28.186557890075296,5,Vanilla,E
22,1871,27.758996510119132,5,Vanilla,E
23,1872,27.833755330833714,5,Vanilla,E
24,1873,29.581079331953717,5,Vanilla,E
25,1874,29.621166809423187,5,Vanilla,E
26,1875,28.063751979373826,5,Vanilla,E
27,1876,28.757234306604932,5,Vanilla,E
28,1877,31.92329106124699,6,Dandelion,F
29,1878,28.54633896317802,5,Vanilla,E
30,1879,28.58877841117436,5,Vanilla,E
31,1880,31.10675193193766,6,Dandelion,F
32,1881,32.21084700445922,6,Dandelion,F
33,1882,32.627029106675586,6,Dandelion,F
34,1883,31.249640468841573,6,Dandelion,F
35,1884,30.827297899779076,6,Dandelion,F
36,1885,32.61341434176564,6,Dandelion,F
37,1886,30.114992342999372,6,Dandelion,F
38,1887,29.34408853420015,5,Vanilla,E
39,1888,30.09735134275016,6,Dandelion,F
40,1889,33.28851301789406,6,Dandelion,F
41,1890,32.69417458302544,6,Dandelion,F
42,1891,33.66224575875024,6,Dandelion,F
43,1892,32.37939116058507,6,Dandelion,F
44,1893,30.141141869034268,6,Dandelion,F
45,1894,33.736311314752236,6,Dandelion,F
46,1895,33.30939417189952,6,Dandelion,F
47,1896,32.66940974092066,6,Dandelion,F
48,1897,35.60613598163204,6,Dandelion,F
49,1898,38.54376369186345,6,Dandelion,F
50,1899,35.4386302650092,6,Dandelion,F
51,1900,37.963809734392186,6,Dandelion,F
52,1901,35.11439895406532,6,Dandelion,F
53,1902,35.541266856012555,6,Dandelion,F
54,1903,33.741795164199495,6,Dandelion,F
55,1904,35.69241114963752,6,Dandelion,F
56,1905,35.61681762110915,6,Dandelion,F
57,1906,36.09082219262334,6,Dandelion,F
58,1907,38.317524547133395,6,Dandelion,F
59,1908,37.88568444539207,6,Dandelion,F
60,1909,38.37069392854721,6,Dandelion,F
61,1910,39.835798984377135,6,Dandelion,F
62,1911,37.27304827723796,6,Dandelion,F
63,1912,40.02964706317997,7,Tangerine,G
64,1913,38.063493819477515,6,Dandelion,F
65,1914,38.10782464320896,6,Dandelion,F
66,1915,37.36838512130196,6,Dandelion,F
67,1916,38.550101844475456,6,Dandelion,F
68,1917,36.793372033139725,6,Dandelion,F
69,1918,33.95544438761873,6,Dandelion,F
70,1919,34.12311677640541,6,Dandelion,F
71,1920,36.231256981210585,6,Dandelion,F
72,1921,28.00521692140588,5,Vanilla,E
73,1922,34.80528271182217,6,Dandelion,F
74,1923,33.40206585010985,6,Dandelion,F
75,1924,36.22786181304972,6,Dandelion,F
76,1925,35.060544957443064,6,Dandelion,F
77,1926,24.632945220767706,5,Vanilla,E
78,1927,35.880753032944085,6,Dandelion,F
79,1928,34.23337735006729,6,Dandelion,F
80,1929,36.3418040444589,6,Dandelion,F
81,1930,36.01915125364327,6,Dandelion,F
82,1931,34.143207771536275,6,Dandelion,F
83,1932,32.93062271673207,6,Dandelion,F
84,1933,31.392369284284342,6,Dandelion,F
85,1934,33.43231381861594,6,Dandelion,F
86,1935,35.67632927622309,6,Dandelion,F
87,1936,34.43185252213857,6,Dandelion,F
88,1937,36.08389072604556,6,Dandelion,F
89,1938,36.83880345875001,6,Dandelion,F
90,1939,35.51635509578712,6,Dandelion,F
91,1940,37.18806204598923,6,Dandelion,F
92,1941,33.945010120670815,6,Dandelion,F
93,1942,33.689066626248604,6,Dandelion,F
94,1943,34.76417202763564,6,Dandelion,F
95,1944,33.31647342559216,6,Dandelion,F
96,1945,29.354795083358734,5,Vanilla,E
97,1946,31.04147778241512,6,Dandelion,F
98,1947,36.093791050961215,6,Dandelion,F
99,1948,34.823129464494045,6,Dandelion,F
100,1949,35.941586362208575,6,Dandelion,F
101,1950,37.74517839194569,6,Dandelion,F
102,1951,39.841995744702096,6,Dandelion,F
103,1952,36.4860575195081,6,Dandelion,F
104,1953,35.478909229675246,6,Dandelion,F
105,1954,38.110646454480715,6,Dandelion,F
106,1955,38.0720638483738,6,Dandelion,F
107,1956,36.962473854321246,6,Dandelion,F
108,1957,39.68583490202692,6,Dandelion,F
109,1958,35.068024807926356,6,Dandelion,F
110,1959,32.831666565575595,6,Dandelion,F
111,1960,35.937444828444846,6,Dandelion,F
112,1961,37.62083077761911,6,Dandelion,F
113,1962,36.096376703138894,6,Dandelion,F
114,1963,34.99033287765907,6,Dandelion,F
115,1964,33.32559530387638,6,Dandelion,F
116,1965,36.495526195943945,6,Dandelion,F
117,1966,31.123644114785105,6,Dandelion,F
118,1967,30.118272683924957,6,Dandelion,F
119,1968,28.895519009090187,5,Vanilla,E
120,1969,27.842968457202403,5,Vanilla,E
121,1970,25.381020069578128,5,Vanilla,E
122,1971,23.459386657639243,5,Vanilla,E
123,1972,22.433773716105215,5,Vanilla,E
124,1973,22.143244972777442,5,Vanilla,E
125,1974,23.101929378249018,5,Vanilla,E
126,1975,19.581342928174074,4,LightYellow,D
127,1976,19.616153036755406,4,LightYellow,D
128,1977,21.0149943402366,5,Vanilla,E
129,1978,20.6135008641441,5,Vanilla,E
130,1979,20.008612841307237,5,Vanilla,E
131,1980,21.187122242644072,5,Vanilla,E
132,1981,19.28859062198563,4,LightYellow,D
133,1982,17.933560908712064,4,LightYellow,D
134,1983,18.43796318791011,4,LightYellow,D
135,1984,16.965206016612715,4,LightYellow,D
136,1985,18.199990704450013,4,LightYellow,D
137,1986,18.371634747164787,4,LightYellow,D
138,1987,17.885886836766705,4,LightYellow,D
139,1988,17.261522668106103,4,LightYellow,D
140,1989,17.461847025368563,4,LightYellow,D
141,1990,16.854168245252875,4,LightYellow,D
142,1991,16.60779123314997,4,LightYellow,D
143,1992,16.416164167182917,4,LightYellow,D
144,1993,15.490485820559359,4,LightYellow,D
145,1994,14.992915346967187,3,CornflowerBlue,C
146,1995,14.241152949092314,3,CornflowerBlue,C
147,1996,13.97123395616988,3,CornflowerBlue,C
148,1997,13.466529285444343,3,CornflowerBlue,C
149,1998,12.693696347606501,3,CornflowerBlue,C
150,1999,11.958778016957554,3,CornflowerBlue,C
151,2000,11.771841901321672,3,CornflowerBlue,C
152,2001,11.458334922790527,3,CornflowerBlue,C
153,2002,11.200000762939453,3,CornflowerBlue,C
154,2003,13.149998664855957,3,CornflowerBlue,C
155,2004,11.183333396911621,3,CornflowerBlue,C
156,2005,11.416665077209473,3,CornflowerBlue,C
157,2006,12.008334159851074,3,CornflowerBlue,C
158,2007,12.358333587646484,3,CornflowerBlue,C
159,2008,12.850001335144043,3,CornflowerBlue,C
160,2009,12.433333396911621,3,CornflowerBlue,C
161,2010,12.65000057220459,3,CornflowerBlue,C
162,2011,13.800002098083496,3,CornflowerBlue,C
163,2012,11.833333015441895,3,CornflowerBlue,C
164,2013,13.049999237060547,3,CornflowerBlue,C
165,2014,12.033332824707031,3,CornflowerBlue,C
166,2015,10.049999237060547,3,CornflowerBlue,C
167,2016,10.508333206176758,3,CornflowerBlue,C
