Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,17.620866023566457,4,LightYellow,D
2,1851,17.535059637124075,4,LightYellow,D
3,1852,17.550821057901718,4,LightYellow,D
4,1853,17.898569984800083,4,LightYellow,D
5,1854,19.639924907721188,4,LightYellow,D
6,1855,19.596672837268258,4,LightYellow,D
7,1856,19.62243118010295,4,LightYellow,D
8,1857,20.568649753712606,5,Vanilla,E
9,1858,19.559191056312702,4,LightYellow,D
10,1859,19.397805675166758,4,LightYellow,D
11,1860,20.35963875350994,5,Vanilla,E
12,1861,22.29719906383594,5,Vanilla,E
13,1862,21.443481890421126,5,Vanilla,E
14,1863,22.13426380589405,5,Vanilla,E
15,1864,22.902766426209777,5,Vanilla,E
16,1865,22.00692766856249,5,Vanilla,E
17,1866,22.03772654297915,5,Vanilla,E
18,1867,22.225278771522184,5,Vanilla,E
19,1868,23.36336833868624,5,Vanilla,E
20,1869,22.620803386626513,5,Vanilla,E
21,1870,23.680221857045108,5,Vanilla,E
22,1871,23.34918741766623,5,Vanilla,E
23,1872,22.96682640075689,5,Vanilla,E
24,1873,24.140747415923677,5,Vanilla,E
25,1874,25.167401657994287,5,Vanilla,E
26,1875,23.750690572960995,5,Vanilla,E
27,1876,24.48342643654624,5,Vanilla,E
28,1877,26.420371632529974,5,Vanilla,E
29,1878,23.7237934242405,5,Vanilla,E
30,1879,23.866076896362408,5,Vanilla,E
31,1880,26.34475371210243,5,Vanilla,E
32,1881,26.075285664205882,5,Vanilla,E
33,1882,28.313060711131374,5,Vanilla,E
34,1883,26.393831649119246,5,Vanilla,E
35,1884,26.230074599483494,5,Vanilla,E
36,1885,29.00445446335488,5,Vanilla,E
37,1886,26.85231103549742,5,Vanilla,E
38,1887,25.419217176018666,5,Vanilla,E
39,1888,25.934298377659527,5,Vanilla,E
40,1889,27.69082201127755,5,Vanilla,E
41,1890,28.711457494366943,5,Vanilla,E
42,1891,29.317274344911688,5,Vanilla,E
43,1892,28.866678992191307,5,Vanilla,E
44,1893,27.548552248521727,5,Vanilla,E
45,1894,30.464316917477035,6,Dandelion,F
46,1895,29.9157794831916,5,Vanilla,E
47,1896,28.032347813958726,5,Vanilla,E
48,1897,32.22060893574909,6,Dandelion,F
49,1898,33.665474606567116,6,Dandelion,F
50,1899,31.66627004637942,6,Dandelion,F
51,1900,34.8863293932162,6,Dandelion,F
52,1901,31.188388231822742,6,Dandelion,F
53,1902,32.74369703008246,6,Dandelion,F
54,1903,31.255223131870647,6,Dandelion,F
55,1904,33.746398463374526,6,Dandelion,F
56,1905,34.82293474696111,6,Dandelion,F
57,1906,35.172509625389836,6,Dandelion,F
58,1907,36.149201290191606,6,Dandelion,F
59,1908,38.1480720740819,6,Dandelion,F
60,1909,35.971235503835985,6,Dandelion,F
61,1910,39.20858094116668,6,Dandelion,F
62,1911,37.42349275347053,6,Dandelion,F
63,1912,41.611546507682576,7,Tangerine,G
64,1913,38.70358675759151,6,Dandelion,F
65,1914,33.231681841575956,6,Dandelion,F
66,1915,30.683127418884652,6,Dandelion,F
67,1916,33.48226524211521,6,Dandelion,F
68,1917,31.45451388673046,6,Dandelion,F
69,1918,29.61963194462392,5,Vanilla,E
70,1919,32.54828636960878,6,Dandelion,F
71,1920,33.65951973098763,6,Dandelion,F
72,1921,30.72306659284305,6,Dandelion,F
73,1922,34.010593161140704,6,Dandelion,F
74,1923,34.66561460943235,6,Dandelion,F
75,1924,38.88369180767929,6,Dandelion,F
76,1925,39.166081040336984,6,Dandelion,F
77,1926,36.1998993748379,6,Dandelion,F
78,1927,40.567771929201975,7,Tangerine,G
79,1928,40.14193503651407,7,Tangerine,G
80,1929,42.351870432769935,7,Tangerine,G
81,1930,45.02373522500694,7,Tangerine,G
82,1931,40.96489698081601,7,Tangerine,G
83,1932,36.553279835117046,6,Dandelion,F
84,1933,36.942654952101954,6,Dandelion,F
85,1934,42.135756642371604,7,Tangerine,G
86,1935,41.10976603923803,7,Tangerine,G
87,1936,39.08906460068673,6,Dandelion,F
88,1937,41.99836067228145,7,Tangerine,G
89,1938,45.43791347778388,7,Tangerine,G
90,1939,42.133052207218874,7,Tangerine,G
91,1940,39.90916662652699,6,Dandelion,F
92,1941,35.122106432993256,6,Dandelion,F
93,1942,35.53619237264865,6,Dandelion,F
94,1943,36.6399134676759,6,Dandelion,F
95,1944,29.401163374239395,5,Vanilla,E
96,1945,25.163787174771542,5,Vanilla,E
97,1946,30.874566209488446,6,Dandelion,F
98,1947,39.79395778248173,6,Dandelion,F
99,1948,38.58918645314708,6,Dandelion,F
100,1949,38.870633974294364,6,Dandelion,F
101,1950,40.88614425850117,7,Tangerine,G
102,1951,43.38253703126308,7,Tangerine,G
103,1952,40.27928429534582,7,Tangerine,G
104,1953,37.563306785050095,6,Dandelion,F
105,1954,41.64846734529073,7,Tangerine,G
106,1955,42.17086926041192,7,Tangerine,G
107,1956,41.0240216049867,7,Tangerine,G
108,1957,45.08717877037353,7,Tangerine,G
109,1958,38.311169920945645,6,Dandelion,F
110,1959,38.51782860815709,6,Dandelion,F
111,1960,44.18696368540464,7,Tangerine,G
112,1961,46.3291735820631,7,Tangerine,G
113,1962,48.28411607315687,7,Tangerine,G
114,1963,47.58702197153958,7,Tangerine,G
115,1964,45.355081244475244,7,Tangerine,G
116,1965,48.04610526165001,7,Tangerine,G
117,1966,40.98750504897649,7,Tangerine,G
118,1967,40.68129446597516,7,Tangerine,G
119,1968,40.489758629240484,7,Tangerine,G
120,1969,39.566203072024784,6,Dandelion,F
121,1970,36.857436195522226,6,Dandelion,F
122,1971,33.873031600696066,6,Dandelion,F
123,1972,33.190421916721746,6,Dandelion,F
124,1973,32.8907470035914,6,Dandelion,F
125,1974,34.73087230809397,6,Dandelion,F
126,1975,27.59366377261153,5,Vanilla,E
127,1976,28.178833940100027,5,Vanilla,E
128,1977,30.929390702725694,6,Dandelion,F
129,1978,31.50819944685595,6,Dandelion,F
130,1979,30.66134868781004,6,Dandelion,F
131,1980,31.808495665538224,6,Dandelion,F
132,1981,29.688909244431084,5,Vanilla,E
133,1982,26.939585431298585,5,Vanilla,E
134,1983,27.257369480154512,5,Vanilla,E
135,1984,24.80163834737433,5,Vanilla,E
136,1985,25.94360231137199,5,Vanilla,E
137,1986,25.7034050024491,5,Vanilla,E
138,1987,24.719297055982217,5,Vanilla,E
139,1988,25.110545922707487,5,Vanilla,E
140,1989,25.137896770481543,5,Vanilla,E
141,1990,24.349303795635308,5,Vanilla,E
142,1991,23.122463662064714,5,Vanilla,E
143,1992,22.92041057669136,5,Vanilla,E
144,1993,21.202309846288728,5,Vanilla,E
145,1994,20.530194537415753,5,Vanilla,E
146,1995,19.229379405167908,4,LightYellow,D
147,1996,18.469043510117636,4,LightYellow,D
148,1997,19.239691899385118,4,LightYellow,D
149,1998,16.80132633022762,4,LightYellow,D
150,1999,15.251521928528545,4,LightYellow,D
151,2000,15.395866841362231,4,LightYellow,D
