Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,14.75350505965565,3,CornflowerBlue,C
2,1851,13.926052305172751,3,CornflowerBlue,C
3,1852,14.010442446826987,3,CornflowerBlue,C
4,1853,14.621609672517055,3,CornflowerBlue,C
5,1854,14.042567267766831,3,CornflowerBlue,C
6,1855,14.49867353821527,3,CornflowerBlue,C
7,1856,14.61176857086389,3,CornflowerBlue,C
8,1857,14.379075754529339,3,CornflowerBlue,C
9,1858,14.563938504715173,3,CornflowerBlue,C
10,1859,15.56148735290008,4,LightYellow,D
11,1860,14.633483548049945,3,CornflowerBlue,C
12,1861,16.20230716206476,4,LightYellow,D
13,1862,15.508560965703863,4,LightYellow,D
14,1863,15.238153480149656,4,LightYellow,D
15,1864,16.610371919511643,4,LightYellow,D
16,1865,15.47221245981568,4,LightYellow,D
17,1866,15.277555782263896,4,LightYellow,D
18,1867,15.274444637917787,4,LightYellow,D
19,1868,15.489513997714619,4,LightYellow,D
20,1869,15.50104665371527,4,LightYellow,D
21,1870,14.850779664163264,3,CornflowerBlue,C
22,1871,15.648022317845996,4,LightYellow,D
23,1872,15.421409352923785,4,LightYellow,D
24,1873,16.17290571395029,4,LightYellow,D
25,1874,16.407353208762775,4,LightYellow,D
26,1875,17.112337696716278,4,LightYellow,D
27,1876,16.6197124262461,4,LightYellow,D
28,1877,15.75299749846649,4,LightYellow,D
29,1878,16.596685663660104,4,LightYellow,D
30,1879,16.664819302225585,4,LightYellow,D
31,1880,17.54063497485707,4,LightYellow,D
32,1881,16.4086831089325,4,LightYellow,D
33,1882,17.92174667917343,4,LightYellow,D
34,1883,17.94236835854235,4,LightYellow,D
35,1884,16.43634281020411,4,LightYellow,D
36,1885,17.68747214505328,4,LightYellow,D
37,1886,18.06699921994473,4,LightYellow,D
38,1887,17.49034660806643,4,LightYellow,D
39,1888,17.50128984879735,4,LightYellow,D
40,1889,17.288905130427484,4,LightYellow,D
41,1890,18.01993149106664,4,LightYellow,D
42,1891,17.7662469393874,4,LightYellow,D
43,1892,18.19548820519035,4,LightYellow,D
44,1893,18.079869271493894,4,LightYellow,D
45,1894,19.1532403366923,4,LightYellow,D
46,1895,18.76156704854097,4,LightYellow,D
47,1896,18.474349956988906,4,LightYellow,D
48,1897,18.4512100266576,4,LightYellow,D
49,1898,18.137113740085503,4,LightYellow,D
50,1899,19.976653353116394,4,LightYellow,D
51,1900,19.674846878647383,4,LightYellow,D
52,1901,18.481894811224567,4,LightYellow,D
53,1902,19.103294161975377,4,LightYellow,D
54,1903,20.30980180651234,5,Vanilla,E
55,1904,20.04364850333861,5,Vanilla,E
56,1905,20.27352756961621,5,Vanilla,E
57,1906,19.622851431731917,4,LightYellow,D
58,1907,20.11193506509016,5,Vanilla,E
59,1908,19.958531626640806,4,LightYellow,D
60,1909,20.790629686979653,5,Vanilla,E
61,1910,20.726453165134565,5,Vanilla,E
62,1911,21.5612572785692,5,Vanilla,E
