Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,30.024729884628297,6,Dandelion,F
2,1851,26.57677125043428,5,Vanilla,E
3,1852,26.148568766440054,5,Vanilla,E
4,1853,26.88164512953881,5,Vanilla,E
5,1854,27.043464228345382,5,Vanilla,E
6,1855,30.696107010940967,6,Dandelion,F
7,1856,29.665106183715967,5,Vanilla,E
8,1857,28.775413637239886,5,Vanilla,E
9,1858,30.593138039496726,6,Dandelion,F
10,1859,32.394744048970885,6,Dandelion,F
11,1860,32.903449015087446,6,Dandelion,F
12,1861,31.906109926162184,6,Dandelion,F
13,1862,32.857840039763275,6,Dandelion,F
14,1863,34.14458667784523,6,Dandelion,F
15,1864,34.37449298880728,6,Dandelion,F
16,1865,32.84436138666885,6,Dandelion,F
17,1866,31.457212250431795,6,Dandelion,F
18,1867,30.61139058407445,6,Dandelion,F
19,1868,32.54424581966025,6,Dandelion,F
20,1869,34.92239599104187,6,Dandelion,F
21,1870,33.336701102992244,6,Dandelion,F
22,1871,34.324874116740354,6,Dandelion,F
23,1872,37.219062517255686,6,Dandelion,F
24,1873,36.60247427786419,6,Dandelion,F
25,1874,40.56930645042,7,Tangerine,G
26,1875,39.30017161872307,6,Dandelion,F
27,1876,38.18379960761589,6,Dandelion,F
28,1877,39.5493533645005,6,Dandelion,F
29,1878,40.19078448007984,7,Tangerine,G
30,1879,39.94133312718667,6,Dandelion,F
31,1880,41.6791049153882,7,Tangerine,G
32,1881,37.91540291331396,6,Dandelion,F
33,1882,39.69494205630166,6,Dandelion,F
34,1883,41.97629322637802,7,Tangerine,G
35,1884,43.4263579146039,7,Tangerine,G
36,1885,41.021817331074004,7,Tangerine,G
37,1886,39.1918214727836,6,Dandelion,F
38,1887,39.582335138159216,6,Dandelion,F
39,1888,43.477013353252154,7,Tangerine,G
40,1889,42.35367391182038,7,Tangerine,G
41,1890,42.699223987281165,7,Tangerine,G
42,1891,42.83462527481428,7,Tangerine,G
43,1892,47.30557265980389,7,Tangerine,G
44,1893,44.61216520713103,7,Tangerine,G
45,1894,47.940479883174355,7,Tangerine,G
46,1895,50.55005997596437,8,Mustard,H
47,1896,45.989624543852315,7,Tangerine,G
48,1897,50.11465366329139,8,Mustard,H
49,1898,47.98722430591762,7,Tangerine,G
50,1899,54.01378194627478,8,Mustard,H
51,1900,54.34107271993536,8,Mustard,H
52,1901,50.63099988594587,8,Mustard,H
53,1902,51.86334582566657,8,Mustard,H
54,1903,49.641280555097914,7,Tangerine,G
55,1904,52.0179677015906,8,Mustard,H
