Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.40380159097023,4,LightYellow,D
2,1851,16.98882179794445,4,LightYellow,D
3,1852,16.332596653919058,4,LightYellow,D
4,1853,16.00180120714732,4,LightYellow,D
5,1854,17.59693072075171,4,LightYellow,D
6,1855,17.560007436453823,4,LightYellow,D
7,1856,15.984832018728099,4,LightYellow,D
8,1857,17.009045168284732,4,LightYellow,D
9,1858,16.93438578967114,4,LightYellow,D
10,1859,15.718792703811692,4,LightYellow,D
11,1860,16.685202076038532,4,LightYellow,D
12,1861,17.541435655884417,4,LightYellow,D
13,1862,17.11098762367142,4,LightYellow,D
14,1863,15.62946478067058,4,LightYellow,D
15,1864,16.464841371154595,4,LightYellow,D
16,1865,17.282978389455977,4,LightYellow,D
17,1866,16.67670695579776,4,LightYellow,D
18,1867,16.564164163461992,4,LightYellow,D
19,1868,18.71941082011186,4,LightYellow,D
20,1869,17.803271047883978,4,LightYellow,D
21,1870,18.18968825351119,4,LightYellow,D
22,1871,16.422846855668052,4,LightYellow,D
23,1872,16.414293209366186,4,LightYellow,D
24,1873,17.415361585230766,4,LightYellow,D
25,1874,17.973903033990073,4,LightYellow,D
26,1875,18.121258322205573,4,LightYellow,D
27,1876,17.034690063858026,4,LightYellow,D
28,1877,16.971264075593677,4,LightYellow,D
29,1878,18.60154329264008,4,LightYellow,D
30,1879,17.252482168091593,4,LightYellow,D
31,1880,16.540740234214265,4,LightYellow,D
32,1881,17.933095981888098,4,LightYellow,D
33,1882,19.066688728627657,4,LightYellow,D
34,1883,17.65600240780276,4,LightYellow,D
35,1884,17.286498568040393,4,LightYellow,D
36,1885,17.19542040318859,4,LightYellow,D
37,1886,17.434811843778117,4,LightYellow,D
38,1887,18.438146331581063,4,LightYellow,D
39,1888,17.618902831801968,4,LightYellow,D
40,1889,17.54062762148895,4,LightYellow,D
41,1890,16.692842758331718,4,LightYellow,D
42,1891,17.89066340274839,4,LightYellow,D
