Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,18.40479850226676,4,LightYellow,D
2,1851,18.298159930683365,4,LightYellow,D
3,1852,18.583545908382835,4,LightYellow,D
4,1853,18.047285061346884,4,LightYellow,D
5,1854,18.71942015801841,4,LightYellow,D
6,1855,17.96344534344359,4,LightYellow,D
7,1856,18.323795364560517,4,LightYellow,D
8,1857,18.87416261684028,4,LightYellow,D
9,1858,18.148359797113567,4,LightYellow,D
10,1859,18.801178539991884,4,LightYellow,D
11,1860,18.02999945909129,4,LightYellow,D
12,1861,17.961946855253853,4,LightYellow,D
13,1862,18.309118539968342,4,LightYellow,D
14,1863,19.301941848998734,4,LightYellow,D
15,1864,20.37901080781204,5,Vanilla,E
16,1865,19.109819883668237,4,LightYellow,D
17,1866,19.036134999743837,4,LightYellow,D
18,1867,18.57815214661011,4,LightYellow,D
19,1868,17.905036870931262,4,LightYellow,D
20,1869,18.223859279263287,4,LightYellow,D
21,1870,19.30243495971959,4,LightYellow,D
22,1871,20.30820486862624,5,Vanilla,E
23,1872,19.13811366391789,4,LightYellow,D
24,1873,19.234329452702397,4,LightYellow,D
25,1874,20.377789107207466,5,Vanilla,E
26,1875,20.2409879758818,5,Vanilla,E
27,1876,19.510329029462948,4,LightYellow,D
28,1877,19.67720288107913,4,LightYellow,D
29,1878,22.077159650494746,5,Vanilla,E
30,1879,20.268613051573777,5,Vanilla,E
31,1880,19.188348112056257,4,LightYellow,D
32,1881,19.372038369990726,4,LightYellow,D
33,1882,19.798180784302563,4,LightYellow,D
34,1883,19.913022809170684,4,LightYellow,D
35,1884,21.4282560839447,5,Vanilla,E
36,1885,19.674292289441546,4,LightYellow,D
37,1886,20.558808257594812,5,Vanilla,E
38,1887,21.786035533877254,5,Vanilla,E
39,1888,20.24861490624224,5,Vanilla,E
40,1889,20.27574935790788,5,Vanilla,E
41,1890,20.447146358776983,5,Vanilla,E
42,1891,21.124613659167455,5,Vanilla,E
43,1892,21.198789395561537,5,Vanilla,E
44,1893,20.260236112874264,5,Vanilla,E
45,1894,21.114502052335464,5,Vanilla,E
46,1895,21.06747121441017,5,Vanilla,E
47,1896,21.606324558066312,5,Vanilla,E
48,1897,22.952231056317405,5,Vanilla,E
49,1898,21.30937061484832,5,Vanilla,E
50,1899,20.93508063051387,5,Vanilla,E
51,1900,20.46000303675265,5,Vanilla,E
52,1901,21.812321167983935,5,Vanilla,E
53,1902,21.758178044438193,5,Vanilla,E
54,1903,22.389957947147387,5,Vanilla,E
55,1904,21.911732738877497,5,Vanilla,E
56,1905,22.010643229507476,5,Vanilla,E
