Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,4.126321516812822,1,LightTurquoise,A
2,1851,3.9381618608790303,1,LightTurquoise,A
3,1852,4.328398649458049,1,LightTurquoise,A
4,1853,4.170104648811426,1,LightTurquoise,A
5,1854,3.536480454578451,1,LightTurquoise,A
6,1855,3.889836369577503,1,LightTurquoise,A
7,1856,3.970844222182901,1,LightTurquoise,A
8,1857,4.3879193927917015,1,LightTurquoise,A
9,1858,4.1842854988771245,1,LightTurquoise,A
10,1859,4.053357955250541,1,LightTurquoise,A
11,1860,3.8368145692028373,1,LightTurquoise,A
12,1861,4.495516122164568,1,LightTurquoise,A
13,1862,4.096921542184489,1,LightTurquoise,A
14,1863,3.9156359501927684,1,LightTurquoise,A
15,1864,4.206096655706465,1,LightTurquoise,A
16,1865,4.397241722819343,1,LightTurquoise,A
17,1866,3.9050815201165077,1,LightTurquoise,A
18,1867,4.179843966151304,1,LightTurquoise,A
19,1868,4.021496445354145,1,LightTurquoise,A
20,1869,4.334777905283908,1,LightTurquoise,A
21,1870,4.187190687204009,1,LightTurquoise,A
22,1871,4.5782806489155785,1,LightTurquoise,A
23,1872,4.429320549811731,1,LightTurquoise,A
24,1873,4.085029915854297,1,LightTurquoise,A
25,1874,4.095194027582789,1,LightTurquoise,A
26,1875,3.9476344218077766,1,LightTurquoise,A
27,1876,4.185966341800302,1,LightTurquoise,A
28,1877,4.330847117360711,1,LightTurquoise,A
29,1878,4.202189507931892,1,LightTurquoise,A
30,1879,4.25708474299103,1,LightTurquoise,A
31,1880,4.014404838367162,1,LightTurquoise,A
32,1881,4.662241271269017,1,LightTurquoise,A
33,1882,3.7689550709365403,1,LightTurquoise,A
34,1883,3.991892988833163,1,LightTurquoise,A
35,1884,4.1625276999188765,1,LightTurquoise,A
36,1885,4.314563063357292,1,LightTurquoise,A
37,1886,3.8990652238899774,1,LightTurquoise,A
38,1887,4.295608795184736,1,LightTurquoise,A
39,1888,4.317092990433196,1,LightTurquoise,A
40,1889,4.441862575816262,1,LightTurquoise,A
