Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,3.817879948066898,1,LightTurquoise,A
2,1851,3.9196310329260933,1,LightTurquoise,A
3,1852,3.8103200757267945,1,LightTurquoise,A
4,1853,3.900743848276813,1,LightTurquoise,A
5,1854,3.8167347955992152,1,LightTurquoise,A
6,1855,3.9548413363487076,1,LightTurquoise,A
7,1856,3.7671302327938747,1,LightTurquoise,A
8,1857,3.8141950265012614,1,LightTurquoise,A
9,1858,3.808296862484781,1,LightTurquoise,A
10,1859,3.9396944718429188,1,LightTurquoise,A
11,1860,3.8182527127078063,1,LightTurquoise,A
12,1861,3.7698169010993947,1,LightTurquoise,A
13,1862,3.7461093409558313,1,LightTurquoise,A
14,1863,3.7593305125989316,1,LightTurquoise,A
15,1864,3.81706290192968,1,LightTurquoise,A
16,1865,3.7560125033739142,1,LightTurquoise,A
17,1866,3.955877856376515,1,LightTurquoise,A
18,1867,3.938947127031455,1,LightTurquoise,A
19,1868,3.904187064223938,1,LightTurquoise,A
20,1869,3.8792876359635686,1,LightTurquoise,A
21,1870,3.7701634750289013,1,LightTurquoise,A
22,1871,3.8072543435418176,1,LightTurquoise,A
23,1872,3.778936403064476,1,LightTurquoise,A
24,1873,3.966909056868147,1,LightTurquoise,A
25,1874,3.947145897547706,1,LightTurquoise,A
26,1875,3.822592562764238,1,LightTurquoise,A
27,1876,3.8089376569143503,1,LightTurquoise,A
28,1877,3.8236493957801243,1,LightTurquoise,A
29,1878,3.895566558144193,1,LightTurquoise,A
30,1879,3.9155328351298166,1,LightTurquoise,A
31,1880,3.8345221886828416,1,LightTurquoise,A
32,1881,3.928366224088711,1,LightTurquoise,A
33,1882,4.0255924036304656,1,LightTurquoise,A
34,1883,3.8743866827270463,1,LightTurquoise,A
35,1884,3.8144966754372565,1,LightTurquoise,A
36,1885,3.823803089348483,1,LightTurquoise,A
37,1886,3.87217135179577,1,LightTurquoise,A
38,1887,3.8972302744021747,1,LightTurquoise,A
39,1888,3.9944709869668436,1,LightTurquoise,A
40,1889,3.9763936062830956,1,LightTurquoise,A
41,1890,3.9200099371136323,1,LightTurquoise,A
42,1891,3.88889606163458,1,LightTurquoise,A
43,1892,3.8968516112965927,1,LightTurquoise,A
44,1893,3.9110102820384967,1,LightTurquoise,A
45,1894,3.945513764780088,1,LightTurquoise,A
46,1895,4.019561442297171,1,LightTurquoise,A
47,1896,3.9022337126408875,1,LightTurquoise,A
48,1897,4.0446943452132675,1,LightTurquoise,A
49,1898,3.909064536326048,1,LightTurquoise,A
50,1899,3.9733380992536786,1,LightTurquoise,A
51,1900,3.992009872064887,1,LightTurquoise,A
52,1901,4.018867265683152,1,LightTurquoise,A
53,1902,3.921314838531933,1,LightTurquoise,A
