Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,14.894489963087254,3,CornflowerBlue,C
2,1851,15.582767659076906,4,LightYellow,D
3,1852,14.955833554796332,3,CornflowerBlue,C
4,1853,15.034368707945452,4,LightYellow,D
5,1854,15.08854185203415,4,LightYellow,D
6,1855,14.855318251652985,3,CornflowerBlue,C
7,1856,14.30540646404081,3,CornflowerBlue,C
8,1857,14.895461605320694,3,CornflowerBlue,C
9,1858,15.343062484185886,4,LightYellow,D
10,1859,15.071653220986335,4,LightYellow,D
11,1860,16.077410134215814,4,LightYellow,D
12,1861,15.499886195646358,4,LightYellow,D
13,1862,15.29248564696287,4,LightYellow,D
14,1863,15.154206807279149,4,LightYellow,D
15,1864,14.624142127464909,3,CornflowerBlue,C
16,1865,15.923708977608525,4,LightYellow,D
17,1866,14.957719768117817,3,CornflowerBlue,C
18,1867,15.838600617272183,4,LightYellow,D
19,1868,14.125105718347744,3,CornflowerBlue,C
20,1869,14.668094021993545,3,CornflowerBlue,C
21,1870,15.6213599289146,4,LightYellow,D
22,1871,14.90529993144176,3,CornflowerBlue,C
23,1872,15.566513701193747,4,LightYellow,D
24,1873,15.40862480682127,4,LightYellow,D
25,1874,15.488695231000914,4,LightYellow,D
26,1875,14.554812811598401,3,CornflowerBlue,C
27,1876,14.404889946762884,3,CornflowerBlue,C
28,1877,14.710048250039389,3,CornflowerBlue,C
29,1878,14.838165186164295,3,CornflowerBlue,C
30,1879,14.515429238005611,3,CornflowerBlue,C
31,1880,14.224320890791013,3,CornflowerBlue,C
32,1881,15.172087259729235,4,LightYellow,D
33,1882,16.3965597627295,4,LightYellow,D
34,1883,15.85805349249891,4,LightYellow,D
35,1884,15.312840600347524,4,LightYellow,D
36,1885,16.049233026431313,4,LightYellow,D
37,1886,14.994551535990766,3,CornflowerBlue,C
38,1887,15.831565696838693,4,LightYellow,D
39,1888,14.253882850394723,3,CornflowerBlue,C
40,1889,14.853971470777353,3,CornflowerBlue,C
41,1890,15.25573273812977,4,LightYellow,D
42,1891,15.864731692531386,4,LightYellow,D
43,1892,16.319126962053016,4,LightYellow,D
44,1893,16.816244134347585,4,LightYellow,D
45,1894,15.565835290316052,4,LightYellow,D
46,1895,15.481440784530822,4,LightYellow,D
47,1896,15.357389774434427,4,LightYellow,D
48,1897,14.624657057687687,3,CornflowerBlue,C
49,1898,15.394107458947902,4,LightYellow,D
50,1899,15.063083671792159,4,LightYellow,D
51,1900,15.926482038430178,4,LightYellow,D
52,1901,15.726460065321486,4,LightYellow,D
53,1902,14.519405319529534,3,CornflowerBlue,C
54,1903,15.726512468129975,4,LightYellow,D
55,1904,17.2941443474051,4,LightYellow,D
56,1905,15.298930718006677,4,LightYellow,D
57,1906,16.037163744121973,4,LightYellow,D
58,1907,16.74450083610727,4,LightYellow,D
59,1908,16.55237870305333,4,LightYellow,D
60,1909,16.30819686446219,4,LightYellow,D
61,1910,16.337892840324493,4,LightYellow,D
62,1911,15.580943651668784,4,LightYellow,D
63,1912,16.763219297693382,4,LightYellow,D
64,1913,15.42414566611521,4,LightYellow,D
65,1914,15.906984029059952,4,LightYellow,D
66,1915,16.081799254817284,4,LightYellow,D
67,1916,15.997179497957855,4,LightYellow,D
68,1917,15.423845422256468,4,LightYellow,D
69,1918,15.697116388252422,4,LightYellow,D
70,1919,15.451816110349823,4,LightYellow,D
71,1920,14.95023080604818,3,CornflowerBlue,C
72,1921,15.87765030761785,4,LightYellow,D
73,1922,17.391735727830348,4,LightYellow,D
74,1923,17.381553319831593,4,LightYellow,D
75,1924,16.139870080963576,4,LightYellow,D
76,1925,16.387501919283636,4,LightYellow,D
77,1926,15.761246375650694,4,LightYellow,D
78,1927,16.547119618767276,4,LightYellow,D
79,1928,16.767369075608325,4,LightYellow,D
80,1929,16.617770944894886,4,LightYellow,D
81,1930,15.112436049026591,4,LightYellow,D
82,1931,16.156243993858343,4,LightYellow,D
83,1932,16.979744886704513,4,LightYellow,D
84,1933,16.4153654535136,4,LightYellow,D
85,1934,16.054403467472827,4,LightYellow,D
86,1935,16.173124848031097,4,LightYellow,D
87,1936,16.627603587888157,4,LightYellow,D
88,1937,17.677729474286537,4,LightYellow,D
