Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,37.7534082706418,6,Dandelion,F
2,1851,37.849437027094694,6,Dandelion,F
3,1852,38.268507591439814,6,Dandelion,F
4,1853,39.78111257893886,6,Dandelion,F
5,1854,45.357528149507786,7,Tangerine,G
6,1855,40.691270973855254,7,Tangerine,G
7,1856,43.32147915164333,7,Tangerine,G
8,1857,45.686135965610084,7,Tangerine,G
9,1858,42.95484091973556,7,Tangerine,G
10,1859,42.59527355825749,7,Tangerine,G
11,1860,44.468797166097765,7,Tangerine,G
12,1861,46.86730311761784,7,Tangerine,G
13,1862,45.6830338660534,7,Tangerine,G
14,1863,49.14344830823596,7,Tangerine,G
15,1864,52.2611368015409,8,Mustard,H
16,1865,50.468421984993086,8,Mustard,H
17,1866,49.72316006285081,7,Tangerine,G
18,1867,46.880841836299076,7,Tangerine,G
19,1868,50.897815920884774,8,Mustard,H
20,1869,52.206824688435674,8,Mustard,H
21,1870,54.13039063248587,8,Mustard,H
22,1871,50.47174058538812,8,Mustard,H
23,1872,50.93038314617271,8,Mustard,H
24,1873,55.18503329154834,8,Mustard,H
25,1874,55.80335139218217,8,Mustard,H
26,1875,49.261611209573935,7,Tangerine,G
27,1876,51.755659887018474,8,Mustard,H
28,1877,60.67228542457457,9,Mauve,I
29,1878,52.12899697506411,8,Mustard,H
30,1879,52.23789214788773,8,Mustard,H
31,1880,56.2881387471782,8,Mustard,H
32,1881,60.6242159863152,9,Mauve,I
33,1882,59.22309126164139,8,Mustard,H
34,1883,54.77318718209503,8,Mustard,H
35,1884,53.83272400018956,8,Mustard,H
36,1885,57.51834307670295,8,Mustard,H
37,1886,54.95587809891611,8,Mustard,H
38,1887,51.91133140855115,8,Mustard,H
39,1888,54.26996824861538,8,Mustard,H
40,1889,59.510125111418404,8,Mustard,H
41,1890,56.356655806565705,8,Mustard,H
42,1891,60.126293349803106,9,Mauve,I
43,1892,57.98925896607608,8,Mustard,H
44,1893,52.58228163574623,8,Mustard,H
45,1894,60.33853335760971,9,Mauve,I
46,1895,56.72185869918073,8,Mustard,H
47,1896,56.77184121032151,8,Mustard,H
48,1897,59.94082695322757,8,Mustard,H
49,1898,70.21069480000598,10,Brown,J
50,1899,62.603066223932196,9,Mauve,I
51,1900,65.3769965490521,9,Mauve,I
52,1901,62.144358921222704,9,Mauve,I
53,1902,61.473023500224116,9,Mauve,I
54,1903,58.713319039860906,8,Mustard,H
55,1904,58.432929258216554,8,Mustard,H
56,1905,59.39172355972531,8,Mustard,H
57,1906,62.10379349437349,9,Mauve,I
58,1907,64.89886882069419,9,Mauve,I
59,1908,62.93823616261615,9,Mauve,I
60,1909,65.12175591464289,9,Mauve,I
61,1910,64.47299608094448,9,Mauve,I
62,1911,61.31377783610779,9,Mauve,I
63,1912,69.11103687398372,9,Mauve,I
64,1913,61.92469319886186,9,Mauve,I
65,1914,62.596276622205465,9,Mauve,I
66,1915,63.34354222756109,9,Mauve,I
67,1916,65.01192320749254,9,Mauve,I
68,1917,64.35295971202058,9,Mauve,I
69,1918,56.524943421040156,8,Mustard,H
70,1919,56.15981648896916,8,Mustard,H
71,1920,58.24260478417696,8,Mustard,H
72,1921,42.97949097654898,7,Tangerine,G
73,1922,53.66192585973352,8,Mustard,H
74,1923,54.51206896684367,8,Mustard,H
75,1924,56.62889477146182,8,Mustard,H
76,1925,56.593553866821836,8,Mustard,H
77,1926,36.82971073764216,6,Dandelion,F
78,1927,56.965059073723246,8,Mustard,H
79,1928,54.23118857299443,8,Mustard,H
80,1929,57.26136488811312,8,Mustard,H
81,1930,55.91192264029262,8,Mustard,H
82,1931,54.370644241842285,8,Mustard,H
83,1932,52.06573912773483,8,Mustard,H
84,1933,49.66613071526197,7,Tangerine,G
85,1934,53.39198945880128,8,Mustard,H
86,1935,56.657845696690806,8,Mustard,H
87,1936,55.08490267349529,8,Mustard,H
88,1937,55.10406921791624,8,Mustard,H
89,1938,60.210022173024946,9,Mauve,I
90,1939,53.87818949039549,8,Mustard,H
91,1940,61.33349970550528,9,Mauve,I
92,1941,52.573445751383176,8,Mustard,H
93,1942,53.406113675344415,8,Mustard,H
94,1943,57.59827724192461,8,Mustard,H
95,1944,55.591367331248655,8,Mustard,H
96,1945,48.82507529772196,7,Tangerine,G
97,1946,48.67734472104008,7,Tangerine,G
98,1947,56.990793650031215,8,Mustard,H
99,1948,55.96061354250118,8,Mustard,H
100,1949,57.52033253102845,8,Mustard,H
101,1950,61.53422700886902,9,Mauve,I
102,1951,68.76151156846237,9,Mauve,I
103,1952,60.97111335890163,9,Mauve,I
104,1953,57.766418811596886,8,Mustard,H
105,1954,66.41775040992307,9,Mauve,I
106,1955,61.8214763600579,9,Mauve,I
107,1956,61.81723450225237,9,Mauve,I
108,1957,64.87836426688774,9,Mauve,I
109,1958,58.43794928608034,8,Mustard,H
110,1959,53.964827532399134,8,Mustard,H
111,1960,59.063622173986055,8,Mustard,H
112,1961,63.21951566139155,9,Mauve,I
113,1962,57.370272941439055,8,Mustard,H
114,1963,57.25689131780891,8,Mustard,H
115,1964,53.8730881548645,8,Mustard,H
116,1965,58.823671433672914,8,Mustard,H
117,1966,50.14074405139103,8,Mustard,H
118,1967,48.90112101976153,7,Tangerine,G
119,1968,46.48753338081851,7,Tangerine,G
120,1969,43.21019538931983,7,Tangerine,G
121,1970,40.64659304605875,7,Tangerine,G
122,1971,37.34765399514443,6,Dandelion,F
123,1972,34.86408838088651,6,Dandelion,F
124,1973,34.80685343927943,6,Dandelion,F
125,1974,35.719909278657575,6,Dandelion,F
126,1975,29.683556972880723,5,Vanilla,E
127,1976,30.562374352363726,6,Dandelion,F
128,1977,32.881962767680044,6,Dandelion,F
129,1978,32.13078464549587,6,Dandelion,F
130,1979,32.199147018428555,6,Dandelion,F
131,1980,32.170963579989795,6,Dandelion,F
132,1981,29.63411647192841,5,Vanilla,E
133,1982,27.73972345200099,5,Vanilla,E
134,1983,28.84808024747459,5,Vanilla,E
135,1984,26.73126813844119,5,Vanilla,E
136,1985,28.861165695362207,5,Vanilla,E
137,1986,28.80553945696495,5,Vanilla,E
138,1987,28.00631316393126,5,Vanilla,E
139,1988,26.66327510359542,5,Vanilla,E
140,1989,28.57889957043602,5,Vanilla,E
141,1990,26.817187560507357,5,Vanilla,E
142,1991,26.08324960668278,5,Vanilla,E
143,1992,25.902357679746544,5,Vanilla,E
144,1993,24.448077980951084,5,Vanilla,E
145,1994,23.243390294283618,5,Vanilla,E
146,1995,22.00994981222881,5,Vanilla,E
147,1996,21.834468454920767,5,Vanilla,E
148,1997,20.705999743952884,5,Vanilla,E
149,1998,20.23578756407585,5,Vanilla,E
150,1999,18.644658281118705,4,LightYellow,D
