Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.831783610961125,3,CornflowerBlue,C
2,1851,12.761420173147924,3,CornflowerBlue,C
3,1852,12.472609605440008,3,CornflowerBlue,C
4,1853,12.209481121978415,3,CornflowerBlue,C
5,1854,12.44731681611407,3,CornflowerBlue,C
6,1855,12.42774237554428,3,CornflowerBlue,C
7,1856,12.195330427299275,3,CornflowerBlue,C
8,1857,12.937081497610333,3,CornflowerBlue,C
9,1858,12.616644628374626,3,CornflowerBlue,C
10,1859,13.287348207534352,3,CornflowerBlue,C
11,1860,12.551549962048403,3,CornflowerBlue,C
12,1861,12.930089644603383,3,CornflowerBlue,C
13,1862,12.961962766595436,3,CornflowerBlue,C
14,1863,12.940500889554489,3,CornflowerBlue,C
15,1864,12.121393984210327,3,CornflowerBlue,C
16,1865,12.758418436483277,3,CornflowerBlue,C
17,1866,12.68909233612583,3,CornflowerBlue,C
18,1867,13.022479812168468,3,CornflowerBlue,C
19,1868,12.577124010928122,3,CornflowerBlue,C
20,1869,13.409620410259715,3,CornflowerBlue,C
21,1870,12.667084956376705,3,CornflowerBlue,C
22,1871,13.313027188411597,3,CornflowerBlue,C
23,1872,13.181832475553163,3,CornflowerBlue,C
24,1873,13.269289225345204,3,CornflowerBlue,C
25,1874,12.836773735980023,3,CornflowerBlue,C
26,1875,13.418681561531669,3,CornflowerBlue,C
27,1876,13.488059873231553,3,CornflowerBlue,C
28,1877,13.473047955852971,3,CornflowerBlue,C
29,1878,13.471463078318514,3,CornflowerBlue,C
30,1879,13.46365133885029,3,CornflowerBlue,C
31,1880,13.70302937935642,3,CornflowerBlue,C
32,1881,13.599490253576949,3,CornflowerBlue,C
33,1882,13.81357369018092,3,CornflowerBlue,C
34,1883,13.344639464612452,3,CornflowerBlue,C
35,1884,12.676319187117475,3,CornflowerBlue,C
36,1885,13.311624455391472,3,CornflowerBlue,C
37,1886,13.77237437289436,3,CornflowerBlue,C
38,1887,13.969329438259868,3,CornflowerBlue,C
39,1888,14.26930720301185,3,CornflowerBlue,C
40,1889,13.526449362978619,3,CornflowerBlue,C
41,1890,13.59747202445881,3,CornflowerBlue,C
42,1891,14.169046231462646,3,CornflowerBlue,C
43,1892,14.104804759605372,3,CornflowerBlue,C
44,1893,13.714112177858013,3,CornflowerBlue,C
45,1894,14.063745572897352,3,CornflowerBlue,C
46,1895,13.954367192336733,3,CornflowerBlue,C
47,1896,13.64664438996344,3,CornflowerBlue,C
48,1897,14.284576816238811,3,CornflowerBlue,C
49,1898,13.826300725166735,3,CornflowerBlue,C
50,1899,14.193420838705547,3,CornflowerBlue,C
51,1900,14.65543962055706,3,CornflowerBlue,C
52,1901,14.351460209927724,3,CornflowerBlue,C
53,1902,14.287087035416894,3,CornflowerBlue,C
54,1903,14.232400152794602,3,CornflowerBlue,C
55,1904,14.693332349215993,3,CornflowerBlue,C
56,1905,14.56047789286237,3,CornflowerBlue,C
57,1906,14.439192777903559,3,CornflowerBlue,C
58,1907,13.880806992651818,3,CornflowerBlue,C
59,1908,14.14712289457666,3,CornflowerBlue,C
60,1909,14.905225017048442,3,CornflowerBlue,C
61,1910,14.860834694082534,3,CornflowerBlue,C
62,1911,14.573447051522368,3,CornflowerBlue,C
63,1912,14.11386962154377,3,CornflowerBlue,C
64,1913,14.038070573853568,3,CornflowerBlue,C
65,1914,14.101467980211334,3,CornflowerBlue,C
66,1915,14.096867584147942,3,CornflowerBlue,C
67,1916,15.179228849374406,4,LightYellow,D
68,1917,14.258535603932001,3,CornflowerBlue,C
69,1918,13.884306743617538,3,CornflowerBlue,C
70,1919,13.836297830414852,3,CornflowerBlue,C
71,1920,13.607777366360263,3,CornflowerBlue,C
72,1921,14.781794748062339,3,CornflowerBlue,C
73,1922,14.347759545037343,3,CornflowerBlue,C
74,1923,14.05391436668925,3,CornflowerBlue,C
75,1924,14.04900955013944,3,CornflowerBlue,C
76,1925,14.896045569998792,3,CornflowerBlue,C
77,1926,13.744039029972626,3,CornflowerBlue,C
78,1927,14.712520604351033,3,CornflowerBlue,C
79,1928,14.024608236284369,3,CornflowerBlue,C
80,1929,14.282651821278101,3,CornflowerBlue,C
81,1930,14.156068193892112,3,CornflowerBlue,C
82,1931,14.511471236464907,3,CornflowerBlue,C
83,1932,14.31493254094415,3,CornflowerBlue,C
84,1933,14.721920225099007,3,CornflowerBlue,C
85,1934,14.115887024927783,3,CornflowerBlue,C
86,1935,14.997254847715068,3,CornflowerBlue,C
87,1936,14.299362396196623,3,CornflowerBlue,C
88,1937,15.150029793997954,4,LightYellow,D
89,1938,14.898917311766366,3,CornflowerBlue,C
90,1939,14.245323546315229,3,CornflowerBlue,C
91,1940,14.08727167022828,3,CornflowerBlue,C
92,1941,14.8560861013115,3,CornflowerBlue,C
93,1942,14.709208147074492,3,CornflowerBlue,C
94,1943,14.885615915514318,3,CornflowerBlue,C
95,1944,14.593524099042066,3,CornflowerBlue,C
96,1945,14.541108491129968,3,CornflowerBlue,C
97,1946,15.306621211593407,4,LightYellow,D
98,1947,13.930204291409442,3,CornflowerBlue,C
99,1948,13.821515776107868,3,CornflowerBlue,C
100,1949,13.043529984372666,3,CornflowerBlue,C
101,1950,13.974348061759965,3,CornflowerBlue,C
102,1951,13.272146621686444,3,CornflowerBlue,C
103,1952,13.247302203829989,3,CornflowerBlue,C
104,1953,13.93747497226213,3,CornflowerBlue,C
105,1954,13.790261073004805,3,CornflowerBlue,C
106,1955,13.59222347120474,3,CornflowerBlue,C
107,1956,14.293450901732992,3,CornflowerBlue,C
108,1957,13.986267636793487,3,CornflowerBlue,C
109,1958,14.319755639119347,3,CornflowerBlue,C
110,1959,14.587144011078191,3,CornflowerBlue,C
111,1960,14.066592354827227,3,CornflowerBlue,C
112,1961,14.379998716224982,3,CornflowerBlue,C
113,1962,14.967887294125058,3,CornflowerBlue,C
114,1963,14.763249011699168,3,CornflowerBlue,C
115,1964,15.195363081904445,4,LightYellow,D
116,1965,15.679938642135197,4,LightYellow,D
117,1966,15.447099730702183,4,LightYellow,D
118,1967,15.719898111222262,4,LightYellow,D
119,1968,16.053804462396318,4,LightYellow,D
120,1969,15.852485331390143,4,LightYellow,D
121,1970,16.23138097143444,4,LightYellow,D
122,1971,16.70704725986307,4,LightYellow,D
123,1972,16.68414961068263,4,LightYellow,D
124,1973,17.12425312125755,4,LightYellow,D
125,1974,18.045225868925208,4,LightYellow,D
126,1975,18.40996839373604,4,LightYellow,D
127,1976,18.648199908910048,4,LightYellow,D
128,1977,18.76445270485575,4,LightYellow,D
129,1978,18.800838106266472,4,LightYellow,D
130,1979,19.876048575561345,4,LightYellow,D
131,1980,19.5361296487535,4,LightYellow,D
132,1981,20.434418502320426,5,Vanilla,E
