Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,15.089901520556419,4,LightYellow,D
2,1851,15.06595358934725,4,LightYellow,D
3,1852,15.131206383175476,4,LightYellow,D
4,1853,15.354213284086315,4,LightYellow,D
5,1854,15.052586751743984,4,LightYellow,D
6,1855,16.082470924930313,4,LightYellow,D
7,1856,15.90526360585866,4,LightYellow,D
8,1857,15.938982876449874,4,LightYellow,D
9,1858,15.831435169085148,4,LightYellow,D
10,1859,16.56291564857553,4,LightYellow,D
11,1860,16.071616106882527,4,LightYellow,D
12,1861,17.034382472099118,4,LightYellow,D
13,1862,16.92133977373112,4,LightYellow,D
14,1863,17.170996147605134,4,LightYellow,D
15,1864,18.819831184530553,4,LightYellow,D
16,1865,17.27504945776427,4,LightYellow,D
17,1866,16.86440360737818,4,LightYellow,D
18,1867,16.687641549214142,4,LightYellow,D
19,1868,17.656825219147038,4,LightYellow,D
20,1869,17.59197639149339,4,LightYellow,D
21,1870,16.104754854998408,4,LightYellow,D
22,1871,17.57495907631838,4,LightYellow,D
23,1872,17.572971088697074,4,LightYellow,D
24,1873,17.486739231469038,4,LightYellow,D
25,1874,18.14412027060822,4,LightYellow,D
26,1875,18.194935422289443,4,LightYellow,D
27,1876,18.093753069189777,4,LightYellow,D
28,1877,17.76996178142182,4,LightYellow,D
29,1878,19.87334304248051,4,LightYellow,D
30,1879,19.68990810348157,4,LightYellow,D
31,1880,20.394256335924595,5,Vanilla,E
32,1881,19.94735369561057,4,LightYellow,D
33,1882,20.79354740697325,5,Vanilla,E
34,1883,21.52468704541735,5,Vanilla,E
35,1884,19.360014314291238,4,LightYellow,D
36,1885,20.063166798372972,5,Vanilla,E
37,1886,21.69240808768466,5,Vanilla,E
38,1887,20.336087203591084,5,Vanilla,E
39,1888,20.389223249542987,5,Vanilla,E
40,1889,20.53195008586972,5,Vanilla,E
41,1890,20.73623497271462,5,Vanilla,E
42,1891,20.167971783829866,5,Vanilla,E
43,1892,21.308252905345498,5,Vanilla,E
44,1893,21.45270855950115,5,Vanilla,E
45,1894,22.4540299090063,5,Vanilla,E
46,1895,22.93328845787828,5,Vanilla,E
47,1896,21.496460537016848,5,Vanilla,E
48,1897,23.148108444253438,5,Vanilla,E
49,1898,21.765167856231912,5,Vanilla,E
50,1899,23.241114981640322,5,Vanilla,E
51,1900,24.955806905871427,5,Vanilla,E
52,1901,22.008558698056557,5,Vanilla,E
53,1902,22.74371103728845,5,Vanilla,E
54,1903,24.28272355036885,5,Vanilla,E
55,1904,24.08331478271842,5,Vanilla,E
56,1905,24.35842239467464,5,Vanilla,E
57,1906,23.321158444230875,5,Vanilla,E
58,1907,24.15218343044411,5,Vanilla,E
59,1908,23.703812544058007,5,Vanilla,E
60,1909,25.204079675357878,5,Vanilla,E
61,1910,25.27968569030682,5,Vanilla,E
62,1911,25.12415527520994,5,Vanilla,E
63,1912,25.866768393758786,5,Vanilla,E
64,1913,27.759620720285717,5,Vanilla,E
65,1914,24.644881893770133,5,Vanilla,E
66,1915,23.184936768461128,5,Vanilla,E
67,1916,24.024741448063146,5,Vanilla,E
68,1917,24.796635333116846,5,Vanilla,E
69,1918,23.68223472278553,5,Vanilla,E
70,1919,21.710440913401083,5,Vanilla,E
71,1920,22.53419596932934,5,Vanilla,E
72,1921,22.203704730261528,5,Vanilla,E
73,1922,21.241113264156635,5,Vanilla,E
74,1923,21.67532230191392,5,Vanilla,E
75,1924,21.78036703688214,5,Vanilla,E
76,1925,23.816866971803417,5,Vanilla,E
77,1926,21.997820220434612,5,Vanilla,E
78,1927,24.066728364528473,5,Vanilla,E
79,1928,24.142650232118104,5,Vanilla,E
80,1929,23.149587377880593,5,Vanilla,E
81,1930,23.245449373728597,5,Vanilla,E
82,1931,23.067275702241144,5,Vanilla,E
83,1932,23.902734434339163,5,Vanilla,E
84,1933,21.53137521253217,5,Vanilla,E
85,1934,22.87886700161405,5,Vanilla,E
86,1935,23.708668112674506,5,Vanilla,E
87,1936,24.676901784563462,5,Vanilla,E
88,1937,23.712798169736505,5,Vanilla,E
89,1938,24.849427383173538,5,Vanilla,E
90,1939,22.648243900553595,5,Vanilla,E
91,1940,24.971112164943055,5,Vanilla,E
92,1941,23.633948999925053,5,Vanilla,E
93,1942,22.84355357570102,5,Vanilla,E
94,1943,22.829024604827787,5,Vanilla,E
95,1944,22.514139540619617,5,Vanilla,E
96,1945,19.37778125071473,4,LightYellow,D
97,1946,20.514646580760214,5,Vanilla,E
98,1947,21.035540088405153,5,Vanilla,E
99,1948,21.68951815012939,5,Vanilla,E
100,1949,22.420030671341713,5,Vanilla,E
101,1950,23.388317473968417,5,Vanilla,E
102,1951,22.809651170528717,5,Vanilla,E
103,1952,24.799406940276977,5,Vanilla,E
104,1953,23.596013056716103,5,Vanilla,E
105,1954,25.455045499796864,5,Vanilla,E
106,1955,25.73240270218122,5,Vanilla,E
107,1956,26.262346396539048,5,Vanilla,E
108,1957,26.982391596250757,5,Vanilla,E
109,1958,27.769042577639983,5,Vanilla,E
110,1959,27.414200060515398,5,Vanilla,E
111,1960,28.20790355716494,5,Vanilla,E
112,1961,28.383615052545146,5,Vanilla,E
113,1962,29.613471533449975,5,Vanilla,E
114,1963,28.806754052283164,5,Vanilla,E
115,1964,31.17459106674803,6,Dandelion,F
116,1965,30.826703965693596,6,Dandelion,F
117,1966,31.69858251001281,6,Dandelion,F
118,1967,31.913126760290577,6,Dandelion,F
119,1968,33.392199821372635,6,Dandelion,F
120,1969,33.48716436022292,6,Dandelion,F
121,1970,33.79308982984963,6,Dandelion,F
122,1971,35.25198443253294,6,Dandelion,F
123,1972,33.165256495746256,6,Dandelion,F
124,1973,35.95426084773559,6,Dandelion,F
125,1974,36.61786170726271,6,Dandelion,F
126,1975,35.00126388079226,6,Dandelion,F
127,1976,38.57340504175722,6,Dandelion,F
128,1977,37.56538931239324,6,Dandelion,F
129,1978,39.36660244887748,6,Dandelion,F
130,1979,37.0512174578184,6,Dandelion,F
131,1980,37.92937456925654,6,Dandelion,F
132,1981,37.385202622979456,6,Dandelion,F
133,1982,36.97946311459668,6,Dandelion,F
134,1983,36.45281162937506,6,Dandelion,F
135,1984,35.85503861049191,6,Dandelion,F
136,1985,36.206436032385945,6,Dandelion,F
137,1986,34.71603729476006,6,Dandelion,F
138,1987,33.319519654724104,6,Dandelion,F
139,1988,32.3315510477405,6,Dandelion,F
140,1989,33.42115390232769,6,Dandelion,F
141,1990,33.16131174917222,6,Dandelion,F
142,1991,31.979027489709768,6,Dandelion,F
143,1992,29.20908658983133,5,Vanilla,E
144,1993,27.170094369066696,5,Vanilla,E
145,1994,25.66333803509797,5,Vanilla,E
146,1995,24.40646180103528,5,Vanilla,E
147,1996,22.967248405217386,5,Vanilla,E
148,1997,21.68608024291213,5,Vanilla,E
149,1998,24.359796028731406,5,Vanilla,E
