Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,8.47540130514996,2,PowderBlue,B
2,1851,8.719923945662712,2,PowderBlue,B
3,1852,8.607085529130194,2,PowderBlue,B
4,1853,8.689876823715442,2,PowderBlue,B
5,1854,8.556508174952512,2,PowderBlue,B
6,1855,8.529573458192246,2,PowderBlue,B
7,1856,8.702117245134295,2,PowderBlue,B
8,1857,9.199339715228332,2,PowderBlue,B
9,1858,8.35079712596466,2,PowderBlue,B
10,1859,8.769906624044784,2,PowderBlue,B
11,1860,8.650849841878353,2,PowderBlue,B
12,1861,8.907862217227814,2,PowderBlue,B
13,1862,8.667038154627157,2,PowderBlue,B
14,1863,8.445339600925298,2,PowderBlue,B
15,1864,8.906563372145028,2,PowderBlue,B
16,1865,9.065934124229111,2,PowderBlue,B
17,1866,8.801906623851274,2,PowderBlue,B
18,1867,8.730749310162755,2,PowderBlue,B
19,1868,8.403645772471151,2,PowderBlue,B
20,1869,8.939854816154945,2,PowderBlue,B
21,1870,9.052098446317451,2,PowderBlue,B
22,1871,8.90254356852424,2,PowderBlue,B
23,1872,8.932066116880089,2,PowderBlue,B
24,1873,8.589191450810462,2,PowderBlue,B
25,1874,8.86259036319258,2,PowderBlue,B
26,1875,8.6327916719998,2,PowderBlue,B
27,1876,8.689521749432425,2,PowderBlue,B
28,1877,8.83616764088975,2,PowderBlue,B
29,1878,8.747093932452072,2,PowderBlue,B
30,1879,9.041247697030549,2,PowderBlue,B
31,1880,8.965130841967815,2,PowderBlue,B
32,1881,9.03672703519906,2,PowderBlue,B
33,1882,8.598217159931117,2,PowderBlue,B
34,1883,8.989355883316732,2,PowderBlue,B
35,1884,8.663903428947187,2,PowderBlue,B
36,1885,8.788354653452025,2,PowderBlue,B
37,1886,8.813798965295137,2,PowderBlue,B
38,1887,8.98119937486231,2,PowderBlue,B
39,1888,8.848486713011157,2,PowderBlue,B
40,1889,8.876522676351522,2,PowderBlue,B
41,1890,8.958842909387254,2,PowderBlue,B
42,1891,8.7605659490851,2,PowderBlue,B
43,1892,8.817416863936145,2,PowderBlue,B
44,1893,8.639496431272033,2,PowderBlue,B
45,1894,8.814662941382977,2,PowderBlue,B
46,1895,8.740016780243801,2,PowderBlue,B
47,1896,8.87653521816557,2,PowderBlue,B
48,1897,9.132628044607296,2,PowderBlue,B
49,1898,8.771961699103318,2,PowderBlue,B
50,1899,8.921087810831766,2,PowderBlue,B
51,1900,8.881176955730158,2,PowderBlue,B
52,1901,8.705487282904746,2,PowderBlue,B
53,1902,8.895641238618326,2,PowderBlue,B
54,1903,9.026059760328746,2,PowderBlue,B
55,1904,8.73506055860577,2,PowderBlue,B
56,1905,9.155904359681166,2,PowderBlue,B
57,1906,8.889600577238477,2,PowderBlue,B
58,1907,8.61274741541792,2,PowderBlue,B
59,1908,9.032435422366893,2,PowderBlue,B
60,1909,8.862268641048558,2,PowderBlue,B
61,1910,9.065116606295796,2,PowderBlue,B
62,1911,8.987905190392881,2,PowderBlue,B
63,1912,9.051387137657926,2,PowderBlue,B
64,1913,9.092526712659737,2,PowderBlue,B
65,1914,9.314559879230579,2,PowderBlue,B
66,1915,9.082779058398726,2,PowderBlue,B
67,1916,9.114529518207059,2,PowderBlue,B
68,1917,9.220076711775496,2,PowderBlue,B
69,1918,9.414015018867167,2,PowderBlue,B
70,1919,8.744603740308921,2,PowderBlue,B
71,1920,8.764451024412846,2,PowderBlue,B
72,1921,9.462680250073992,2,PowderBlue,B
73,1922,8.7784029551981,2,PowderBlue,B
74,1923,9.399447571318325,2,PowderBlue,B
