Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,8.67006328293561,2,PowderBlue,B
2,1851,8.387733628125869,2,PowderBlue,B
3,1852,7.907522315961822,2,PowderBlue,B
4,1853,7.944222627234248,2,PowderBlue,B
5,1854,8.23209072127137,2,PowderBlue,B
6,1855,8.10907231054864,2,PowderBlue,B
7,1856,8.081225533750775,2,PowderBlue,B
8,1857,8.077650197616855,2,PowderBlue,B
9,1858,8.151411804095305,2,PowderBlue,B
10,1859,8.522764103759213,2,PowderBlue,B
11,1860,7.979180605717786,2,PowderBlue,B
12,1861,8.450977843784916,2,PowderBlue,B
13,1862,8.416030384001067,2,PowderBlue,B
14,1863,8.065390498554931,2,PowderBlue,B
15,1864,7.862837266390242,2,PowderBlue,B
16,1865,8.329523249743236,2,PowderBlue,B
17,1866,8.370593151573237,2,PowderBlue,B
18,1867,8.392732082970248,2,PowderBlue,B
19,1868,8.738762306528216,2,PowderBlue,B
20,1869,8.329733888489065,2,PowderBlue,B
21,1870,8.43640151454706,2,PowderBlue,B
22,1871,8.343276527752476,2,PowderBlue,B
23,1872,8.315328738242695,2,PowderBlue,B
24,1873,8.131217900875674,2,PowderBlue,B
25,1874,8.256089783784596,2,PowderBlue,B
26,1875,8.531344449199107,2,PowderBlue,B
27,1876,8.923216972204282,2,PowderBlue,B
28,1877,8.42130999701197,2,PowderBlue,B
29,1878,8.192267732316035,2,PowderBlue,B
30,1879,8.83908594222328,2,PowderBlue,B
31,1880,8.301083430110241,2,PowderBlue,B
32,1881,8.617319889713357,2,PowderBlue,B
33,1882,8.727782008892543,2,PowderBlue,B
34,1883,8.695571837573773,2,PowderBlue,B
35,1884,7.931542563608645,2,PowderBlue,B
36,1885,8.306385159252143,2,PowderBlue,B
37,1886,8.705118387807667,2,PowderBlue,B
38,1887,8.87387962278991,2,PowderBlue,B
39,1888,8.870178873259798,2,PowderBlue,B
40,1889,8.308504636204157,2,PowderBlue,B
41,1890,8.195787079912744,2,PowderBlue,B
42,1891,8.989063725048249,2,PowderBlue,B
43,1892,8.9121255072271,2,PowderBlue,B
44,1893,8.470005321914003,2,PowderBlue,B
45,1894,8.100032341497467,2,PowderBlue,B
46,1895,8.803426636019271,2,PowderBlue,B
47,1896,8.338022344539928,2,PowderBlue,B
48,1897,8.829210619913507,2,PowderBlue,B
49,1898,8.506748496684187,2,PowderBlue,B
50,1899,8.809999481161912,2,PowderBlue,B
51,1900,9.035529048576652,2,PowderBlue,B
52,1901,8.835037238075314,2,PowderBlue,B
53,1902,8.97567318498715,2,PowderBlue,B
54,1903,9.147399455895014,2,PowderBlue,B
55,1904,9.444572256902195,2,PowderBlue,B
56,1905,9.02337840210115,2,PowderBlue,B
57,1906,8.943836500985768,2,PowderBlue,B
58,1907,8.939448408663523,2,PowderBlue,B
59,1908,8.597437083647755,2,PowderBlue,B
60,1909,9.173971371230891,2,PowderBlue,B
61,1910,9.1991840105524,2,PowderBlue,B
62,1911,9.535197656631688,2,PowderBlue,B
63,1912,8.924929907349238,2,PowderBlue,B
64,1913,8.768880834601845,2,PowderBlue,B
65,1914,8.751176718263514,2,PowderBlue,B
66,1915,8.797567330513775,2,PowderBlue,B
67,1916,9.087044317972781,2,PowderBlue,B
68,1917,8.79601100628564,2,PowderBlue,B
69,1918,8.783563581134489,2,PowderBlue,B
70,1919,8.805006483313095,2,PowderBlue,B
71,1920,9.34214883735398,2,PowderBlue,B
72,1921,8.958711691818026,2,PowderBlue,B
73,1922,9.198281285335423,2,PowderBlue,B
74,1923,9.334861454231925,2,PowderBlue,B
75,1924,8.86066027722605,2,PowderBlue,B
