Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,25.0067642606065,5,Vanilla,E
2,1851,27.558248473011293,5,Vanilla,E
3,1852,27.853958838047713,5,Vanilla,E
4,1853,23.291900404154823,5,Vanilla,E
5,1854,25.35641604035815,5,Vanilla,E
6,1855,28.64890565519917,5,Vanilla,E
7,1856,26.69727810100299,5,Vanilla,E
8,1857,26.815499220397115,5,Vanilla,E
9,1858,24.966551499346288,5,Vanilla,E
10,1859,24.373176254327927,5,Vanilla,E
11,1860,29.26790873885521,5,Vanilla,E
12,1861,29.476661154336643,5,Vanilla,E
13,1862,25.672758610015805,5,Vanilla,E
14,1863,23.524405042482897,5,Vanilla,E
15,1864,23.16255157564929,5,Vanilla,E
16,1865,28.60670662617139,5,Vanilla,E
17,1866,27.779370817671115,5,Vanilla,E
18,1867,26.186399874266215,5,Vanilla,E
19,1868,25.153417230189483,5,Vanilla,E
20,1869,26.421776449479776,5,Vanilla,E
21,1870,27.188065110984663,5,Vanilla,E
22,1871,24.922110823068227,5,Vanilla,E
23,1872,24.804393540356138,5,Vanilla,E
24,1873,24.04840453075449,5,Vanilla,E
25,1874,24.852094181143826,5,Vanilla,E
26,1875,26.788889462061125,5,Vanilla,E
27,1876,25.950773575528125,5,Vanilla,E
28,1877,23.685858995369333,5,Vanilla,E
29,1878,25.790312619714378,5,Vanilla,E
30,1879,28.230419266806503,5,Vanilla,E
31,1880,25.842395703907165,5,Vanilla,E
32,1881,26.735615916081183,5,Vanilla,E
33,1882,28.997591659542355,5,Vanilla,E
34,1883,23.77230974362874,5,Vanilla,E
35,1884,25.086000670810424,5,Vanilla,E
36,1885,27.373004592136816,5,Vanilla,E
37,1886,26.19194267663077,5,Vanilla,E
38,1887,27.058271331957815,5,Vanilla,E
39,1888,22.872573350054378,5,Vanilla,E
40,1889,25.230050800278786,5,Vanilla,E
41,1890,25.482156788102195,5,Vanilla,E
42,1891,28.537997708053215,5,Vanilla,E
43,1892,27.87877921672322,5,Vanilla,E
44,1893,28.18119893726387,5,Vanilla,E
45,1894,26.133085485031785,5,Vanilla,E
46,1895,27.345658781513873,5,Vanilla,E
47,1896,25.84521208390461,5,Vanilla,E
48,1897,26.004893237016695,5,Vanilla,E
49,1898,23.118344898501874,5,Vanilla,E
50,1899,27.468835455036654,5,Vanilla,E
51,1900,27.04716988437867,5,Vanilla,E
52,1901,24.882100765549016,5,Vanilla,E
53,1902,25.91005022938718,5,Vanilla,E
54,1903,25.919195113030582,5,Vanilla,E
55,1904,26.388472525360832,5,Vanilla,E
56,1905,29.278562651575466,5,Vanilla,E
57,1906,27.189085217802916,5,Vanilla,E
58,1907,28.148495371710585,5,Vanilla,E
59,1908,28.131397136486346,5,Vanilla,E
60,1909,26.709200036255545,5,Vanilla,E
61,1910,26.712706943313286,5,Vanilla,E
62,1911,27.028849163359055,5,Vanilla,E
63,1912,29.64763524105508,5,Vanilla,E
64,1913,26.925327749616667,5,Vanilla,E
65,1914,28.26733418741193,5,Vanilla,E
66,1915,27.148957465216903,5,Vanilla,E
67,1916,29.3320917618139,5,Vanilla,E
68,1917,25.729911486539628,5,Vanilla,E
69,1918,26.279368826674315,5,Vanilla,E
70,1919,25.353177897636616,5,Vanilla,E
71,1920,27.59741268753978,5,Vanilla,E
72,1921,28.285528239951383,5,Vanilla,E
73,1922,29.044028349952256,5,Vanilla,E
74,1923,25.831501433848477,5,Vanilla,E
75,1924,26.136308460055787,5,Vanilla,E
76,1925,26.01027064911858,5,Vanilla,E
77,1926,27.458828460018616,5,Vanilla,E
78,1927,29.177695887998183,5,Vanilla,E
79,1928,28.689978833243295,5,Vanilla,E
80,1929,28.732622349820485,5,Vanilla,E
81,1930,24.831848633997012,5,Vanilla,E
82,1931,27.798969411961536,5,Vanilla,E
83,1932,26.812078006000203,5,Vanilla,E
84,1933,28.496595830670504,5,Vanilla,E
85,1934,26.988016172320005,5,Vanilla,E
86,1935,26.327845429598874,5,Vanilla,E
87,1936,25.840409520337946,5,Vanilla,E
88,1937,32.78831322838289,6,Dandelion,F
89,1938,30.263347497334937,6,Dandelion,F
90,1939,29.464263961431204,5,Vanilla,E
91,1940,27.281162068505648,5,Vanilla,E
92,1941,29.202783766278078,5,Vanilla,E
93,1942,30.877472024844657,6,Dandelion,F
94,1943,28.285463407531882,5,Vanilla,E
95,1944,25.988559854924723,5,Vanilla,E
96,1945,26.54483312101967,5,Vanilla,E
97,1946,31.349235996593684,6,Dandelion,F
98,1947,29.590994017373596,5,Vanilla,E
99,1948,27.512490539231624,5,Vanilla,E
100,1949,30.373931312058353,6,Dandelion,F
101,1950,28.01484191200624,5,Vanilla,E
102,1951,26.13474147072896,5,Vanilla,E
103,1952,25.980318126326857,5,Vanilla,E
104,1953,31.009813121160946,6,Dandelion,F
105,1954,25.95118922311659,5,Vanilla,E
106,1955,28.8896970760953,5,Vanilla,E
107,1956,30.50644594793971,6,Dandelion,F
108,1957,28.18492296463618,5,Vanilla,E
109,1958,30.419963071790594,6,Dandelion,F
110,1959,28.51860417729197,5,Vanilla,E
111,1960,29.604675901282704,5,Vanilla,E
112,1961,27.78917895064508,5,Vanilla,E
113,1962,28.067968333204703,5,Vanilla,E
114,1963,27.1164746220907,5,Vanilla,E
115,1964,27.692566587757447,5,Vanilla,E
116,1965,27.57230093063129,5,Vanilla,E
117,1966,25.48959411959473,5,Vanilla,E
118,1967,30.172843458119978,6,Dandelion,F
119,1968,27.44124081022152,5,Vanilla,E
120,1969,29.282154758506937,5,Vanilla,E
121,1970,28.626893666835166,5,Vanilla,E
122,1971,28.954473239935755,5,Vanilla,E
123,1972,29.463533250557717,5,Vanilla,E
124,1973,28.935353583139456,5,Vanilla,E
125,1974,27.91465630740451,5,Vanilla,E
126,1975,29.705683396483327,5,Vanilla,E
127,1976,27.792490845094775,5,Vanilla,E
128,1977,30.76153066024891,6,Dandelion,F
