Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.075864038995228,3,CornflowerBlue,C
2,1851,10.4879640516322,3,CornflowerBlue,C
3,1852,10.587755213708167,3,CornflowerBlue,C
4,1853,10.094460613830393,3,CornflowerBlue,C
5,1854,9.913257661930677,2,PowderBlue,B
6,1855,10.718917029729743,3,CornflowerBlue,C
7,1856,10.945663437894243,3,CornflowerBlue,C
8,1857,11.248122676822929,3,CornflowerBlue,C
9,1858,10.602407688105323,3,CornflowerBlue,C
10,1859,10.677293583279257,3,CornflowerBlue,C
11,1860,11.169134632923145,3,CornflowerBlue,C
12,1861,11.728901900063663,3,CornflowerBlue,C
13,1862,11.344075975166298,3,CornflowerBlue,C
14,1863,11.042506153546752,3,CornflowerBlue,C
15,1864,10.957233776176656,3,CornflowerBlue,C
16,1865,11.491665916155089,3,CornflowerBlue,C
17,1866,12.124569420069514,3,CornflowerBlue,C
18,1867,11.938406593759272,3,CornflowerBlue,C
19,1868,11.766483807093762,3,CornflowerBlue,C
20,1869,11.934582018818366,3,CornflowerBlue,C
21,1870,11.814015535950892,3,CornflowerBlue,C
22,1871,12.192338524423805,3,CornflowerBlue,C
23,1872,11.647246507662736,3,CornflowerBlue,C
24,1873,12.555710567625418,3,CornflowerBlue,C
25,1874,11.632778415710344,3,CornflowerBlue,C
26,1875,12.650127339191624,3,CornflowerBlue,C
27,1876,12.593718278483884,3,CornflowerBlue,C
28,1877,12.66888775351927,3,CornflowerBlue,C
29,1878,12.525403960047544,3,CornflowerBlue,C
30,1879,12.565746632264675,3,CornflowerBlue,C
31,1880,13.498681694709513,3,CornflowerBlue,C
32,1881,12.995449539400319,3,CornflowerBlue,C
33,1882,13.7676226214496,3,CornflowerBlue,C
34,1883,14.340658127795312,3,CornflowerBlue,C
35,1884,13.512896978909426,3,CornflowerBlue,C
36,1885,13.808418092755808,3,CornflowerBlue,C
37,1886,14.835650251178672,3,CornflowerBlue,C
38,1887,13.905803170772854,3,CornflowerBlue,C
39,1888,13.543684243596505,3,CornflowerBlue,C
