Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,21.664757352225326,5,Vanilla,E
2,1851,25.09141034517648,5,Vanilla,E
3,1852,22.78308866861357,5,Vanilla,E
4,1853,21.585293001996884,5,Vanilla,E
5,1854,25.241991203546302,5,Vanilla,E
6,1855,25.768486947150176,5,Vanilla,E
7,1856,23.09031206708597,5,Vanilla,E
8,1857,25.254529530687435,5,Vanilla,E
9,1858,21.54384573123523,5,Vanilla,E
10,1859,22.2515069203609,5,Vanilla,E
11,1860,26.722676673619045,5,Vanilla,E
12,1861,25.68954630801977,5,Vanilla,E
13,1862,23.39507693805095,5,Vanilla,E
14,1863,20.646053536748706,5,Vanilla,E
15,1864,19.98780647602451,4,LightYellow,D
16,1865,25.830419592703592,5,Vanilla,E
17,1866,22.929391328002673,5,Vanilla,E
18,1867,23.986647186836766,5,Vanilla,E
19,1868,22.37311894817648,5,Vanilla,E
20,1869,24.671963557956897,5,Vanilla,E
21,1870,24.387476379463337,5,Vanilla,E
22,1871,21.15555334271444,5,Vanilla,E
23,1872,20.6913866892506,5,Vanilla,E
24,1873,22.095936554733996,5,Vanilla,E
25,1874,20.60963270088355,5,Vanilla,E
26,1875,22.897256502111365,5,Vanilla,E
27,1876,23.311707006965143,5,Vanilla,E
28,1877,20.398488711304196,5,Vanilla,E
29,1878,21.582373611541186,5,Vanilla,E
30,1879,24.95903255121007,5,Vanilla,E
31,1880,24.61236747167305,5,Vanilla,E
32,1881,24.55269172527615,5,Vanilla,E
33,1882,26.804221073413544,5,Vanilla,E
34,1883,22.147835846639996,5,Vanilla,E
35,1884,20.61350254311486,5,Vanilla,E
36,1885,23.106368095717936,5,Vanilla,E
37,1886,22.52202731801614,5,Vanilla,E
38,1887,24.09634592563755,5,Vanilla,E
39,1888,21.24662327708662,5,Vanilla,E
40,1889,23.389413312710502,5,Vanilla,E
41,1890,21.990514427415537,5,Vanilla,E
42,1891,24.00133137988225,5,Vanilla,E
43,1892,22.780493093825424,5,Vanilla,E
44,1893,24.158819376869236,5,Vanilla,E
45,1894,22.620174097595136,5,Vanilla,E
46,1895,23.97502587709297,5,Vanilla,E
47,1896,22.037109200227174,5,Vanilla,E
48,1897,24.22459404745006,5,Vanilla,E
49,1898,21.64001088804391,5,Vanilla,E
50,1899,23.844762539860227,5,Vanilla,E
51,1900,23.943675930627265,5,Vanilla,E
52,1901,22.00199980763631,5,Vanilla,E
53,1902,22.717752367742097,5,Vanilla,E
54,1903,23.68722532995108,5,Vanilla,E
55,1904,24.264761865065008,5,Vanilla,E
56,1905,25.07500583352116,5,Vanilla,E
57,1906,23.758509963916516,5,Vanilla,E
58,1907,23.451930556503836,5,Vanilla,E
59,1908,25.028654849281107,5,Vanilla,E
60,1909,23.051475716432062,5,Vanilla,E
61,1910,23.545762991978965,5,Vanilla,E
62,1911,23.071496217983753,5,Vanilla,E
63,1912,26.975270356497337,5,Vanilla,E
64,1913,24.171820096802346,5,Vanilla,E
65,1914,26.98090404593662,5,Vanilla,E
66,1915,25.55258184129457,5,Vanilla,E
67,1916,27.65728594835277,5,Vanilla,E
68,1917,23.35046112225193,5,Vanilla,E
69,1918,23.731215401777607,5,Vanilla,E
70,1919,24.130857194264166,5,Vanilla,E
71,1920,24.624753168691285,5,Vanilla,E
72,1921,25.689197937908823,5,Vanilla,E
73,1922,26.701859596992676,5,Vanilla,E
74,1923,23.691321129652447,5,Vanilla,E
75,1924,24.43009949524369,5,Vanilla,E
76,1925,26.09728899307941,5,Vanilla,E
77,1926,27.248590928924543,5,Vanilla,E
78,1927,26.53829940552619,5,Vanilla,E
79,1928,25.763151673585007,5,Vanilla,E
80,1929,27.67430017362078,5,Vanilla,E
81,1930,25.092865780769646,5,Vanilla,E
82,1931,27.051625439461485,5,Vanilla,E
83,1932,28.550747008624683,5,Vanilla,E
84,1933,26.375074041151212,5,Vanilla,E
85,1934,24.643387907705694,5,Vanilla,E
86,1935,26.18775381956266,5,Vanilla,E
87,1936,24.952464294940352,5,Vanilla,E
88,1937,30.632348615648304,6,Dandelion,F
89,1938,30.376829119540115,6,Dandelion,F
90,1939,27.477953480561613,5,Vanilla,E
91,1940,24.797186550533116,5,Vanilla,E
92,1941,27.66681354262415,5,Vanilla,E
93,1942,28.28963063219373,5,Vanilla,E
94,1943,29.360707086069816,5,Vanilla,E
95,1944,27.25779178494408,5,Vanilla,E
96,1945,27.01557807313309,5,Vanilla,E
97,1946,28.994486895113525,5,Vanilla,E
98,1947,29.85413272578277,5,Vanilla,E
99,1948,30.104796928403715,6,Dandelion,F
100,1949,28.60837501777005,5,Vanilla,E
101,1950,27.314464186155412,5,Vanilla,E
102,1951,25.38149294847067,5,Vanilla,E
103,1952,27.079781746600414,5,Vanilla,E
104,1953,30.372902732639684,6,Dandelion,F
105,1954,25.741958236197714,5,Vanilla,E
106,1955,30.013352691050798,6,Dandelion,F
107,1956,28.305403319457795,5,Vanilla,E
