Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,21.265941778938902,5,Vanilla,E
2,1851,20.511750861616676,5,Vanilla,E
3,1852,20.849645092342257,5,Vanilla,E
4,1853,21.160625466268034,5,Vanilla,E
5,1854,21.75450517346566,5,Vanilla,E
6,1855,21.02963548829454,5,Vanilla,E
7,1856,20.77829385439303,5,Vanilla,E
8,1857,20.76384102609144,5,Vanilla,E
9,1858,21.74269289210096,5,Vanilla,E
10,1859,20.802406730786647,5,Vanilla,E
11,1860,21.94590861068321,5,Vanilla,E
12,1861,21.014678671727573,5,Vanilla,E
13,1862,21.809574181818224,5,Vanilla,E
14,1863,20.600166228997,5,Vanilla,E
15,1864,20.90132590034323,5,Vanilla,E
16,1865,20.55203166157771,5,Vanilla,E
17,1866,21.67021581268103,5,Vanilla,E
18,1867,21.060835942161223,5,Vanilla,E
19,1868,21.437342575256654,5,Vanilla,E
20,1869,21.404244926537178,5,Vanilla,E
21,1870,21.337984272586628,5,Vanilla,E
22,1871,21.388705154943363,5,Vanilla,E
23,1872,21.02569335964157,5,Vanilla,E
24,1873,22.150395398083376,5,Vanilla,E
25,1874,22.250386117897964,5,Vanilla,E
26,1875,20.579703549868448,5,Vanilla,E
27,1876,21.50518616766464,5,Vanilla,E
28,1877,21.194666552856194,5,Vanilla,E
29,1878,21.781073553238397,5,Vanilla,E
30,1879,20.69902458814316,5,Vanilla,E
31,1880,21.246170157686816,5,Vanilla,E
32,1881,21.343881932215016,5,Vanilla,E
33,1882,20.6428980959526,5,Vanilla,E
34,1883,21.212236028907203,5,Vanilla,E
35,1884,20.286026560760043,5,Vanilla,E
36,1885,21.269036082081186,5,Vanilla,E
37,1886,20.77378775391302,5,Vanilla,E
38,1887,20.924425564175433,5,Vanilla,E
39,1888,20.82734930497993,5,Vanilla,E
40,1889,21.167665341608366,5,Vanilla,E
41,1890,21.948316817431326,5,Vanilla,E
42,1891,21.20924393393999,5,Vanilla,E
43,1892,21.687031606596783,5,Vanilla,E
44,1893,21.002801735374064,5,Vanilla,E
45,1894,22.125093817937593,5,Vanilla,E
46,1895,21.969734058770907,5,Vanilla,E
47,1896,21.20588227281032,5,Vanilla,E
48,1897,20.88177881031765,5,Vanilla,E
49,1898,21.168502987516277,5,Vanilla,E
50,1899,21.976102930274887,5,Vanilla,E
51,1900,22.241867754361323,5,Vanilla,E
52,1901,21.657448990960198,5,Vanilla,E
53,1902,21.26645217119053,5,Vanilla,E
54,1903,22.022111470422146,5,Vanilla,E
55,1904,21.99664409020242,5,Vanilla,E
56,1905,22.206529673280944,5,Vanilla,E
57,1906,21.68363351900168,5,Vanilla,E
58,1907,22.45112721620426,5,Vanilla,E
59,1908,21.319323597179103,5,Vanilla,E
60,1909,22.782621592302753,5,Vanilla,E
61,1910,21.62392000107555,5,Vanilla,E
62,1911,21.885975366229054,5,Vanilla,E
63,1912,20.824107460595716,5,Vanilla,E
64,1913,22.402126793248115,5,Vanilla,E
65,1914,21.830333735145278,5,Vanilla,E
66,1915,21.498592185982368,5,Vanilla,E
67,1916,21.708679323995288,5,Vanilla,E
68,1917,22.844621353118985,5,Vanilla,E
69,1918,22.359929628466404,5,Vanilla,E
70,1919,21.041085945061262,5,Vanilla,E
71,1920,22.378402016766398,5,Vanilla,E
72,1921,21.907619840216746,5,Vanilla,E
73,1922,22.841875732580334,5,Vanilla,E
74,1923,21.56032155225578,5,Vanilla,E
75,1924,21.535196755729746,5,Vanilla,E
76,1925,21.966122172930618,5,Vanilla,E
77,1926,22.146311081253987,5,Vanilla,E
78,1927,22.643757367427153,5,Vanilla,E
79,1928,22.632879387135695,5,Vanilla,E
80,1929,22.25890312841453,5,Vanilla,E
81,1930,22.735670089414075,5,Vanilla,E
82,1931,22.142650121951174,5,Vanilla,E
83,1932,21.671981051565847,5,Vanilla,E
84,1933,21.772632667661433,5,Vanilla,E
85,1934,22.29328978657366,5,Vanilla,E
86,1935,21.453544111643687,5,Vanilla,E
87,1936,22.921389287916828,5,Vanilla,E
88,1937,22.668303887554504,5,Vanilla,E
89,1938,22.954961373535905,5,Vanilla,E
90,1939,22.20532476229611,5,Vanilla,E
91,1940,22.553874268623566,5,Vanilla,E
92,1941,22.33774988612778,5,Vanilla,E
93,1942,22.28083520209563,5,Vanilla,E
94,1943,23.12655315720288,5,Vanilla,E
95,1944,23.343095377957923,5,Vanilla,E
96,1945,22.681950283631377,5,Vanilla,E
97,1946,23.552543247121033,5,Vanilla,E
98,1947,22.427740178534577,5,Vanilla,E
99,1948,22.672888059770955,5,Vanilla,E
100,1949,22.84796100210642,5,Vanilla,E
101,1950,22.050652062439603,5,Vanilla,E
102,1951,22.930346829818887,5,Vanilla,E
103,1952,22.19573700379406,5,Vanilla,E
104,1953,22.494585006845554,5,Vanilla,E
105,1954,22.49938198700586,5,Vanilla,E
106,1955,23.15053856009012,5,Vanilla,E
107,1956,23.125122895650854,5,Vanilla,E
108,1957,23.489017029267302,5,Vanilla,E
109,1958,23.676774522289588,5,Vanilla,E
110,1959,22.587365698559292,5,Vanilla,E
