Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,35.28393182236864,6,Dandelion,F
2,1851,38.04431643755478,6,Dandelion,F
3,1852,40.109757844203926,7,Tangerine,G
4,1853,34.07533784325787,6,Dandelion,F
5,1854,34.666319767468174,6,Dandelion,F
6,1855,38.78168891031499,6,Dandelion,F
7,1856,35.60530361476839,6,Dandelion,F
8,1857,35.32722791178631,6,Dandelion,F
9,1858,35.158101424497985,6,Dandelion,F
10,1859,33.189213138352486,6,Dandelion,F
11,1860,38.112655071679235,6,Dandelion,F
12,1861,39.84172187450585,6,Dandelion,F
13,1862,34.63770977316742,6,Dandelion,F
14,1863,31.716721045442853,6,Dandelion,F
15,1864,31.04311004746906,6,Dandelion,F
16,1865,40.247845823121786,7,Tangerine,G
17,1866,36.80885678082869,6,Dandelion,F
18,1867,35.9750794112491,6,Dandelion,F
19,1868,32.277637299273714,6,Dandelion,F
20,1869,33.14361723744836,6,Dandelion,F
21,1870,37.422626106761264,6,Dandelion,F
22,1871,34.09547647868327,6,Dandelion,F
23,1872,34.312754515812735,6,Dandelion,F
24,1873,34.3339235279927,6,Dandelion,F
25,1874,34.10422442023762,6,Dandelion,F
26,1875,37.0999924842204,6,Dandelion,F
27,1876,35.08167294430714,6,Dandelion,F
28,1877,33.49373120342584,6,Dandelion,F
29,1878,36.48753245468015,6,Dandelion,F
30,1879,36.325930472884195,6,Dandelion,F
31,1880,35.16469258724287,6,Dandelion,F
32,1881,35.6250485395009,6,Dandelion,F
33,1882,37.627658620428356,6,Dandelion,F
34,1883,33.37259726755171,6,Dandelion,F
35,1884,33.35301266001712,6,Dandelion,F
36,1885,38.403029639975585,6,Dandelion,F
37,1886,37.07385006556593,6,Dandelion,F
38,1887,36.054643507696184,6,Dandelion,F
39,1888,31.316782802435,6,Dandelion,F
40,1889,36.64011404452947,6,Dandelion,F
41,1890,35.847337457814945,6,Dandelion,F
42,1891,38.36690335838587,6,Dandelion,F
43,1892,37.80990855908677,6,Dandelion,F
44,1893,38.1300247397826,6,Dandelion,F
45,1894,35.52032489511767,6,Dandelion,F
46,1895,37.055831215155216,6,Dandelion,F
47,1896,35.35531416929461,6,Dandelion,F
48,1897,37.52048462521363,6,Dandelion,F
49,1898,31.494782856187125,6,Dandelion,F
50,1899,35.169730081278075,6,Dandelion,F
51,1900,38.30662036544168,6,Dandelion,F
52,1901,35.32533843782831,6,Dandelion,F
53,1902,35.39525601478174,6,Dandelion,F
54,1903,37.2672354318468,6,Dandelion,F
55,1904,35.358494399210834,6,Dandelion,F
56,1905,38.68481279570517,6,Dandelion,F
57,1906,37.49297468939548,6,Dandelion,F
58,1907,39.38950004097605,6,Dandelion,F
59,1908,41.954688528095865,7,Tangerine,G
60,1909,36.847550482668545,6,Dandelion,F
61,1910,37.88940776481209,6,Dandelion,F
62,1911,37.353106449117675,6,Dandelion,F
63,1912,38.81811978533548,6,Dandelion,F
64,1913,36.699320422765034,6,Dandelion,F
65,1914,37.97472731321701,6,Dandelion,F
66,1915,38.76721597254247,6,Dandelion,F
67,1916,41.480174962356664,7,Tangerine,G
68,1917,35.05125480394663,6,Dandelion,F
69,1918,35.5471632624355,6,Dandelion,F
70,1919,34.151963756323816,6,Dandelion,F
71,1920,39.783676550876535,6,Dandelion,F
72,1921,39.21096529966498,6,Dandelion,F
73,1922,40.631391476419964,7,Tangerine,G
74,1923,33.36919808431083,6,Dandelion,F
75,1924,34.817455541380774,6,Dandelion,F
76,1925,32.98415781587322,6,Dandelion,F
77,1926,39.674361065151395,6,Dandelion,F
78,1927,39.39961921334875,6,Dandelion,F
79,1928,38.09734501895421,6,Dandelion,F
80,1929,39.05603552123143,6,Dandelion,F
81,1930,32.76044878643656,6,Dandelion,F
82,1931,37.40582857185387,6,Dandelion,F
83,1932,35.10189444246945,6,Dandelion,F
84,1933,36.44704558111291,6,Dandelion,F
85,1934,36.55207649472368,6,Dandelion,F
86,1935,35.73308548635052,6,Dandelion,F
87,1936,36.41177133563233,6,Dandelion,F
88,1937,42.55981068067822,7,Tangerine,G
89,1938,39.87315597669092,6,Dandelion,F
90,1939,38.338710787216776,6,Dandelion,F
91,1940,39.4964319685238,6,Dandelion,F
92,1941,41.36638351973987,7,Tangerine,G
93,1942,42.02990088627259,7,Tangerine,G
94,1943,39.98690484649883,6,Dandelion,F
95,1944,35.496679574360364,6,Dandelion,F
96,1945,38.13475131935739,6,Dandelion,F
97,1946,42.574375873932944,7,Tangerine,G
98,1947,41.34555567142767,7,Tangerine,G
99,1948,35.998229750064795,6,Dandelion,F
100,1949,40.66265627789945,7,Tangerine,G
101,1950,35.25088702530441,6,Dandelion,F
102,1951,33.657195157300336,6,Dandelion,F
103,1952,35.79805427147148,6,Dandelion,F
104,1953,39.87825372766186,6,Dandelion,F
105,1954,32.833538934358195,6,Dandelion,F
106,1955,40.09452381745246,7,Tangerine,G
107,1956,39.46231472966721,6,Dandelion,F
108,1957,37.11034144293042,6,Dandelion,F
109,1958,39.384596092669035,6,Dandelion,F
110,1959,40.013537484183175,7,Tangerine,G
111,1960,38.524579337881846,6,Dandelion,F
112,1961,36.66427100095471,6,Dandelion,F
113,1962,40.055642980435074,7,Tangerine,G
114,1963,38.08007375659458,6,Dandelion,F
115,1964,39.042569528706586,6,Dandelion,F
116,1965,37.660136787777134,6,Dandelion,F
117,1966,32.81404936506395,6,Dandelion,F
118,1967,41.42573134987514,7,Tangerine,G
119,1968,37.12186248565342,6,Dandelion,F
120,1969,39.376965983328944,6,Dandelion,F
121,1970,38.45728121295967,6,Dandelion,F
122,1971,39.10938208635671,6,Dandelion,F
123,1972,39.72840887224793,6,Dandelion,F
124,1973,39.27395110105512,6,Dandelion,F
125,1974,36.368936392027614,6,Dandelion,F
126,1975,40.209056788252965,7,Tangerine,G
127,1976,37.05160677311815,6,Dandelion,F
128,1977,41.77670606787984,7,Tangerine,G
129,1978,41.78631679276662,7,Tangerine,G
130,1979,39.96353434880993,6,Dandelion,F
131,1980,36.488950933369715,6,Dandelion,F
132,1981,41.16511484293354,7,Tangerine,G
133,1982,39.58150656183355,6,Dandelion,F
134,1983,45.35716277488933,7,Tangerine,G
135,1984,43.16282417490264,7,Tangerine,G
136,1985,44.01386801651492,7,Tangerine,G
137,1986,42.88539819751389,7,Tangerine,G
138,1987,43.10054778873919,7,Tangerine,G
139,1988,43.044987672579374,7,Tangerine,G
140,1989,38.19404091198037,6,Dandelion,F
141,1990,37.93343450827401,6,Dandelion,F
142,1991,40.99607315787548,7,Tangerine,G
143,1992,35.71944645980334,6,Dandelion,F
144,1993,37.31656451781248,6,Dandelion,F
145,1994,42.87667408510295,7,Tangerine,G
146,1995,41.03804700150159,7,Tangerine,G
147,1996,41.8280671173237,7,Tangerine,G
148,1997,41.41038541443671,7,Tangerine,G
149,1998,45.011080873478086,7,Tangerine,G
150,1999,43.13580470248017,7,Tangerine,G
151,2000,40.505848660977655,7,Tangerine,G
152,2001,33.63333511352539,6,Dandelion,F
153,2002,39.42499923706055,6,Dandelion,F
154,2003,37.625,6,Dandelion,F
155,2004,38.216670989990234,6,Dandelion,F
156,2005,40.099998474121094,7,Tangerine,G
157,2006,35.95000076293945,6,Dandelion,F
158,2007,44.18333435058594,7,Tangerine,G
159,2008,45.366668701171875,7,Tangerine,G
160,2009,37.116668701171875,6,Dandelion,F
161,2010,36.72500228881836,6,Dandelion,F
162,2011,40.0916633605957,7,Tangerine,G
163,2012,50.82499694824219,8,Mustard,H
164,2013,39.04999923706055,6,Dandelion,F
165,2014,39.733333587646484,6,Dandelion,F
166,2015,48.125,7,Tangerine,G
167,2016,43.45832824707031,7,Tangerine,G
168,2017,48.108333587646484,7,Tangerine,G
169,2018,41.70000076293945,7,Tangerine,G
170,2019,41.74166488647461,7,Tangerine,G
171,2020,41.400001525878906,7,Tangerine,G
172,2021,44.008331298828125,7,Tangerine,G
173,2022,41.44166946411133,7,Tangerine,G
