Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.911416989588615,3,CornflowerBlue,C
2,1851,11.820427281778885,3,CornflowerBlue,C
3,1852,12.254865885678376,3,CornflowerBlue,C
4,1853,12.143698263348794,3,CornflowerBlue,C
5,1854,12.18066717141549,3,CornflowerBlue,C
6,1855,11.846891897227028,3,CornflowerBlue,C
7,1856,11.945719063247465,3,CornflowerBlue,C
8,1857,11.944956723706676,3,CornflowerBlue,C
9,1858,12.130534359098613,3,CornflowerBlue,C
10,1859,13.207674165796599,3,CornflowerBlue,C
11,1860,12.018879444159793,3,CornflowerBlue,C
12,1861,11.874392102175728,3,CornflowerBlue,C
13,1862,11.493648735605566,3,CornflowerBlue,C
14,1863,13.090170834459105,3,CornflowerBlue,C
15,1864,13.425577402840528,3,CornflowerBlue,C
16,1865,12.24989399680971,3,CornflowerBlue,C
17,1866,12.126765896871536,3,CornflowerBlue,C
18,1867,12.073140031703355,3,CornflowerBlue,C
19,1868,11.856976646052791,3,CornflowerBlue,C
20,1869,12.27974463917549,3,CornflowerBlue,C
21,1870,11.96994277175777,3,CornflowerBlue,C
22,1871,12.715898086165994,3,CornflowerBlue,C
23,1872,11.941916585760076,3,CornflowerBlue,C
24,1873,12.956316699746619,3,CornflowerBlue,C
25,1874,12.867077096783301,3,CornflowerBlue,C
26,1875,12.816831675507014,3,CornflowerBlue,C
27,1876,12.727584619228395,3,CornflowerBlue,C
28,1877,12.818955738843188,3,CornflowerBlue,C
29,1878,14.189898697355728,3,CornflowerBlue,C
30,1879,12.300800308296992,3,CornflowerBlue,C
31,1880,12.872286846132429,3,CornflowerBlue,C
32,1881,11.739809077369753,3,CornflowerBlue,C
33,1882,12.600933531786232,3,CornflowerBlue,C
34,1883,13.014477558916438,3,CornflowerBlue,C
35,1884,13.208345727070473,3,CornflowerBlue,C
36,1885,12.000605829917994,3,CornflowerBlue,C
37,1886,12.617346676515458,3,CornflowerBlue,C
38,1887,13.495263918155691,3,CornflowerBlue,C
39,1888,12.827061462217724,3,CornflowerBlue,C
40,1889,13.040060802639113,3,CornflowerBlue,C
41,1890,12.673432437160429,3,CornflowerBlue,C
42,1891,13.49665185355823,3,CornflowerBlue,C
43,1892,13.370306312344734,3,CornflowerBlue,C
44,1893,12.197713092795482,3,CornflowerBlue,C
45,1894,12.48211253275782,3,CornflowerBlue,C
46,1895,13.13559891388855,3,CornflowerBlue,C
47,1896,13.082486146377258,3,CornflowerBlue,C
48,1897,14.072464025725926,3,CornflowerBlue,C
49,1898,13.119738135714474,3,CornflowerBlue,C
50,1899,12.701175681202564,3,CornflowerBlue,C
51,1900,12.16666487436399,3,CornflowerBlue,C
