Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,11.106756722184597,3,CornflowerBlue,C
2,1851,11.122823966997672,3,CornflowerBlue,C
3,1852,10.990799596572675,3,CornflowerBlue,C
4,1853,10.644228901215499,3,CornflowerBlue,C
5,1854,11.03501088678647,3,CornflowerBlue,C
6,1855,11.57185935712786,3,CornflowerBlue,C
7,1856,11.03986922261301,3,CornflowerBlue,C
8,1857,10.913190953241847,3,CornflowerBlue,C
9,1858,10.726912688258444,3,CornflowerBlue,C
10,1859,10.649982996716968,3,CornflowerBlue,C
11,1860,10.562366518913262,3,CornflowerBlue,C
12,1861,10.867513995937093,3,CornflowerBlue,C
13,1862,11.145981200177097,3,CornflowerBlue,C
14,1863,10.768100734627106,3,CornflowerBlue,C
15,1864,10.821419859613512,3,CornflowerBlue,C
16,1865,11.150824027082638,3,CornflowerBlue,C
17,1866,10.7052235438461,3,CornflowerBlue,C
18,1867,10.894024162786785,3,CornflowerBlue,C
19,1868,11.291404168521092,3,CornflowerBlue,C
20,1869,10.885223448783316,3,CornflowerBlue,C
21,1870,11.171711408770125,3,CornflowerBlue,C
22,1871,10.346339990300494,3,CornflowerBlue,C
23,1872,10.86553851523814,3,CornflowerBlue,C
24,1873,10.758844907864338,3,CornflowerBlue,C
25,1874,11.543855155132086,3,CornflowerBlue,C
26,1875,11.610006378476674,3,CornflowerBlue,C
27,1876,11.077789606684131,3,CornflowerBlue,C
28,1877,10.810819894902695,3,CornflowerBlue,C
29,1878,11.18607855559487,3,CornflowerBlue,C
30,1879,11.371246614078874,3,CornflowerBlue,C
31,1880,10.912909745025033,3,CornflowerBlue,C
32,1881,10.978118759391593,3,CornflowerBlue,C
33,1882,11.410670126238792,3,CornflowerBlue,C
34,1883,10.773303608454254,3,CornflowerBlue,C
35,1884,11.032493182857854,3,CornflowerBlue,C
36,1885,10.415474251308147,3,CornflowerBlue,C
37,1886,10.692363157836576,3,CornflowerBlue,C
38,1887,11.053514264196313,3,CornflowerBlue,C
39,1888,11.500336170926493,3,CornflowerBlue,C
40,1889,11.038059433582474,3,CornflowerBlue,C
41,1890,11.05544202336481,3,CornflowerBlue,C
42,1891,10.97140780930328,3,CornflowerBlue,C
43,1892,11.147417164173318,3,CornflowerBlue,C
44,1893,11.355642989338298,3,CornflowerBlue,C
45,1894,11.073316800534506,3,CornflowerBlue,C
46,1895,11.043118304269754,3,CornflowerBlue,C
47,1896,11.012936095817471,3,CornflowerBlue,C
48,1897,10.37703166395976,3,CornflowerBlue,C
49,1898,11.046871368732603,3,CornflowerBlue,C
50,1899,11.394420385802826,3,CornflowerBlue,C
51,1900,11.54954458125878,3,CornflowerBlue,C
52,1901,10.762892271084203,3,CornflowerBlue,C
53,1902,10.942783561154052,3,CornflowerBlue,C
54,1903,10.774595216508189,3,CornflowerBlue,C
55,1904,11.037224057667103,3,CornflowerBlue,C
56,1905,11.495112768257892,3,CornflowerBlue,C
57,1906,11.275327411503051,3,CornflowerBlue,C
58,1907,11.12975394529517,3,CornflowerBlue,C
