Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,48.684929926179464,7,Tangerine,G
2,1851,47.70327749331596,7,Tangerine,G
3,1852,55.022009962540004,8,Mustard,H
4,1853,51.743279650866704,8,Mustard,H
5,1854,48.42428731982935,7,Tangerine,G
6,1855,48.1493099753782,7,Tangerine,G
7,1856,49.249971431588115,7,Tangerine,G
8,1857,55.3849983652328,8,Mustard,H
9,1858,54.15251540796981,8,Mustard,H
10,1859,52.26034593560108,8,Mustard,H
11,1860,52.23466126334659,8,Mustard,H
12,1861,51.24800391198727,8,Mustard,H
13,1862,50.660117970810546,8,Mustard,H
14,1863,48.479584275501395,7,Tangerine,G
15,1864,50.50698888355713,8,Mustard,H
16,1865,51.287353228019754,8,Mustard,H
17,1866,51.45335726997457,8,Mustard,H
18,1867,51.50783361033544,8,Mustard,H
19,1868,49.140247922073186,7,Tangerine,G
20,1869,50.14856463412464,8,Mustard,H
21,1870,50.47765033565372,8,Mustard,H
22,1871,50.03518864467925,8,Mustard,H
23,1872,49.683611383297134,7,Tangerine,G
24,1873,50.133414920934484,8,Mustard,H
25,1874,48.77307019139752,7,Tangerine,G
26,1875,52.16470155422099,8,Mustard,H
27,1876,48.75961311408347,7,Tangerine,G
28,1877,52.474953210285534,8,Mustard,H
29,1878,49.56588322841605,7,Tangerine,G
30,1879,46.996195549766156,7,Tangerine,G
31,1880,49.28389410372773,7,Tangerine,G
32,1881,48.082633817133804,7,Tangerine,G
33,1882,48.317208094720286,7,Tangerine,G
34,1883,49.36976639571409,7,Tangerine,G
35,1884,50.419486669842776,8,Mustard,H
36,1885,52.518138207103206,8,Mustard,H
37,1886,51.742961119627935,8,Mustard,H
38,1887,53.6071825149854,8,Mustard,H
39,1888,55.88216946981605,8,Mustard,H
40,1889,50.567773498382984,8,Mustard,H
41,1890,54.331806475882985,8,Mustard,H
42,1891,51.937696686247214,8,Mustard,H
43,1892,52.903431561906885,8,Mustard,H
44,1893,50.76106681205989,8,Mustard,H
45,1894,49.78935966713938,7,Tangerine,G
46,1895,49.005393702771016,7,Tangerine,G
47,1896,53.60345311286556,8,Mustard,H
48,1897,49.46640933067585,7,Tangerine,G
49,1898,48.63181751299152,7,Tangerine,G
50,1899,52.9673110849385,8,Mustard,H
51,1900,53.431728756480936,8,Mustard,H
52,1901,50.737014685202,8,Mustard,H
53,1902,48.95739819883334,7,Tangerine,G
54,1903,48.249421994009715,7,Tangerine,G
55,1904,51.15330840594554,8,Mustard,H
56,1905,51.060754079174586,8,Mustard,H
57,1906,52.336858991699074,8,Mustard,H
58,1907,51.357100720329825,8,Mustard,H
59,1908,51.485926771419116,8,Mustard,H
60,1909,57.84645837819465,8,Mustard,H
61,1910,58.989681623025774,8,Mustard,H
62,1911,55.212915480399026,8,Mustard,H
63,1912,55.678837479412394,8,Mustard,H
64,1913,53.20864735428703,8,Mustard,H
65,1914,57.60631276959758,8,Mustard,H
66,1915,51.80298110610174,8,Mustard,H
67,1916,56.92632568161908,8,Mustard,H
68,1917,56.85726631110149,8,Mustard,H
69,1918,52.25930458726675,8,Mustard,H
70,1919,52.66901109925443,8,Mustard,H
71,1920,49.32732575841438,7,Tangerine,G
72,1921,55.95873877170033,8,Mustard,H
73,1922,55.15788152569395,8,Mustard,H
74,1923,55.42307956418142,8,Mustard,H
75,1924,52.59446911447204,8,Mustard,H
76,1925,56.7063339385119,8,Mustard,H
77,1926,56.581816722898424,8,Mustard,H
78,1927,55.18368417384734,8,Mustard,H
79,1928,54.33781697724698,8,Mustard,H
80,1929,56.736943641725105,8,Mustard,H
81,1930,54.18161102258197,8,Mustard,H
82,1931,58.16132165893186,8,Mustard,H
83,1932,55.880530968354996,8,Mustard,H
84,1933,56.89020868380173,8,Mustard,H
85,1934,55.43046647761775,8,Mustard,H
86,1935,58.4426368718572,8,Mustard,H
87,1936,56.139925360913054,8,Mustard,H
88,1937,53.745136486983206,8,Mustard,H
89,1938,59.54169934296951,8,Mustard,H
90,1939,59.00576568787554,8,Mustard,H
91,1940,55.42637514375091,8,Mustard,H
92,1941,57.0101433253775,8,Mustard,H
93,1942,59.70700205669197,8,Mustard,H
94,1943,62.7510450666122,9,Mauve,I
95,1944,61.59236155911362,9,Mauve,I
96,1945,62.739647111104425,9,Mauve,I
97,1946,62.92186440512888,9,Mauve,I
98,1947,60.29992182175944,9,Mauve,I
99,1948,60.407495932260396,9,Mauve,I
100,1949,59.926041775283466,8,Mustard,H
101,1950,57.950782910499086,8,Mustard,H
102,1951,55.910262310597,8,Mustard,H
103,1952,53.28904780947473,8,Mustard,H
104,1953,60.48605917416517,9,Mauve,I
105,1954,55.963696712858756,8,Mustard,H
106,1955,54.48140775252974,8,Mustard,H
107,1956,60.64326861475404,9,Mauve,I
108,1957,55.87711924620425,8,Mustard,H
109,1958,58.013938404390814,8,Mustard,H
110,1959,60.10531229805255,9,Mauve,I
111,1960,56.96020284909986,8,Mustard,H
112,1961,59.27999682554242,8,Mustard,H
113,1962,61.88101622524172,9,Mauve,I
114,1963,58.79385552002126,8,Mustard,H
115,1964,58.7729826534544,8,Mustard,H
116,1965,58.801718340514846,8,Mustard,H
117,1966,58.89298006873252,8,Mustard,H
118,1967,64.38162499343841,9,Mauve,I
119,1968,60.94613006419692,9,Mauve,I
120,1969,61.07941979114838,9,Mauve,I
121,1970,61.20479515997282,9,Mauve,I
122,1971,62.004114547777625,9,Mauve,I
