Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,30.736237734752656,6,Dandelion,F
2,1851,30.959568348130368,6,Dandelion,F
3,1852,29.871899521025835,5,Vanilla,E
4,1853,29.180393108681383,5,Vanilla,E
5,1854,28.75225981172472,5,Vanilla,E
6,1855,31.186705774273918,6,Dandelion,F
7,1856,30.87592217596437,6,Dandelion,F
8,1857,31.35696220395353,6,Dandelion,F
9,1858,30.646737526835146,6,Dandelion,F
10,1859,27.96116895670329,5,Vanilla,E
11,1860,30.22605134128027,6,Dandelion,F
12,1861,30.757982323816336,6,Dandelion,F
13,1862,29.79912948100541,5,Vanilla,E
14,1863,28.6069145335526,5,Vanilla,E
15,1864,27.952830272122238,5,Vanilla,E
16,1865,28.958905973824848,5,Vanilla,E
17,1866,32.17435022308718,6,Dandelion,F
18,1867,31.677757249596905,6,Dandelion,F
19,1868,30.769997685242277,6,Dandelion,F
20,1869,28.890626415626883,5,Vanilla,E
21,1870,28.284106580669068,5,Vanilla,E
22,1871,30.034350354340756,6,Dandelion,F
23,1872,29.8624856969012,5,Vanilla,E
24,1873,30.59216076870671,6,Dandelion,F
25,1874,30.615579119203364,6,Dandelion,F
26,1875,31.981236494247142,6,Dandelion,F
27,1876,28.485028428299152,5,Vanilla,E
28,1877,29.417348190627916,5,Vanilla,E
29,1878,30.388340202128276,6,Dandelion,F
30,1879,30.958448961498856,6,Dandelion,F
31,1880,30.404062759174366,6,Dandelion,F
32,1881,29.49686447714978,5,Vanilla,E
33,1882,33.322446715371804,6,Dandelion,F
34,1883,28.69303858094634,5,Vanilla,E
35,1884,26.65036358798998,5,Vanilla,E
36,1885,27.301410090150977,5,Vanilla,E
37,1886,30.850902009219986,6,Dandelion,F
38,1887,32.26284450641746,6,Dandelion,F
39,1888,33.44107358223247,6,Dandelion,F
40,1889,27.484424237835253,5,Vanilla,E
41,1890,28.347554072215832,5,Vanilla,E
42,1891,28.80111535086423,5,Vanilla,E
43,1892,31.855907942057808,6,Dandelion,F
44,1893,28.109910134529766,5,Vanilla,E
45,1894,29.6535940726934,5,Vanilla,E
46,1895,30.79523319530904,6,Dandelion,F
47,1896,29.084189875004608,5,Vanilla,E
48,1897,29.483264185971375,5,Vanilla,E
49,1898,28.828904677002676,5,Vanilla,E
50,1899,31.221338126973645,6,Dandelion,F
51,1900,33.420727421835224,6,Dandelion,F
52,1901,29.623858483870727,5,Vanilla,E
53,1902,32.59345956243413,6,Dandelion,F
54,1903,29.185511264589486,5,Vanilla,E
55,1904,29.365639862426704,5,Vanilla,E
56,1905,30.357349357385694,6,Dandelion,F
57,1906,30.48194341629561,6,Dandelion,F
58,1907,28.99681629906149,5,Vanilla,E
59,1908,29.25111165245936,5,Vanilla,E
60,1909,30.544052285996475,6,Dandelion,F
61,1910,31.612522931010627,6,Dandelion,F
62,1911,30.053233979236765,6,Dandelion,F
63,1912,29.848884023846285,5,Vanilla,E
64,1913,30.953365890113293,6,Dandelion,F
65,1914,28.74077070035995,5,Vanilla,E
66,1915,30.11868231893182,6,Dandelion,F
67,1916,33.08912220382371,6,Dandelion,F
68,1917,32.61562128692625,6,Dandelion,F
69,1918,29.400816028751933,5,Vanilla,E
70,1919,28.195987178305128,5,Vanilla,E
71,1920,30.794491015606855,6,Dandelion,F
72,1921,31.41184680388914,6,Dandelion,F
73,1922,29.99272971190324,5,Vanilla,E
74,1923,30.676169248972915,6,Dandelion,F
75,1924,28.222152737121295,5,Vanilla,E
76,1925,29.3913258116787,5,Vanilla,E
77,1926,27.03714495058884,5,Vanilla,E
78,1927,30.256237036312505,6,Dandelion,F
79,1928,28.68876906961864,5,Vanilla,E
80,1929,29.75877719489174,5,Vanilla,E
81,1930,30.303636517371164,6,Dandelion,F
82,1931,31.072568533031365,6,Dandelion,F
83,1932,32.42911816420629,6,Dandelion,F
84,1933,30.817988530171153,6,Dandelion,F
85,1934,29.093267856116753,5,Vanilla,E
86,1935,31.058774823917194,6,Dandelion,F
87,1936,29.416793773502672,5,Vanilla,E
88,1937,30.047555082003335,6,Dandelion,F
89,1938,31.113512519631215,6,Dandelion,F
90,1939,32.0143355928529,6,Dandelion,F
91,1940,28.235019300156264,5,Vanilla,E
92,1941,30.42648410406354,6,Dandelion,F
93,1942,27.96798854833681,5,Vanilla,E
94,1943,32.77233093881654,6,Dandelion,F
95,1944,31.811019547553045,6,Dandelion,F
96,1945,29.050511743311986,5,Vanilla,E
97,1946,31.04289059436343,6,Dandelion,F
98,1947,30.237170901914347,6,Dandelion,F
99,1948,28.17812477864127,5,Vanilla,E
100,1949,31.708856487127836,6,Dandelion,F
101,1950,32.127580382816234,6,Dandelion,F
