Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,28.618852817071854,5,Vanilla,E
2,1851,31.208006773076644,6,Dandelion,F
3,1852,30.217758477856695,6,Dandelion,F
4,1853,30.76709368718334,6,Dandelion,F
5,1854,31.468847559999826,6,Dandelion,F
6,1855,32.011402916282,6,Dandelion,F
7,1856,32.73034716810217,6,Dandelion,F
8,1857,31.565945085901067,6,Dandelion,F
9,1858,30.83533461821217,6,Dandelion,F
10,1859,30.82543497643813,6,Dandelion,F
11,1860,30.320088740712198,6,Dandelion,F
12,1861,31.632596875496024,6,Dandelion,F
13,1862,32.326256540751274,6,Dandelion,F
14,1863,33.216455703759564,6,Dandelion,F
15,1864,33.34896783164645,6,Dandelion,F
16,1865,29.433885979907444,5,Vanilla,E
17,1866,32.57258005000832,6,Dandelion,F
18,1867,31.96654391720629,6,Dandelion,F
19,1868,30.5939405623601,6,Dandelion,F
20,1869,28.911788090146434,5,Vanilla,E
21,1870,32.695728483562014,6,Dandelion,F
22,1871,32.824257880999326,6,Dandelion,F
23,1872,32.37289918125647,6,Dandelion,F
24,1873,33.35063150380621,6,Dandelion,F
25,1874,31.504810352168185,6,Dandelion,F
26,1875,31.650421723574556,6,Dandelion,F
27,1876,29.151762599338664,5,Vanilla,E
28,1877,32.54936570412294,6,Dandelion,F
29,1878,35.08532738421192,6,Dandelion,F
30,1879,32.40366532124946,6,Dandelion,F
31,1880,30.57290979324787,6,Dandelion,F
32,1881,31.543209450211535,6,Dandelion,F
33,1882,32.45771572628304,6,Dandelion,F
34,1883,30.5661931687889,6,Dandelion,F
35,1884,30.173646436029752,6,Dandelion,F
36,1885,29.816755299152025,5,Vanilla,E
37,1886,33.0125042005188,6,Dandelion,F
38,1887,34.35164269257245,6,Dandelion,F
39,1888,31.630942325913033,6,Dandelion,F
40,1889,29.879644385819756,5,Vanilla,E
41,1890,32.470022661600055,6,Dandelion,F
42,1891,32.199248857612616,6,Dandelion,F
43,1892,33.79293414250704,6,Dandelion,F
44,1893,30.254380753261678,6,Dandelion,F
45,1894,30.043513059463034,6,Dandelion,F
46,1895,34.077368899767464,6,Dandelion,F
47,1896,33.919629219410915,6,Dandelion,F
48,1897,32.044364441667504,6,Dandelion,F
49,1898,32.509148295029334,6,Dandelion,F
50,1899,32.6439099513655,6,Dandelion,F
51,1900,33.93248396687221,6,Dandelion,F
52,1901,32.819945107273305,6,Dandelion,F
53,1902,33.75238657879714,6,Dandelion,F
54,1903,31.456582450375937,6,Dandelion,F
55,1904,34.74503532516987,6,Dandelion,F
56,1905,33.18284844192923,6,Dandelion,F
57,1906,29.749556771277188,5,Vanilla,E
58,1907,33.52509034513529,6,Dandelion,F
59,1908,32.48557446964328,6,Dandelion,F
60,1909,34.924966181734696,6,Dandelion,F
61,1910,34.72508452525347,6,Dandelion,F
62,1911,30.157185483869437,6,Dandelion,F
63,1912,32.17818626070067,6,Dandelion,F
64,1913,31.090822626664657,6,Dandelion,F
65,1914,35.66300596012238,6,Dandelion,F
66,1915,32.88069201248434,6,Dandelion,F
67,1916,35.73927167851887,6,Dandelion,F
68,1917,33.825094075519246,6,Dandelion,F
69,1918,32.31452948458264,6,Dandelion,F
70,1919,30.07617127121147,6,Dandelion,F
71,1920,29.872050754546542,5,Vanilla,E
72,1921,32.81429229890031,6,Dandelion,F
73,1922,32.820531031026185,6,Dandelion,F
74,1923,31.286764782536146,6,Dandelion,F
75,1924,33.4276180786283,6,Dandelion,F
76,1925,28.179286891561745,5,Vanilla,E
77,1926,33.3150693928326,6,Dandelion,F
78,1927,30.219458043529517,6,Dandelion,F
79,1928,31.154510517109273,6,Dandelion,F
80,1929,32.64093569628468,6,Dandelion,F
81,1930,30.582485483320195,6,Dandelion,F
82,1931,35.777566671355714,6,Dandelion,F
83,1932,29.387693273029626,5,Vanilla,E
84,1933,30.0249989910014,6,Dandelion,F
85,1934,33.57751950072359,6,Dandelion,F
86,1935,30.43470327112583,6,Dandelion,F
87,1936,34.351849506441276,6,Dandelion,F
88,1937,33.91807429244181,6,Dandelion,F
89,1938,35.26625944740866,6,Dandelion,F
90,1939,32.40465590363124,6,Dandelion,F
91,1940,34.47389759206289,6,Dandelion,F
92,1941,33.99858160473545,6,Dandelion,F
93,1942,32.851244641923294,6,Dandelion,F
94,1943,33.09044413743248,6,Dandelion,F
95,1944,33.82642810716426,6,Dandelion,F
96,1945,34.565315894085984,6,Dandelion,F
97,1946,34.38985511524485,6,Dandelion,F
98,1947,35.23795676861722,6,Dandelion,F
99,1948,34.05176624168291,6,Dandelion,F
100,1949,36.87903449270515,6,Dandelion,F
101,1950,36.407625491054795,6,Dandelion,F
102,1951,34.44202910407178,6,Dandelion,F
103,1952,34.224607157800286,6,Dandelion,F
104,1953,35.12309727475741,6,Dandelion,F
105,1954,37.05143160328768,6,Dandelion,F
106,1955,39.515262709215335,6,Dandelion,F
107,1956,37.97807765415035,6,Dandelion,F
108,1957,34.52588302293474,6,Dandelion,F
109,1958,36.99103829104187,6,Dandelion,F
110,1959,35.62250189061484,6,Dandelion,F
111,1960,38.702044314399295,6,Dandelion,F
112,1961,37.9716899443699,6,Dandelion,F
113,1962,38.045809638013935,6,Dandelion,F
114,1963,38.02783458330478,6,Dandelion,F
115,1964,39.186554632180325,6,Dandelion,F
116,1965,40.18361253236792,7,Tangerine,G
117,1966,38.69432468585801,6,Dandelion,F
118,1967,41.336839438210234,7,Tangerine,G
119,1968,48.49664489349031,7,Tangerine,G
120,1969,48.91286101224772,7,Tangerine,G
121,1970,51.73742824049419,8,Mustard,H
122,1971,52.714836306005175,8,Mustard,H
123,1972,55.9932532057427,8,Mustard,H
124,1973,63.40143555367854,9,Mauve,I
125,1974,60.36326259597535,9,Mauve,I
126,1975,61.13637494796318,9,Mauve,I
127,1976,61.68769667398997,9,Mauve,I
128,1977,61.2720179105034,9,Mauve,I
129,1978,62.44320196636876,9,Mauve,I
130,1979,59.45481647233437,8,Mustard,H
131,1980,57.23850602211321,8,Mustard,H
132,1981,54.57069935386813,8,Mustard,H
133,1982,56.26548024828512,8,Mustard,H
134,1983,56.25574559855712,8,Mustard,H
135,1984,57.37952910901538,8,Mustard,H
136,1985,56.17140736553446,8,Mustard,H
137,1986,59.139423051000215,8,Mustard,H
138,1987,65.43344848184947,9,Mauve,I
139,1988,62.403417008034154,9,Mauve,I
140,1989,62.99983348430894,9,Mauve,I
141,1990,64.77450828683979,9,Mauve,I
142,1991,65.08813352179148,9,Mauve,I
143,1992,65.69031047243406,9,Mauve,I
144,1993,67.70696285178883,9,Mauve,I
145,1994,68.1675837801687,9,Mauve,I
146,1995,69.64445183145118,9,Mauve,I
147,1996,70.76122794302798,10,Brown,J
148,1997,73.42716843327878,10,Brown,J
149,1998,75.3472436087845,10,Brown,J
150,1999,74.42145204537447,10,Brown,J
151,2000,80.61602867655334,11,DarkPurple,K
152,2001,79.8666763305664,10,Brown,J
153,2002,78.98332977294922,10,Brown,J
154,2003,96.07500457763672,12,Black,L
155,2004,93.98333740234375,12,Black,L
156,2005,91.50833129882812,12,Black,L
157,2006,86.67501068115234,11,DarkPurple,K
158,2007,94.84166717529297,12,Black,L
159,2008,102.50833892822266,13,Black,L
160,2009,105.07500457763672,13,Black,L
