Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,17.686331983442088,4,LightYellow,D
2,1851,19.34425890750719,4,LightYellow,D
3,1852,16.03081700060909,4,LightYellow,D
4,1853,17.882062326554095,4,LightYellow,D
5,1854,17.664103227440517,4,LightYellow,D
6,1855,19.335641417222043,4,LightYellow,D
7,1856,17.672886265408188,4,LightYellow,D
8,1857,15.42858887793398,4,LightYellow,D
9,1858,17.288348354828912,4,LightYellow,D
10,1859,15.287932989474696,4,LightYellow,D
11,1860,18.61780234404112,4,LightYellow,D
12,1861,17.269661215804177,4,LightYellow,D
13,1862,19.643062107549962,4,LightYellow,D
14,1863,17.468293225446512,4,LightYellow,D
15,1864,20.499800125179284,5,Vanilla,E
16,1865,17.59054875369221,4,LightYellow,D
17,1866,18.002116001364257,4,LightYellow,D
18,1867,16.673283773965963,4,LightYellow,D
19,1868,20.081338573935867,5,Vanilla,E
20,1869,20.166974559835875,5,Vanilla,E
21,1870,18.724175431974988,4,LightYellow,D
22,1871,15.182207135201686,4,LightYellow,D
23,1872,16.83457037999939,4,LightYellow,D
24,1873,19.995563612341993,4,LightYellow,D
25,1874,19.56675392273091,4,LightYellow,D
26,1875,19.417241758317086,4,LightYellow,D
27,1876,18.0556603540743,4,LightYellow,D
28,1877,18.8845704819565,4,LightYellow,D
29,1878,17.988485694120588,4,LightYellow,D
30,1879,18.027127129325617,4,LightYellow,D
31,1880,19.31584453033345,4,LightYellow,D
32,1881,19.1775594790671,4,LightYellow,D
33,1882,22.42130445982306,5,Vanilla,E
34,1883,18.246759646981467,4,LightYellow,D
35,1884,16.009567126389662,4,LightYellow,D
36,1885,17.060501381097314,4,LightYellow,D
37,1886,18.694565776986007,4,LightYellow,D
38,1887,17.831283088839452,4,LightYellow,D
39,1888,20.87047236764614,5,Vanilla,E
40,1889,15.712314259281316,4,LightYellow,D
41,1890,16.355954076369663,4,LightYellow,D
42,1891,18.281367935543397,4,LightYellow,D
43,1892,20.12229280221885,5,Vanilla,E
