Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.71530692089173,4,LightYellow,D
2,1851,15.60677882596553,4,LightYellow,D
3,1852,16.07604796600592,4,LightYellow,D
4,1853,16.40220992302267,4,LightYellow,D
5,1854,17.02691804396899,4,LightYellow,D
6,1855,17.00180779662896,4,LightYellow,D
7,1856,17.609367879028444,4,LightYellow,D
8,1857,17.137236327496076,4,LightYellow,D
9,1858,16.369207412730184,4,LightYellow,D
10,1859,17.357149849385145,4,LightYellow,D
11,1860,17.949569506847702,4,LightYellow,D
12,1861,18.62477235184402,4,LightYellow,D
13,1862,18.845255451288367,4,LightYellow,D
14,1863,18.31735588398878,4,LightYellow,D
15,1864,19.12385800924639,4,LightYellow,D
16,1865,19.21421432351385,4,LightYellow,D
17,1866,19.093141767608365,4,LightYellow,D
18,1867,18.805670345197914,4,LightYellow,D
19,1868,19.52847157525238,4,LightYellow,D
20,1869,20.37193038852896,5,Vanilla,E
21,1870,20.73983790943096,5,Vanilla,E
22,1871,19.44300316475217,4,LightYellow,D
23,1872,20.283762075724717,5,Vanilla,E
24,1873,20.40091258837246,5,Vanilla,E
25,1874,20.445259362254586,5,Vanilla,E
26,1875,19.706255969151993,4,LightYellow,D
27,1876,20.359476402707266,5,Vanilla,E
28,1877,21.12095407850925,5,Vanilla,E
29,1878,21.07528244512858,5,Vanilla,E
30,1879,20.216345044457903,5,Vanilla,E
31,1880,21.09615551783289,5,Vanilla,E
32,1881,22.75931083513626,5,Vanilla,E
33,1882,22.42080223625904,5,Vanilla,E
34,1883,21.85728740876536,5,Vanilla,E
35,1884,21.071180721902586,5,Vanilla,E
36,1885,20.557260827960157,5,Vanilla,E
37,1886,21.56996886381745,5,Vanilla,E
38,1887,21.383693451590364,5,Vanilla,E
39,1888,20.697877929768957,5,Vanilla,E
40,1889,23.203706936726586,5,Vanilla,E
41,1890,22.761569342450727,5,Vanilla,E
42,1891,23.626522743141585,5,Vanilla,E
