Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,4.542751676724381,1,LightTurquoise,A
2,1851,4.3408214382197,1,LightTurquoise,A
3,1852,4.5803008783768,1,LightTurquoise,A
4,1853,4.695509208144875,1,LightTurquoise,A
5,1854,4.438105832344135,1,LightTurquoise,A
6,1855,4.484913223065383,1,LightTurquoise,A
7,1856,4.65830478225308,1,LightTurquoise,A
8,1857,4.432160393578676,1,LightTurquoise,A
9,1858,4.345208047501577,1,LightTurquoise,A
10,1859,4.607850956344302,1,LightTurquoise,A
11,1860,4.695223011157051,1,LightTurquoise,A
12,1861,4.5273138670887185,1,LightTurquoise,A
13,1862,4.694385279680002,1,LightTurquoise,A
14,1863,4.494910441767718,1,LightTurquoise,A
15,1864,4.535448991705944,1,LightTurquoise,A
16,1865,4.7669083269294195,1,LightTurquoise,A
17,1866,4.430309692519531,1,LightTurquoise,A
18,1867,4.4770901818279585,1,LightTurquoise,A
19,1868,4.383382413249399,1,LightTurquoise,A
20,1869,4.540538390796205,1,LightTurquoise,A
21,1870,4.33150941248405,1,LightTurquoise,A
22,1871,4.527595995274911,1,LightTurquoise,A
23,1872,4.358564147450182,1,LightTurquoise,A
24,1873,4.483597077063674,1,LightTurquoise,A
25,1874,4.279635481804538,1,LightTurquoise,A
26,1875,4.284535327908638,1,LightTurquoise,A
27,1876,4.825136405919301,1,LightTurquoise,A
28,1877,4.299438114431093,1,LightTurquoise,A
29,1878,4.568835353211265,1,LightTurquoise,A
30,1879,4.488727597942066,1,LightTurquoise,A
31,1880,4.4244072773355905,1,LightTurquoise,A
32,1881,4.688884145191803,1,LightTurquoise,A
33,1882,4.2907614355465755,1,LightTurquoise,A
34,1883,4.454438983761821,1,LightTurquoise,A
35,1884,4.440817226338368,1,LightTurquoise,A
36,1885,4.45271893514344,1,LightTurquoise,A
37,1886,4.612032787435381,1,LightTurquoise,A
38,1887,4.427834437803926,1,LightTurquoise,A
39,1888,4.563387484514423,1,LightTurquoise,A
40,1889,4.495894460562449,1,LightTurquoise,A
41,1890,4.431758263547823,1,LightTurquoise,A
42,1891,4.486441677263398,1,LightTurquoise,A
43,1892,4.525750916512879,1,LightTurquoise,A
44,1893,4.577973647634903,1,LightTurquoise,A
45,1894,4.444639954662106,1,LightTurquoise,A
46,1895,4.386051367404463,1,LightTurquoise,A
47,1896,4.247050517048359,1,LightTurquoise,A
48,1897,4.528030651493758,1,LightTurquoise,A
49,1898,4.3345264006031,1,LightTurquoise,A
50,1899,4.45624880704634,1,LightTurquoise,A
51,1900,4.487425339171444,1,LightTurquoise,A
52,1901,4.687290550800222,1,LightTurquoise,A
53,1902,5.1070479697654765,2,PowderBlue,B
54,1903,4.896008744139269,1,LightTurquoise,A
55,1904,5.182596057516864,2,PowderBlue,B
56,1905,5.253043380957731,2,PowderBlue,B
57,1906,5.940871723860308,2,PowderBlue,B
58,1907,6.119235863233287,2,PowderBlue,B
59,1908,6.094130284522487,2,PowderBlue,B
60,1909,6.191753249675058,2,PowderBlue,B
61,1910,6.482243869978838,2,PowderBlue,B
62,1911,6.527471294153846,2,PowderBlue,B
63,1912,6.834899115307208,2,PowderBlue,B
64,1913,7.275480913108334,2,PowderBlue,B
65,1914,7.143426427268997,2,PowderBlue,B
66,1915,7.580458105253972,2,PowderBlue,B
67,1916,7.263567881021872,2,PowderBlue,B
68,1917,7.428562704463348,2,PowderBlue,B
69,1918,7.810724873379136,2,PowderBlue,B
70,1919,7.331020759084726,2,PowderBlue,B
71,1920,7.776017295318923,2,PowderBlue,B
72,1921,7.395800678601211,2,PowderBlue,B
73,1922,7.271384110585423,2,PowderBlue,B
74,1923,8.239402721583962,2,PowderBlue,B
75,1924,7.817427776129375,2,PowderBlue,B
76,1925,7.922597333195178,2,PowderBlue,B
77,1926,7.612041130046806,2,PowderBlue,B
78,1927,8.102252653028046,2,PowderBlue,B
79,1928,8.13743709193079,2,PowderBlue,B
80,1929,8.114364679933638,2,PowderBlue,B
81,1930,8.4444819979077,2,PowderBlue,B
82,1931,7.6091152832318665,2,PowderBlue,B
83,1932,7.599442235099019,2,PowderBlue,B
84,1933,7.748203142303883,2,PowderBlue,B
85,1934,8.005401870931555,2,PowderBlue,B
