Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.346050711812964,3,CornflowerBlue,C
2,1851,12.548074280617577,3,CornflowerBlue,C
3,1852,13.65594616227405,3,CornflowerBlue,C
4,1853,13.334717557577676,3,CornflowerBlue,C
5,1854,12.400692887381727,3,CornflowerBlue,C
6,1855,13.01138465071152,3,CornflowerBlue,C
7,1856,13.836764344525282,3,CornflowerBlue,C
8,1857,13.120974256800437,3,CornflowerBlue,C
9,1858,12.744904322943382,3,CornflowerBlue,C
10,1859,14.220032153359673,3,CornflowerBlue,C
11,1860,12.611565300555805,3,CornflowerBlue,C
12,1861,14.478231829355336,3,CornflowerBlue,C
13,1862,13.957890559951041,3,CornflowerBlue,C
14,1863,13.347752017413598,3,CornflowerBlue,C
15,1864,14.958304206600204,3,CornflowerBlue,C
16,1865,14.071905939007419,3,CornflowerBlue,C
17,1866,14.49900582662142,3,CornflowerBlue,C
18,1867,13.91339784560939,3,CornflowerBlue,C
19,1868,14.565090742172512,3,CornflowerBlue,C
20,1869,13.92718764088962,3,CornflowerBlue,C
21,1870,14.200598495973521,3,CornflowerBlue,C
22,1871,14.237549113733994,3,CornflowerBlue,C
23,1872,13.67678856390665,3,CornflowerBlue,C
24,1873,14.60036972720003,3,CornflowerBlue,C
25,1874,13.756039990706448,3,CornflowerBlue,C
26,1875,14.664075938105047,3,CornflowerBlue,C
27,1876,14.599068916288404,3,CornflowerBlue,C
28,1877,14.719635664548264,3,CornflowerBlue,C
29,1878,14.305965098084156,3,CornflowerBlue,C
30,1879,13.775352887392398,3,CornflowerBlue,C
31,1880,14.84237625827216,3,CornflowerBlue,C
32,1881,14.661189955546956,3,CornflowerBlue,C
33,1882,14.797881604451758,3,CornflowerBlue,C
34,1883,14.623293916459257,3,CornflowerBlue,C
35,1884,15.051044195097479,4,LightYellow,D
36,1885,15.557680166957804,4,LightYellow,D
37,1886,15.58873011960475,4,LightYellow,D
38,1887,15.540619118356815,4,LightYellow,D
39,1888,15.553366787711267,4,LightYellow,D
40,1889,15.609760845338423,4,LightYellow,D
41,1890,15.013350999064505,4,LightYellow,D
42,1891,15.759456338693456,4,LightYellow,D
43,1892,14.931310920152548,3,CornflowerBlue,C
44,1893,15.098952829811573,4,LightYellow,D
45,1894,16.333604490383916,4,LightYellow,D
46,1895,16.25459197519391,4,LightYellow,D
47,1896,15.124224627408276,4,LightYellow,D
48,1897,16.73443065522287,4,LightYellow,D
49,1898,15.814559447295613,4,LightYellow,D
50,1899,16.774184468674576,4,LightYellow,D
51,1900,16.72347021413601,4,LightYellow,D
52,1901,17.503167196952973,4,LightYellow,D
53,1902,16.793860127155753,4,LightYellow,D
54,1903,17.13270743114515,4,LightYellow,D
55,1904,17.176942829453786,4,LightYellow,D
56,1905,17.882102526789367,4,LightYellow,D
57,1906,17.176468023836904,4,LightYellow,D
58,1907,19.17594173886201,4,LightYellow,D
59,1908,19.231615164757464,4,LightYellow,D
60,1909,18.296520752834297,4,LightYellow,D
61,1910,18.892378712744282,4,LightYellow,D
62,1911,18.29166679682804,4,LightYellow,D
63,1912,18.92191170461076,4,LightYellow,D
64,1913,19.221077294059643,4,LightYellow,D
65,1914,18.161901451429376,4,LightYellow,D
66,1915,17.308967546236953,4,LightYellow,D
67,1916,18.393427353662727,4,LightYellow,D
68,1917,16.259736087784717,4,LightYellow,D
69,1918,17.04149460252262,4,LightYellow,D
70,1919,17.069356214002052,4,LightYellow,D
71,1920,17.18425643984001,4,LightYellow,D
72,1921,16.51488243892804,4,LightYellow,D
73,1922,17.110556146374204,4,LightYellow,D
74,1923,17.033235555249064,4,LightYellow,D
75,1924,18.85332969780969,4,LightYellow,D
