Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,8.388863494861573,2,PowderBlue,B
2,1851,8.68568057293552,2,PowderBlue,B
3,1852,8.484910726951151,2,PowderBlue,B
4,1853,8.49318463120195,2,PowderBlue,B
5,1854,8.987726029916761,2,PowderBlue,B
6,1855,8.761465990476005,2,PowderBlue,B
7,1856,8.195837963361276,2,PowderBlue,B
8,1857,8.868668365182547,2,PowderBlue,B
9,1858,9.305289265766916,2,PowderBlue,B
10,1859,8.057345246820935,2,PowderBlue,B
11,1860,8.656003935731981,2,PowderBlue,B
12,1861,8.68712910821266,2,PowderBlue,B
13,1862,8.601960226335533,2,PowderBlue,B
14,1863,8.116142408523075,2,PowderBlue,B
15,1864,8.556714713469583,2,PowderBlue,B
16,1865,8.28041169853671,2,PowderBlue,B
17,1866,8.458113033373603,2,PowderBlue,B
18,1867,8.387669786204388,2,PowderBlue,B
19,1868,8.568714198345276,2,PowderBlue,B
20,1869,8.959498915825998,2,PowderBlue,B
21,1870,8.388585783337097,2,PowderBlue,B
22,1871,9.050263685921605,2,PowderBlue,B
23,1872,8.322892259169423,2,PowderBlue,B
24,1873,8.768951483493266,2,PowderBlue,B
25,1874,9.022842696596904,2,PowderBlue,B
26,1875,8.934582747225605,2,PowderBlue,B
27,1876,8.368412867693252,2,PowderBlue,B
28,1877,8.38992032504301,2,PowderBlue,B
29,1878,9.254425043036935,2,PowderBlue,B
30,1879,8.7601929411142,2,PowderBlue,B
31,1880,8.515015120696349,2,PowderBlue,B
32,1881,8.93576321799258,2,PowderBlue,B
33,1882,8.456830916728538,2,PowderBlue,B
34,1883,8.658166136659831,2,PowderBlue,B
35,1884,8.742767891219064,2,PowderBlue,B
36,1885,8.420447258590345,2,PowderBlue,B
37,1886,8.633766404493372,2,PowderBlue,B
38,1887,9.063570647536288,2,PowderBlue,B
39,1888,9.04912295673211,2,PowderBlue,B
40,1889,8.567141178261885,2,PowderBlue,B
41,1890,8.87053945242482,2,PowderBlue,B
42,1891,8.888360295158643,2,PowderBlue,B
43,1892,8.678054172214694,2,PowderBlue,B
44,1893,9.008299719213435,2,PowderBlue,B
45,1894,8.868630154409626,2,PowderBlue,B
46,1895,9.110330080482896,2,PowderBlue,B
47,1896,8.138866782271146,2,PowderBlue,B
48,1897,9.169150222643145,2,PowderBlue,B
49,1898,9.402181035317618,2,PowderBlue,B
50,1899,8.763543250684139,2,PowderBlue,B
51,1900,8.698442559445729,2,PowderBlue,B
52,1901,8.82899497851838,2,PowderBlue,B
53,1902,9.107349428203838,2,PowderBlue,B
54,1903,8.968143539151999,2,PowderBlue,B
55,1904,9.167983279095868,2,PowderBlue,B
56,1905,8.981408533510152,2,PowderBlue,B
57,1906,9.19748035954087,2,PowderBlue,B
58,1907,9.419422656146272,2,PowderBlue,B
59,1908,9.560937192926541,2,PowderBlue,B
60,1909,9.189305328040648,2,PowderBlue,B
61,1910,9.141634163686867,2,PowderBlue,B
62,1911,9.789782077781151,2,PowderBlue,B
63,1912,9.283533202894192,2,PowderBlue,B
64,1913,9.590359159556659,2,PowderBlue,B
65,1914,9.9435560028406,2,PowderBlue,B
66,1915,9.47652775032013,2,PowderBlue,B
67,1916,9.195225317466099,2,PowderBlue,B
68,1917,9.784869411870636,2,PowderBlue,B
69,1918,9.940680167349507,2,PowderBlue,B
70,1919,9.091909912384102,2,PowderBlue,B
71,1920,9.519107105425952,2,PowderBlue,B
72,1921,9.66951903468767,2,PowderBlue,B
73,1922,9.581717861983643,2,PowderBlue,B
74,1923,10.191365318784339,3,CornflowerBlue,C
75,1924,9.632614376962596,2,PowderBlue,B
76,1925,9.632797078877111,2,PowderBlue,B
77,1926,10.09828278535442,3,CornflowerBlue,C
78,1927,9.663150989337872,2,PowderBlue,B
79,1928,9.384447656175386,2,PowderBlue,B
80,1929,9.55524237252535,2,PowderBlue,B
81,1930,9.900950980330384,2,PowderBlue,B
82,1931,9.161641155248041,2,PowderBlue,B
83,1932,9.706742058412345,2,PowderBlue,B
84,1933,9.430800875677415,2,PowderBlue,B
85,1934,10.098562514667792,3,CornflowerBlue,C
86,1935,9.875583263979296,2,PowderBlue,B
87,1936,10.21770854134357,3,CornflowerBlue,C
88,1937,10.322946599399737,3,CornflowerBlue,C
89,1938,10.0629554795075,3,CornflowerBlue,C
90,1939,10.365455094264169,3,CornflowerBlue,C
91,1940,10.955421407582216,3,CornflowerBlue,C
92,1941,10.570474487483036,3,CornflowerBlue,C
93,1942,10.545563075217451,3,CornflowerBlue,C
94,1943,10.809263973121952,3,CornflowerBlue,C
95,1944,10.427153694212691,3,CornflowerBlue,C
96,1945,11.117086536161906,3,CornflowerBlue,C
97,1946,9.774277100733197,2,PowderBlue,B
98,1947,10.854387125748884,3,CornflowerBlue,C
99,1948,11.266528316426157,3,CornflowerBlue,C
100,1949,10.491351508119932,3,CornflowerBlue,C
101,1950,11.537557143763225,3,CornflowerBlue,C
102,1951,11.196284572712456,3,CornflowerBlue,C
103,1952,10.64701108752917,3,CornflowerBlue,C
104,1953,11.20688302186225,3,CornflowerBlue,C
105,1954,11.002240834371554,3,CornflowerBlue,C
106,1955,12.351328569758165,3,CornflowerBlue,C
107,1956,12.273236130065113,3,CornflowerBlue,C
108,1957,13.033493741659434,3,CornflowerBlue,C
109,1958,11.593392947650049,3,CornflowerBlue,C
110,1959,11.748925485378463,3,CornflowerBlue,C
111,1960,11.32821113375668,3,CornflowerBlue,C
112,1961,11.049295633654204,3,CornflowerBlue,C
113,1962,12.34891904894636,3,CornflowerBlue,C
114,1963,12.082995123117627,3,CornflowerBlue,C
115,1964,11.525746971636208,3,CornflowerBlue,C
116,1965,11.406738396077113,3,CornflowerBlue,C
117,1966,11.505863428011818,3,CornflowerBlue,C
118,1967,13.003740385065756,3,CornflowerBlue,C
119,1968,12.209766851434578,3,CornflowerBlue,C
120,1969,12.802420706736608,3,CornflowerBlue,C
121,1970,12.580190426276294,3,CornflowerBlue,C
122,1971,12.725905726164124,3,CornflowerBlue,C
123,1972,13.299811444128887,3,CornflowerBlue,C
124,1973,13.271251923550729,3,CornflowerBlue,C
125,1974,13.1064978793708,3,CornflowerBlue,C
126,1975,13.28636534563034,3,CornflowerBlue,C
127,1976,13.560042987420672,3,CornflowerBlue,C
128,1977,13.85023141651232,3,CornflowerBlue,C
129,1978,14.710963485262578,3,CornflowerBlue,C
130,1979,13.752957221317219,3,CornflowerBlue,C
131,1980,14.825420987785368,3,CornflowerBlue,C
