Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,18.56252196631002,4,LightYellow,D
2,1851,18.94352117409576,4,LightYellow,D
3,1852,18.796496737263134,4,LightYellow,D
4,1853,18.760367843205493,4,LightYellow,D
5,1854,20.61597082755064,5,Vanilla,E
6,1855,20.84557173759189,5,Vanilla,E
7,1856,20.847560958485037,5,Vanilla,E
8,1857,22.01586400601242,5,Vanilla,E
9,1858,20.830142086478865,5,Vanilla,E
10,1859,20.418009060687293,5,Vanilla,E
11,1860,21.608421981249155,5,Vanilla,E
12,1861,23.54710864786655,5,Vanilla,E
13,1862,22.777773968852646,5,Vanilla,E
14,1863,22.591716115931014,5,Vanilla,E
15,1864,23.872532886143837,5,Vanilla,E
16,1865,23.263414003618166,5,Vanilla,E
17,1866,23.9159923748285,5,Vanilla,E
18,1867,23.575764280475347,5,Vanilla,E
19,1868,24.47155971127313,5,Vanilla,E
20,1869,24.65233778330401,5,Vanilla,E
21,1870,24.761208545170476,5,Vanilla,E
22,1871,24.58138201537012,5,Vanilla,E
23,1872,24.29467535595064,5,Vanilla,E
24,1873,25.016841356659437,5,Vanilla,E
25,1874,25.570087732077702,5,Vanilla,E
26,1875,24.888883680230173,5,Vanilla,E
27,1876,25.562425362109263,5,Vanilla,E
28,1877,27.12321584355891,5,Vanilla,E
29,1878,25.17488030505803,5,Vanilla,E
30,1879,24.60987341508805,5,Vanilla,E
31,1880,26.69710390681512,5,Vanilla,E
32,1881,26.87642536186183,5,Vanilla,E
33,1882,28.810661039187305,5,Vanilla,E
34,1883,27.012506307306758,5,Vanilla,E
35,1884,26.898838068708912,5,Vanilla,E
36,1885,28.676540440125294,5,Vanilla,E
37,1886,27.289777196922813,5,Vanilla,E
38,1887,26.27479983239186,5,Vanilla,E
39,1888,26.32415415384118,5,Vanilla,E
40,1889,28.49341259416813,5,Vanilla,E
41,1890,29.206296834008203,5,Vanilla,E
42,1891,29.619880427561124,5,Vanilla,E
43,1892,28.677838885954664,5,Vanilla,E
44,1893,28.389884834702272,5,Vanilla,E
45,1894,29.509303164581475,5,Vanilla,E
46,1895,29.75652827000106,5,Vanilla,E
47,1896,28.2944277903989,5,Vanilla,E
48,1897,31.232042554266776,6,Dandelion,F
49,1898,33.01447011901996,6,Dandelion,F
50,1899,31.575463561466464,6,Dandelion,F
51,1900,34.263884649520925,6,Dandelion,F
52,1901,30.93495360836127,6,Dandelion,F
53,1902,31.7739532594504,6,Dandelion,F
54,1903,30.840212821711354,6,Dandelion,F
55,1904,33.213867996947414,6,Dandelion,F
56,1905,33.5041288038707,6,Dandelion,F
57,1906,33.63535666250701,6,Dandelion,F
58,1907,34.600041074005226,6,Dandelion,F
59,1908,36.12096553219509,6,Dandelion,F
60,1909,34.17805503346896,6,Dandelion,F
61,1910,37.076382271641315,6,Dandelion,F
62,1911,34.76703089276524,6,Dandelion,F
63,1912,37.568959018436935,6,Dandelion,F
64,1913,35.53062665811102,6,Dandelion,F
65,1914,31.80332243508669,6,Dandelion,F
66,1915,28.592483533179465,5,Vanilla,E
67,1916,31.193637331136006,6,Dandelion,F
68,1917,29.510694647776273,5,Vanilla,E
69,1918,28.510640149275723,5,Vanilla,E
70,1919,29.91817523382754,5,Vanilla,E
71,1920,31.862789867953445,6,Dandelion,F
72,1921,29.020457510470234,5,Vanilla,E
73,1922,32.01697657269267,6,Dandelion,F
74,1923,31.83829945656262,6,Dandelion,F
75,1924,34.678397711192225,6,Dandelion,F
76,1925,35.02997155566786,6,Dandelion,F
77,1926,31.67748661567066,6,Dandelion,F
78,1927,36.04757562648357,6,Dandelion,F
79,1928,35.10761941026617,6,Dandelion,F
80,1929,36.799986785212546,6,Dandelion,F
81,1930,38.83118608407057,6,Dandelion,F
82,1931,35.51476180759448,6,Dandelion,F
83,1932,33.437078645089606,6,Dandelion,F
84,1933,32.69622543241827,6,Dandelion,F
85,1934,34.880016297706646,6,Dandelion,F
86,1935,35.11112367706128,6,Dandelion,F
87,1936,33.9134628530997,6,Dandelion,F
88,1937,36.153678432337024,6,Dandelion,F
89,1938,38.49263413445406,6,Dandelion,F
90,1939,36.284100895007306,6,Dandelion,F
91,1940,34.35604248975101,6,Dandelion,F
92,1941,31.55769794118814,6,Dandelion,F
93,1942,31.334950143388117,6,Dandelion,F
94,1943,32.32787928423971,6,Dandelion,F
95,1944,27.346217673696053,5,Vanilla,E
96,1945,24.10065081826265,5,Vanilla,E
97,1946,28.03851651651813,5,Vanilla,E
98,1947,34.15989625293785,6,Dandelion,F
99,1948,33.69369564329258,6,Dandelion,F
100,1949,33.579425256486275,6,Dandelion,F
101,1950,35.91732354204112,6,Dandelion,F
102,1951,36.34327295561101,6,Dandelion,F
103,1952,34.74962586483149,6,Dandelion,F
104,1953,33.405039486230706,6,Dandelion,F
105,1954,35.72164909568189,6,Dandelion,F
106,1955,36.792714185939076,6,Dandelion,F
107,1956,35.49616458376001,6,Dandelion,F
108,1957,39.14155914500211,6,Dandelion,F
109,1958,34.600119310248886,6,Dandelion,F
110,1959,33.65379432958173,6,Dandelion,F
111,1960,37.44359329475987,6,Dandelion,F
112,1961,39.13201465045348,6,Dandelion,F
113,1962,40.153689416878365,7,Tangerine,G
114,1963,39.9693936663405,6,Dandelion,F
115,1964,38.505124818466264,6,Dandelion,F
116,1965,40.96748798258233,7,Tangerine,G
117,1966,35.97264314874318,6,Dandelion,F
118,1967,35.906199368773784,6,Dandelion,F
119,1968,35.506159149142746,6,Dandelion,F
120,1969,35.06731910127562,6,Dandelion,F
121,1970,32.960984990606505,6,Dandelion,F
122,1971,30.637410388591864,6,Dandelion,F
123,1972,30.87705505873861,6,Dandelion,F
124,1973,30.3161143706056,6,Dandelion,F
125,1974,32.21749042220685,6,Dandelion,F
126,1975,26.874524905674498,5,Vanilla,E
127,1976,26.31767111838049,5,Vanilla,E
128,1977,28.572506794389643,5,Vanilla,E
129,1978,29.299054799969234,5,Vanilla,E
130,1979,28.265083960584754,5,Vanilla,E
131,1980,30.129061946064187,6,Dandelion,F
132,1981,27.6982756992467,5,Vanilla,E
133,1982,25.60604122605875,5,Vanilla,E
134,1983,26.306908751958993,5,Vanilla,E
135,1984,24.160513068234668,5,Vanilla,E
136,1985,24.774291066148713,5,Vanilla,E
137,1986,24.899163770948984,5,Vanilla,E
