Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,15.54102410836303,4,LightYellow,D
2,1851,14.682986265444688,3,CornflowerBlue,C
3,1852,15.184126948783417,4,LightYellow,D
4,1853,15.543313769111284,4,LightYellow,D
5,1854,16.046253107468623,4,LightYellow,D
6,1855,15.70135043046644,4,LightYellow,D
7,1856,16.603759583149987,4,LightYellow,D
8,1857,16.057471973001306,4,LightYellow,D
9,1858,15.33929723783066,4,LightYellow,D
10,1859,16.32059274219225,4,LightYellow,D
11,1860,16.7154065663741,4,LightYellow,D
12,1861,17.15961894033675,4,LightYellow,D
13,1862,17.248562389767926,4,LightYellow,D
14,1863,17.000928827608966,4,LightYellow,D
15,1864,17.989641557227092,4,LightYellow,D
16,1865,17.965412339739334,4,LightYellow,D
17,1866,17.944604109045542,4,LightYellow,D
18,1867,17.58455740851969,4,LightYellow,D
19,1868,17.934567069330004,4,LightYellow,D
20,1869,19.007209506370636,4,LightYellow,D
21,1870,19.39352914728521,4,LightYellow,D
22,1871,18.43316977398008,4,LightYellow,D
23,1872,18.990437002387065,4,LightYellow,D
24,1873,19.092969049651412,4,LightYellow,D
25,1874,19.318741659381487,4,LightYellow,D
26,1875,18.434361217913754,4,LightYellow,D
27,1876,18.86931196727679,4,LightYellow,D
28,1877,19.56200049738129,4,LightYellow,D
29,1878,19.339283579125933,4,LightYellow,D
30,1879,18.76366358617967,4,LightYellow,D
31,1880,19.253009167444766,4,LightYellow,D
32,1881,21.12248640709909,5,Vanilla,E
33,1882,20.7419900111086,5,Vanilla,E
34,1883,20.38040357544265,5,Vanilla,E
35,1884,19.828902860277577,4,LightYellow,D
36,1885,19.406927295334377,4,LightYellow,D
37,1886,20.273240526716265,5,Vanilla,E
38,1887,19.714079094266822,4,LightYellow,D
39,1888,19.714573545191037,4,LightYellow,D
40,1889,21.512464981636693,5,Vanilla,E
41,1890,21.096461813745425,5,Vanilla,E
42,1891,22.01241480497132,5,Vanilla,E
43,1892,20.566168074445034,5,Vanilla,E
44,1893,18.942701932637167,4,LightYellow,D
45,1894,20.895334516796424,5,Vanilla,E
46,1895,19.917312539745513,4,LightYellow,D
47,1896,21.15660331082607,5,Vanilla,E
48,1897,22.10989862497853,5,Vanilla,E
49,1898,22.826428875470246,5,Vanilla,E
50,1899,22.843160207333383,5,Vanilla,E
51,1900,24.023136938226763,5,Vanilla,E
52,1901,22.45706261457099,5,Vanilla,E
53,1902,22.415830221005315,5,Vanilla,E
54,1903,21.100454965167614,5,Vanilla,E
55,1904,21.24047888945574,5,Vanilla,E
56,1905,22.109003705566526,5,Vanilla,E
57,1906,22.113745380285856,5,Vanilla,E
58,1907,23.169017688682974,5,Vanilla,E
59,1908,22.389197398828834,5,Vanilla,E
60,1909,22.389941516321844,5,Vanilla,E
61,1910,22.429427070182122,5,Vanilla,E
62,1911,22.503491572679614,5,Vanilla,E
63,1912,23.31732274797434,5,Vanilla,E
64,1913,23.378009570917975,5,Vanilla,E
65,1914,22.798023613835902,5,Vanilla,E
