Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.684178419293044,3,CornflowerBlue,C
2,1851,10.128966694993743,3,CornflowerBlue,C
3,1852,9.655673748975175,2,PowderBlue,B
4,1853,11.019095268279614,3,CornflowerBlue,C
5,1854,10.814456283352648,3,CornflowerBlue,C
6,1855,11.058304607156321,3,CornflowerBlue,C
7,1856,11.213087570584504,3,CornflowerBlue,C
8,1857,10.534005222228314,3,CornflowerBlue,C
9,1858,10.669745283543083,3,CornflowerBlue,C
10,1859,11.463227491312157,3,CornflowerBlue,C
11,1860,10.939023967033332,3,CornflowerBlue,C
12,1861,10.802504386006097,3,CornflowerBlue,C
13,1862,10.897727537880554,3,CornflowerBlue,C
14,1863,11.242206883414648,3,CornflowerBlue,C
15,1864,11.24726874059401,3,CornflowerBlue,C
16,1865,10.82201511741726,3,CornflowerBlue,C
17,1866,11.92914975045354,3,CornflowerBlue,C
18,1867,11.380215259727649,3,CornflowerBlue,C
19,1868,11.490632994998242,3,CornflowerBlue,C
20,1869,10.724456090113256,3,CornflowerBlue,C
21,1870,10.922606421843602,3,CornflowerBlue,C
22,1871,10.79198690562934,3,CornflowerBlue,C
23,1872,10.121002993506803,3,CornflowerBlue,C
24,1873,10.946781082632771,3,CornflowerBlue,C
25,1874,11.515057394631413,3,CornflowerBlue,C
26,1875,11.64633415953509,3,CornflowerBlue,C
27,1876,11.334505088334309,3,CornflowerBlue,C
28,1877,11.108312179081645,3,CornflowerBlue,C
29,1878,10.462054752390964,3,CornflowerBlue,C
30,1879,11.801185873241154,3,CornflowerBlue,C
31,1880,11.1760304427446,3,CornflowerBlue,C
32,1881,11.131371021689478,3,CornflowerBlue,C
33,1882,11.394882531421857,3,CornflowerBlue,C
34,1883,11.73293499733007,3,CornflowerBlue,C
35,1884,11.73533996091157,3,CornflowerBlue,C
36,1885,11.261165610700019,3,CornflowerBlue,C
37,1886,12.141760877418863,3,CornflowerBlue,C
38,1887,11.391494186177678,3,CornflowerBlue,C
39,1888,11.609400928953281,3,CornflowerBlue,C
40,1889,11.399336557429553,3,CornflowerBlue,C
41,1890,11.25853930714036,3,CornflowerBlue,C
42,1891,11.060994776753134,3,CornflowerBlue,C
43,1892,10.891521592045391,3,CornflowerBlue,C
44,1893,11.254445954804684,3,CornflowerBlue,C
45,1894,11.706266355733776,3,CornflowerBlue,C
46,1895,11.572467336337994,3,CornflowerBlue,C
47,1896,11.867976700946889,3,CornflowerBlue,C
48,1897,11.323171072510474,3,CornflowerBlue,C
49,1898,11.203983300542074,3,CornflowerBlue,C
50,1899,12.31624247994498,3,CornflowerBlue,C
51,1900,11.872272832690136,3,CornflowerBlue,C
52,1901,11.89019257810154,3,CornflowerBlue,C
53,1902,11.329469520692822,3,CornflowerBlue,C
54,1903,12.25554285582161,3,CornflowerBlue,C
55,1904,11.85324794816859,3,CornflowerBlue,C
56,1905,12.337814055085197,3,CornflowerBlue,C
57,1906,12.932307586054513,3,CornflowerBlue,C
58,1907,12.107510634169044,3,CornflowerBlue,C
59,1908,11.971594625845016,3,CornflowerBlue,C
60,1909,11.841364659694378,3,CornflowerBlue,C
61,1910,11.989422762335593,3,CornflowerBlue,C
62,1911,11.72414926944185,3,CornflowerBlue,C
63,1912,10.880347756134741,3,CornflowerBlue,C
64,1913,12.218024570479862,3,CornflowerBlue,C
65,1914,12.30985311522339,3,CornflowerBlue,C
66,1915,11.9179919741205,3,CornflowerBlue,C
67,1916,12.192909346572492,3,CornflowerBlue,C
68,1917,12.157996136169178,3,CornflowerBlue,C
69,1918,11.773520193317678,3,CornflowerBlue,C
70,1919,12.803429365063435,3,CornflowerBlue,C
71,1920,12.105576022486947,3,CornflowerBlue,C
72,1921,12.25951581709639,3,CornflowerBlue,C
73,1922,12.312365691116078,3,CornflowerBlue,C
74,1923,13.194374777687743,3,CornflowerBlue,C
75,1924,12.517174866629853,3,CornflowerBlue,C
76,1925,13.192652982123107,3,CornflowerBlue,C
77,1926,13.01034072849732,3,CornflowerBlue,C
78,1927,13.387668946833369,3,CornflowerBlue,C
79,1928,13.684944583091056,3,CornflowerBlue,C
80,1929,12.799563393924299,3,CornflowerBlue,C
81,1930,13.45188913548556,3,CornflowerBlue,C
82,1931,12.86398889917593,3,CornflowerBlue,C
83,1932,14.1305812078068,3,CornflowerBlue,C
84,1933,13.316629757044,3,CornflowerBlue,C
85,1934,13.257383084831263,3,CornflowerBlue,C
86,1935,14.234158381160855,3,CornflowerBlue,C
87,1936,13.881428298150976,3,CornflowerBlue,C
88,1937,13.680228086918149,3,CornflowerBlue,C
89,1938,14.324233528414231,3,CornflowerBlue,C
90,1939,14.051355693596589,3,CornflowerBlue,C
91,1940,13.185729455145516,3,CornflowerBlue,C
92,1941,15.748894717173854,4,LightYellow,D
93,1942,14.149535901890642,3,CornflowerBlue,C
94,1943,14.2600099500203,3,CornflowerBlue,C
95,1944,15.331888960025106,4,LightYellow,D
96,1945,14.704536062663704,3,CornflowerBlue,C
97,1946,13.824123375951993,3,CornflowerBlue,C
98,1947,13.808765169686115,3,CornflowerBlue,C
