Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,15.209841397077845,4,LightYellow,D
2,1851,14.2392025919522,3,CornflowerBlue,C
3,1852,14.402875640683911,3,CornflowerBlue,C
4,1853,14.521847816457498,3,CornflowerBlue,C
5,1854,14.779604819040747,3,CornflowerBlue,C
6,1855,14.70211455967064,3,CornflowerBlue,C
7,1856,14.73371638577964,3,CornflowerBlue,C
8,1857,14.2846562865297,3,CornflowerBlue,C
9,1858,14.117118916302502,3,CornflowerBlue,C
10,1859,14.787212458728712,3,CornflowerBlue,C
11,1860,14.764753710913341,3,CornflowerBlue,C
12,1861,14.557318946275858,3,CornflowerBlue,C
13,1862,14.101450646803682,3,CornflowerBlue,C
14,1863,13.950865898275975,3,CornflowerBlue,C
15,1864,14.176040445897714,3,CornflowerBlue,C
16,1865,13.498674557068728,3,CornflowerBlue,C
17,1866,14.32736231374612,3,CornflowerBlue,C
18,1867,14.98259987627988,3,CornflowerBlue,C
19,1868,14.648504192128177,3,CornflowerBlue,C
20,1869,14.381417515798171,3,CornflowerBlue,C
21,1870,13.98923205136309,3,CornflowerBlue,C
22,1871,13.34750722884596,3,CornflowerBlue,C
23,1872,13.893605336401402,3,CornflowerBlue,C
24,1873,14.558183572571549,3,CornflowerBlue,C
25,1874,14.538532498192332,3,CornflowerBlue,C
26,1875,13.611057771338817,3,CornflowerBlue,C
27,1876,14.496704497725872,3,CornflowerBlue,C
28,1877,13.308664227774853,3,CornflowerBlue,C
29,1878,14.021880076486664,3,CornflowerBlue,C
30,1879,13.792880928858308,3,CornflowerBlue,C
31,1880,14.042991526264272,3,CornflowerBlue,C
32,1881,13.873339682200365,3,CornflowerBlue,C
33,1882,14.266117302072836,3,CornflowerBlue,C
34,1883,13.539550225450064,3,CornflowerBlue,C
35,1884,13.736035655840903,3,CornflowerBlue,C
36,1885,14.468277697941682,3,CornflowerBlue,C
37,1886,14.302847658354478,3,CornflowerBlue,C
38,1887,14.221181099295082,3,CornflowerBlue,C
39,1888,14.26331243241304,3,CornflowerBlue,C
40,1889,14.095110537153243,3,CornflowerBlue,C
41,1890,14.242288634786805,3,CornflowerBlue,C
42,1891,14.465573022042378,3,CornflowerBlue,C
43,1892,14.859501141339075,3,CornflowerBlue,C
44,1893,14.438705263279484,3,CornflowerBlue,C
45,1894,14.968403938534735,3,CornflowerBlue,C
46,1895,13.9881183829795,3,CornflowerBlue,C
47,1896,14.416977047743945,3,CornflowerBlue,C
48,1897,14.057978259817814,3,CornflowerBlue,C
49,1898,14.504450821869318,3,CornflowerBlue,C
50,1899,14.74420394544169,3,CornflowerBlue,C
51,1900,14.502195288667291,3,CornflowerBlue,C
52,1901,14.35588618003626,3,CornflowerBlue,C
53,1902,15.029138558113607,4,LightYellow,D
54,1903,14.756326435796689,3,CornflowerBlue,C
55,1904,14.101040917657832,3,CornflowerBlue,C
56,1905,13.854781747433133,3,CornflowerBlue,C
57,1906,14.855574146753007,3,CornflowerBlue,C
58,1907,15.21131968059025,4,LightYellow,D
59,1908,14.069452033902893,3,CornflowerBlue,C
60,1909,14.66899913564202,3,CornflowerBlue,C
61,1910,14.807919732559602,3,CornflowerBlue,C
62,1911,14.79895766993928,3,CornflowerBlue,C
63,1912,14.617997512636215,3,CornflowerBlue,C
64,1913,15.195642723321386,4,LightYellow,D
65,1914,14.806465199635793,3,CornflowerBlue,C
66,1915,14.925665269391182,3,CornflowerBlue,C
67,1916,15.183245496500978,4,LightYellow,D
68,1917,15.451451062977041,4,LightYellow,D
69,1918,15.532021471715755,4,LightYellow,D
70,1919,15.649736712317207,4,LightYellow,D
71,1920,15.831942340627949,4,LightYellow,D
72,1921,15.12001680123957,4,LightYellow,D
73,1922,15.048566292922718,4,LightYellow,D
74,1923,16.988956024926,4,LightYellow,D
75,1924,15.031903570618736,4,LightYellow,D
76,1925,16.070670440710263,4,LightYellow,D
77,1926,15.165127931097725,4,LightYellow,D
78,1927,15.74723285161799,4,LightYellow,D
79,1928,15.691245062090175,4,LightYellow,D
80,1929,15.840474896121538,4,LightYellow,D
81,1930,15.989311376237556,4,LightYellow,D
82,1931,15.548941967499424,4,LightYellow,D
83,1932,15.824635624069524,4,LightYellow,D
84,1933,15.603690075867561,4,LightYellow,D
85,1934,15.94408531585751,4,LightYellow,D
86,1935,16.340994794364658,4,LightYellow,D
87,1936,16.531449116865545,4,LightYellow,D
88,1937,15.733572702740734,4,LightYellow,D
89,1938,15.93482573299368,4,LightYellow,D
90,1939,16.183283615068664,4,LightYellow,D
91,1940,15.374650452815635,4,LightYellow,D
92,1941,16.124006569471124,4,LightYellow,D
93,1942,16.31821543206319,4,LightYellow,D
94,1943,15.5832147870136,4,LightYellow,D
95,1944,16.08562737531779,4,LightYellow,D
96,1945,15.223991393337812,4,LightYellow,D
97,1946,14.44795896809379,3,CornflowerBlue,C
98,1947,15.12471470943251,4,LightYellow,D
99,1948,15.205501428299899,4,LightYellow,D
100,1949,15.446414470734545,4,LightYellow,D
101,1950,16.28818511631807,4,LightYellow,D
102,1951,16.776578946879063,4,LightYellow,D
103,1952,16.31983700900514,4,LightYellow,D
104,1953,17.239340175515675,4,LightYellow,D
105,1954,18.060158983450346,4,LightYellow,D
106,1955,17.184724864684895,4,LightYellow,D
107,1956,19.188713516060158,4,LightYellow,D
108,1957,20.93096541723093,5,Vanilla,E
109,1958,23.874942869243476,5,Vanilla,E
110,1959,26.352135496673203,5,Vanilla,E
111,1960,28.06618552388533,5,Vanilla,E
112,1961,24.814541413612755,5,Vanilla,E
113,1962,22.778933702478593,5,Vanilla,E
114,1963,22.137048831958243,5,Vanilla,E
115,1964,21.348275281751633,5,Vanilla,E
116,1965,21.182749885987008,5,Vanilla,E
117,1966,21.728906046545127,5,Vanilla,E
118,1967,20.859224812782266,5,Vanilla,E
119,1968,22.310495172470645,5,Vanilla,E
120,1969,21.73367132965739,5,Vanilla,E
121,1970,23.805352924902806,5,Vanilla,E
122,1971,24.670880254414406,5,Vanilla,E
123,1972,25.50603840468867,5,Vanilla,E
124,1973,27.03501895569171,5,Vanilla,E
125,1974,26.83159124530368,5,Vanilla,E
126,1975,26.666844382309375,5,Vanilla,E
127,1976,29.271456618854746,5,Vanilla,E
128,1977,29.664512634556505,5,Vanilla,E
129,1978,31.469379131657547,6,Dandelion,F
130,1979,32.095397556954964,6,Dandelion,F
131,1980,32.5299641420285,6,Dandelion,F
132,1981,32.638622660117875,6,Dandelion,F
133,1982,33.96932751141214,6,Dandelion,F
134,1983,34.57793562210574,6,Dandelion,F
135,1984,35.52610671674216,6,Dandelion,F
136,1985,37.78845787244628,6,Dandelion,F
137,1986,38.16613549756032,6,Dandelion,F
138,1987,38.43305670013085,6,Dandelion,F
139,1988,40.801125324005085,7,Tangerine,G
140,1989,39.263658839958524,6,Dandelion,F
141,1990,41.22840809426718,7,Tangerine,G
142,1991,42.40826702053055,7,Tangerine,G
143,1992,42.283412780369076,7,Tangerine,G
144,1993,42.800069750443164,7,Tangerine,G
145,1994,46.52511565536754,7,Tangerine,G
146,1995,47.99721703860487,7,Tangerine,G
147,1996,48.25774080988517,7,Tangerine,G
148,1997,46.32040255348211,7,Tangerine,G
149,1998,44.13658728619676,7,Tangerine,G
150,1999,42.42260402751093,7,Tangerine,G
151,2000,44.39242397603295,7,Tangerine,G
152,2001,45.54166793823242,7,Tangerine,G
153,2002,48.60000228881836,7,Tangerine,G
154,2003,52.36666488647461,8,Mustard,H
155,2004,49.85000228881836,7,Tangerine,G
156,2005,49.758331298828125,7,Tangerine,G
157,2006,49.08333206176758,7,Tangerine,G
158,2007,56.45832824707031,8,Mustard,H
159,2008,57.82500076293945,8,Mustard,H
160,2009,54.24166488647461,8,Mustard,H
161,2010,49.75,7,Tangerine,G
162,2011,54.02500534057617,8,Mustard,H
163,2012,48.733333587646484,7,Tangerine,G
164,2013,50.76666259765625,8,Mustard,H
