Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,8.70787814410247,2,PowderBlue,B
2,1851,8.590505729229292,2,PowderBlue,B
3,1852,9.070880427735034,2,PowderBlue,B
4,1853,9.093195243860754,2,PowderBlue,B
5,1854,8.577182841366263,2,PowderBlue,B
6,1855,9.133387932710868,2,PowderBlue,B
7,1856,8.797629409981592,2,PowderBlue,B
8,1857,9.13386326231831,2,PowderBlue,B
9,1858,8.999855367437327,2,PowderBlue,B
10,1859,9.50757898509302,2,PowderBlue,B
11,1860,9.367992093502952,2,PowderBlue,B
12,1861,8.729543654877704,2,PowderBlue,B
13,1862,8.811589397781031,2,PowderBlue,B
14,1863,9.536409267509086,2,PowderBlue,B
15,1864,9.287130999957263,2,PowderBlue,B
16,1865,9.762730605772807,2,PowderBlue,B
17,1866,9.043684635155593,2,PowderBlue,B
18,1867,9.823427501406863,2,PowderBlue,B
19,1868,9.653206661943724,2,PowderBlue,B
20,1869,9.543542872829933,2,PowderBlue,B
21,1870,9.61499142328053,2,PowderBlue,B
22,1871,10.142706532902329,3,CornflowerBlue,C
23,1872,10.017232549366344,3,CornflowerBlue,C
24,1873,10.184973296260662,3,CornflowerBlue,C
25,1874,9.868037582483813,2,PowderBlue,B
26,1875,9.352094713323922,2,PowderBlue,B
27,1876,9.840041302067931,2,PowderBlue,B
28,1877,10.04806546616593,3,CornflowerBlue,C
29,1878,10.357955036192445,3,CornflowerBlue,C
30,1879,9.972641412196129,2,PowderBlue,B
31,1880,9.981504894644802,2,PowderBlue,B
32,1881,9.798358681572507,2,PowderBlue,B
33,1882,9.758315590773412,2,PowderBlue,B
34,1883,9.891518586566656,2,PowderBlue,B
35,1884,9.874881988384706,2,PowderBlue,B
36,1885,10.168645371334135,3,CornflowerBlue,C
37,1886,10.028866288188834,3,CornflowerBlue,C
38,1887,10.74482932231058,3,CornflowerBlue,C
39,1888,10.466504193641953,3,CornflowerBlue,C
40,1889,10.224222127938877,3,CornflowerBlue,C
41,1890,11.16836549279252,3,CornflowerBlue,C
42,1891,10.68853238486114,3,CornflowerBlue,C
43,1892,10.636072165351324,3,CornflowerBlue,C
44,1893,10.935071370107861,3,CornflowerBlue,C
45,1894,10.501800922313434,3,CornflowerBlue,C
46,1895,10.278057905481711,3,CornflowerBlue,C
47,1896,10.474314767578619,3,CornflowerBlue,C
48,1897,11.238135396435926,3,CornflowerBlue,C
49,1898,10.960487007851844,3,CornflowerBlue,C
50,1899,10.932889562837264,3,CornflowerBlue,C
51,1900,10.29593590476732,3,CornflowerBlue,C
52,1901,10.614552610397975,3,CornflowerBlue,C
53,1902,10.872039318987616,3,CornflowerBlue,C
54,1903,10.50706347280597,3,CornflowerBlue,C
55,1904,10.470937814529583,3,CornflowerBlue,C
56,1905,10.733869979389453,3,CornflowerBlue,C
57,1906,10.735942416023073,3,CornflowerBlue,C
58,1907,11.35717282876483,3,CornflowerBlue,C
59,1908,10.864161844501456,3,CornflowerBlue,C
60,1909,11.049845186734489,3,CornflowerBlue,C
61,1910,11.53738188731337,3,CornflowerBlue,C
62,1911,11.111075298716996,3,CornflowerBlue,C
63,1912,11.12460031607083,3,CornflowerBlue,C
64,1913,10.995338690212254,3,CornflowerBlue,C
65,1914,11.141851635865779,3,CornflowerBlue,C
66,1915,10.940894643776579,3,CornflowerBlue,C
67,1916,11.885492030545976,3,CornflowerBlue,C
68,1917,11.54649556620913,3,CornflowerBlue,C
69,1918,11.269375126901755,3,CornflowerBlue,C
70,1919,11.402713760484827,3,CornflowerBlue,C
71,1920,11.669772089110996,3,CornflowerBlue,C
72,1921,11.41500043261614,3,CornflowerBlue,C
73,1922,11.520995360851883,3,CornflowerBlue,C
74,1923,11.965947057513377,3,CornflowerBlue,C
75,1924,11.827375998575814,3,CornflowerBlue,C
76,1925,12.555912516280674,3,CornflowerBlue,C
77,1926,11.14417158910222,3,CornflowerBlue,C
78,1927,11.751824732197141,3,CornflowerBlue,C
79,1928,11.777682426463421,3,CornflowerBlue,C
80,1929,11.818635195329106,3,CornflowerBlue,C
