Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,14.650422456667119,3,CornflowerBlue,C
2,1851,12.945471397288918,3,CornflowerBlue,C
3,1852,13.81444042321587,3,CornflowerBlue,C
4,1853,13.656849068962993,3,CornflowerBlue,C
5,1854,14.252369127434376,3,CornflowerBlue,C
6,1855,14.693022216452508,3,CornflowerBlue,C
7,1856,12.930517329693766,3,CornflowerBlue,C
8,1857,14.573276636877708,3,CornflowerBlue,C
9,1858,15.076829175122484,4,LightYellow,D
10,1859,12.803678141394723,3,CornflowerBlue,C
11,1860,13.707765600858238,3,CornflowerBlue,C
12,1861,13.646328839405477,3,CornflowerBlue,C
13,1862,13.336003505675162,3,CornflowerBlue,C
14,1863,13.231464505972639,3,CornflowerBlue,C
15,1864,14.076913778837163,3,CornflowerBlue,C
16,1865,13.697635995109325,3,CornflowerBlue,C
17,1866,13.650447474018524,3,CornflowerBlue,C
18,1867,13.370949908801789,3,CornflowerBlue,C
19,1868,14.802515333624504,3,CornflowerBlue,C
20,1869,15.0717627189613,4,LightYellow,D
21,1870,14.028223263309664,3,CornflowerBlue,C
22,1871,14.244897303606477,3,CornflowerBlue,C
23,1872,12.856577957252142,3,CornflowerBlue,C
24,1873,14.131781230918037,3,CornflowerBlue,C
25,1874,14.798248830910778,3,CornflowerBlue,C
26,1875,14.362425375690822,3,CornflowerBlue,C
27,1876,13.43684225793516,3,CornflowerBlue,C
28,1877,14.515556462170807,3,CornflowerBlue,C
29,1878,15.531928403311936,4,LightYellow,D
30,1879,14.228670944856095,3,CornflowerBlue,C
31,1880,13.8408614921359,3,CornflowerBlue,C
32,1881,13.801144306369626,3,CornflowerBlue,C
33,1882,13.47124605355209,3,CornflowerBlue,C
34,1883,13.663526321459434,3,CornflowerBlue,C
35,1884,14.015942980962972,3,CornflowerBlue,C
36,1885,14.031498331552008,3,CornflowerBlue,C
37,1886,14.075506865530032,3,CornflowerBlue,C
38,1887,14.658589815733459,3,CornflowerBlue,C
39,1888,14.61106332489703,3,CornflowerBlue,C
40,1889,14.672222323699192,3,CornflowerBlue,C
41,1890,14.04033812613601,3,CornflowerBlue,C
42,1891,14.081057133880176,3,CornflowerBlue,C
43,1892,14.847070598100261,3,CornflowerBlue,C
44,1893,14.01168988346675,3,CornflowerBlue,C
45,1894,15.531024967428367,4,LightYellow,D
46,1895,15.58869720904059,4,LightYellow,D
47,1896,13.041460915767752,3,CornflowerBlue,C
48,1897,14.670062376534647,3,CornflowerBlue,C
49,1898,15.977834780339318,4,LightYellow,D
50,1899,14.697048561170499,3,CornflowerBlue,C
51,1900,13.867710456022149,3,CornflowerBlue,C
52,1901,14.43131672640766,3,CornflowerBlue,C
53,1902,14.154042573563352,3,CornflowerBlue,C
54,1903,14.160091992184087,3,CornflowerBlue,C
55,1904,14.089514492207652,3,CornflowerBlue,C
56,1905,14.732918008401246,3,CornflowerBlue,C
57,1906,15.04848258838212,4,LightYellow,D
58,1907,14.240634172700487,3,CornflowerBlue,C
59,1908,15.12834014779764,4,LightYellow,D
60,1909,14.607069667439996,3,CornflowerBlue,C
61,1910,15.04219200724933,4,LightYellow,D
62,1911,14.437727647938102,3,CornflowerBlue,C
63,1912,14.538014668609415,3,CornflowerBlue,C
64,1913,15.570691119109862,4,LightYellow,D
65,1914,15.730441680836897,4,LightYellow,D
66,1915,14.71001716670951,3,CornflowerBlue,C
67,1916,14.657091877138175,3,CornflowerBlue,C
68,1917,14.847811478496784,3,CornflowerBlue,C
69,1918,16.0911554308564,4,LightYellow,D
70,1919,15.295191220007354,4,LightYellow,D
71,1920,14.442787223530646,3,CornflowerBlue,C
72,1921,16.037378330468588,4,LightYellow,D
73,1922,14.69871544116336,3,CornflowerBlue,C
74,1923,16.11790785998248,4,LightYellow,D
75,1924,15.062670862429098,4,LightYellow,D
76,1925,14.401801552017343,3,CornflowerBlue,C
77,1926,15.389255358812845,4,LightYellow,D
78,1927,15.31025766384207,4,LightYellow,D
79,1928,14.884839229569613,3,CornflowerBlue,C
80,1929,13.875836784223184,3,CornflowerBlue,C
81,1930,15.374607882839884,4,LightYellow,D
82,1931,14.538641431583862,3,CornflowerBlue,C
83,1932,15.717684229823162,4,LightYellow,D
84,1933,14.017131358976153,3,CornflowerBlue,C
85,1934,15.880283594722572,4,LightYellow,D
86,1935,15.944879244654906,4,LightYellow,D
87,1936,16.14282240928835,4,LightYellow,D
88,1937,15.444348979573311,4,LightYellow,D
89,1938,16.558724921602806,4,LightYellow,D
90,1939,16.15521736774873,4,LightYellow,D
91,1940,17.599909595596912,4,LightYellow,D
92,1941,16.431588235631413,4,LightYellow,D
93,1942,17.187717435990947,4,LightYellow,D
94,1943,16.447442046156908,4,LightYellow,D
95,1944,15.657322380559908,4,LightYellow,D
96,1945,17.68784178256349,4,LightYellow,D
97,1946,15.47798290220017,4,LightYellow,D
98,1947,16.8608248333771,4,LightYellow,D
99,1948,17.356286558749655,4,LightYellow,D
100,1949,15.712825264258306,4,LightYellow,D
101,1950,17.23211914246881,4,LightYellow,D
102,1951,16.18602451494177,4,LightYellow,D
103,1952,15.863073295621877,4,LightYellow,D
104,1953,17.776842077642634,4,LightYellow,D
105,1954,17.044583591543994,4,LightYellow,D
106,1955,17.833009569827006,4,LightYellow,D
107,1956,18.740960720503267,4,LightYellow,D
108,1957,19.311626208861092,4,LightYellow,D
109,1958,17.840694405082903,4,LightYellow,D
110,1959,17.469007483153433,4,LightYellow,D
111,1960,16.019551129116156,4,LightYellow,D
112,1961,17.279806489167186,4,LightYellow,D
113,1962,18.60420756551886,4,LightYellow,D
114,1963,19.427709423733376,4,LightYellow,D
115,1964,17.38996966157143,4,LightYellow,D
116,1965,17.407933803384285,4,LightYellow,D
117,1966,17.691360568124228,4,LightYellow,D
118,1967,19.964062817569282,4,LightYellow,D
119,1968,18.889413811696507,4,LightYellow,D
120,1969,19.188676006957092,4,LightYellow,D
121,1970,18.937625428803393,4,LightYellow,D
122,1971,19.664542181267695,4,LightYellow,D
123,1972,19.999136565881432,4,LightYellow,D
124,1973,19.867661188743174,4,LightYellow,D
125,1974,22.150822569980605,5,Vanilla,E
126,1975,19.75254236466611,4,LightYellow,D
127,1976,20.723971179327833,5,Vanilla,E
128,1977,21.232212474458994,5,Vanilla,E
129,1978,20.961539151679638,5,Vanilla,E
130,1979,21.320849933474047,5,Vanilla,E
131,1980,22.22118081047567,5,Vanilla,E
132,1981,20.397266513569704,5,Vanilla,E
133,1982,22.12036193743706,5,Vanilla,E
134,1983,20.40009210249358,5,Vanilla,E
135,1984,20.87480919428496,5,Vanilla,E
136,1985,20.860902532774496,5,Vanilla,E
137,1986,23.264112750564554,5,Vanilla,E
138,1987,19.75203181941005,4,LightYellow,D
139,1988,22.063836448110198,5,Vanilla,E
140,1989,22.587607191780123,5,Vanilla,E
141,1990,22.438454058445924,5,Vanilla,E
142,1991,22.229891296840602,5,Vanilla,E
143,1992,21.69054989492107,5,Vanilla,E
144,1993,22.69104221155835,5,Vanilla,E
145,1994,21.904575176109844,5,Vanilla,E
146,1995,22.521733720922192,5,Vanilla,E
147,1996,21.880321819213894,5,Vanilla,E
148,1997,20.31201918973724,5,Vanilla,E
149,1998,26.075031429075597,5,Vanilla,E
150,1999,21.636196948938448,5,Vanilla,E
151,2000,18.264913960094233,4,LightYellow,D
152,2001,26.550003051757812,5,Vanilla,E
153,2002,21.89166831970215,5,Vanilla,E
154,2003,23.53333282470703,5,Vanilla,E
155,2004,19.883333206176758,4,LightYellow,D
156,2005,24.21666717529297,5,Vanilla,E
157,2006,20.741666793823242,5,Vanilla,E
158,2007,25.241666793823242,5,Vanilla,E
159,2008,22.48333168029785,5,Vanilla,E
160,2009,20.65833282470703,5,Vanilla,E
161,2010,22.933332443237305,5,Vanilla,E
162,2011,19.51666831970215,4,LightYellow,D
163,2012,21.64166831970215,5,Vanilla,E
164,2013,20.125,5,Vanilla,E
165,2014,18.53333282470703,4,LightYellow,D
166,2015,21.183332443237305,5,Vanilla,E
167,2016,18.95833396911621,4,LightYellow,D
168,2017,18.82499885559082,4,LightYellow,D
169,2018,21.524999618530273,5,Vanilla,E
170,2019,20.475000381469727,5,Vanilla,E
171,2020,16.54166603088379,4,LightYellow,D
172,2021,18.758333206176758,4,LightYellow,D
173,2022,22.799997329711914,5,Vanilla,E
